date,nikkei_phase,equity,pnl_day
2026-01-05,stable,2989169.0,-10831.0
2026-01-06,normal,2996838.5,7669.5
2026-01-07,normal,3011438.5,14600.0
2026-01-08,normal,2993788.5,-17650.0
2026-01-09,normal,3010332.0,16543.5
2026-01-13,normal,3064032.0,53700.0
2026-01-14,normal,3123382.0,59350.0
2026-01-15,normal,3135644.5,12262.5
2026-01-16,normal,3165417.0,29772.5
2026-01-19,normal,3128217.0,-37200.0
2026-01-20,high_vol,3086017.0,-42200.0
2026-01-21,high_vol,3073117.0,-12900.0
2026-01-22,high_vol,3113313.0000000005,40196.000000000466
2026-01-23,high_vol,3114738.000000001,1425.0000000004657
2026-01-26,normal,3046238.000000001,-68500.0
2026-01-27,high_vol,3046708.000000001,470.0
2026-01-28,settling,3023420.500000001,-23287.5
2026-01-29,settling,3039820.500000001,16400.0
2026-01-30,settling,3051620.500000001,11800.0
2026-02-02,uptrend,3015883.000000001,-35737.5
2026-02-03,uptrend,3064687.500000001,48804.5
2026-02-04,normal,3103222.000000001,38534.5
2026-02-05,normal,3165842.000000001,62620.0
2026-02-06,normal,3223024.500000001,57182.5
2026-02-09,normal,3213662.000000001,-9362.5
2026-02-10,normal,3191770.500000001,-21891.5
2026-02-12,normal,3194091.500000001,2321.0
2026-02-13,normal,3209831.500000001,15740.0
2026-02-16,normal,3199331.500000001,-10500.0
2026-02-17,high_vol,3182387.000000001,-16944.5
2026-02-18,high_vol,3168412.500000001,-13974.5
2026-02-19,high_vol,3206160.500000001,37748.0
2026-02-20,high_vol,3166400.500000001,-39760.0
2026-02-24,high_vol,3174200.500000001,7800.0
2026-02-25,high_vol,3170200.500000001,-4000.0
2026-02-26,normal,3176300.500000001,6100.0
2026-02-27,settling,3238274.000000001,61973.5
2026-03-02,settling,3185774.000000001,-52500.0
2026-03-03,uptrend,3081674.000000001,-104100.0
2026-03-04,high_vol,2918621.000000001,-163053.0
2026-03-05,high_vol,2946221.000000001,27600.0
2026-03-06,high_vol,2927621.000000001,-18600.0
2026-03-09,high_vol,2927621.000000001,0.0
2026-03-10,high_vol,2927621.000000001,0.0
