date,nikkei_phase,equity,pnl_day
2024-07-01,stable,2993161.825073242,-6838.1749267578125
2024-07-02,stable,3014295.1502685547,21133.3251953125
2024-07-03,uptrend,3007528.4998779297,-6766.650390625
2024-07-04,uptrend,2997128.4998779297,-10400.0
2024-07-05,uptrend,2987761.825073242,-9366.6748046875
2024-07-08,uptrend,3028561.825073242,40800.0
2024-07-09,uptrend,3038061.825073242,9500.0
2024-07-10,uptrend,3046395.1502685547,8333.3251953125
2024-07-11,uptrend,3047528.4998779297,1133.349609375
2024-07-12,uptrend,3034095.1502685547,-13433.349609375
2024-07-16,normal,3037428.4998779297,3333.349609375
2024-07-17,overheated_range,3021527.3006591797,-15901.19921875
2024-07-18,normal,2997760.6502685547,-23766.650390625
2024-07-19,high_vol,2956633.6502685547,-41127.0
2024-07-22,normal,2920400.3006591797,-36233.349609375
2024-07-23,high_vol,2908419.6502685547,-11980.650390625
2024-07-24,high_vol,2888819.6502685547,-19600.0
2024-07-25,normal,2846119.6502685547,-42700.0
2024-07-26,normal,2816739.6502685547,-29380.0
2024-07-29,normal,2881239.6502685547,64500.0
2024-07-30,high_vol,2844813.6502685547,-36426.0
2024-07-31,high_vol,2876013.6502685547,31200.0
2024-08-01,high_vol,2762913.6502685547,-113100.0
2024-08-02,high_vol,2762913.6502685547,0.0
2024-08-05,high_vol,2762913.6502685547,0.0
2024-08-06,high_vol,2762913.6502685547,0.0
2024-08-07,high_vol,2762913.6502685547,0.0
2024-08-08,high_vol,2762913.6502685547,0.0
2024-08-09,high_vol,2762913.6502685547,0.0
2024-08-13,high_vol,2830913.6502685547,68000.0
2024-08-14,capitulation_end,2646913.6502685547,-184000.0
2024-08-15,capitulation_end,2646913.6502685547,0.0
2024-08-16,high_vol,2646913.6502685547,0.0
2024-08-19,high_vol,2646913.6502685547,0.0
2024-08-20,high_vol,2646913.6502685547,0.0
2024-08-21,high_vol,2646913.6502685547,0.0
2024-08-22,high_vol,2646913.6502685547,0.0
2024-08-23,high_vol,2646913.6502685547,0.0
2024-08-26,high_vol,2646913.6502685547,0.0
2024-08-27,high_vol,2646913.6502685547,0.0
2024-08-28,high_vol,2646913.6502685547,0.0
2024-08-29,high_vol,2646913.6502685547,0.0
2024-08-30,high_vol,2646913.6502685547,0.0
2024-09-02,normal,2646913.6502685547,0.0
2024-09-03,normal,2646913.6502685547,0.0
2024-09-04,normal,2646913.6502685547,0.0
2024-09-05,high_vol,2645662.4002685547,-1251.25
2024-09-06,high_vol,2401912.4002685547,-243750.0
2024-09-09,high_vol,2401912.4002685547,0.0
2024-09-10,high_vol,2401912.4002685547,0.0
2024-09-11,high_vol,2401912.4002685547,0.0
2024-09-12,high_vol,2401912.4002685547,0.0
2024-09-13,high_vol,2401912.4002685547,0.0
2024-09-17,high_vol,2401912.4002685547,0.0
2024-09-18,high_vol,2401912.4002685547,0.0
2024-09-19,high_vol,2401912.4002685547,0.0
2024-09-20,high_vol,2401912.4002685547,0.0
2024-09-24,high_vol,2401912.4002685547,0.0
2024-09-25,high_vol,2401912.4002685547,0.0
2024-09-26,high_vol,2401912.4002685547,0.0
2024-09-27,normal,2401912.4002685547,0.0
2024-09-30,normal,2401912.4002685547,0.0
