date,nikkei_phase,equity,pnl_day
2025-10-01,uptrend,3000000.0,0.0
2025-10-02,uptrend,3000000.0,0.0
2025-10-03,uptrend,3000000.0,0.0
2025-10-06,uptrend,3000000.0,0.0
2025-10-07,normal,2935200.0,-64800.0
2025-10-08,normal,3037187.5,101987.5
2025-10-09,normal,2967187.5,-70000.0
2025-10-10,normal,2842187.5,-125000.0
2025-10-14,normal,2832872.5,-9315.0
2025-10-15,high_vol,2899210.5,66338.0
2025-10-16,high_vol,2870453.0,-28757.5
2025-10-17,high_vol,2874953.0,4500.0
2025-10-20,high_vol,2909753.0,34800.0
2025-10-21,high_vol,2913053.0,3300.0
2025-10-22,normal,2940750.5000000005,27697.500000000466
2025-10-23,high_vol,2957250.5000000005,16500.0
2025-10-24,high_vol,3011750.5000000005,54500.0
2025-10-27,high_vol,3057250.5000000005,45500.0
2025-10-28,normal,3046530.5000000005,-10720.0
2025-10-29,normal,2946651.500000001,-99878.99999999953
2025-10-30,normal,2846121.500000001,-100530.0
2025-10-31,normal,2852536.500000001,6415.0
2025-11-04,normal,2889536.500000001,37000.0
2025-11-05,normal,2889536.500000001,0.0
2025-11-06,high_vol,2951576.500000001,62040.0
2025-11-07,high_vol,2978606.4997558603,27029.999755859375
2025-11-10,high_vol,3039841.4997558603,61235.0
2025-11-11,high_vol,3008241.4997558603,-31600.0
2025-11-12,high_vol,3016953.9997558603,8712.5
2025-11-13,high_vol,3320613.9997558603,303660.0
2025-11-14,high_vol,3367483.9997558603,46870.0
2025-11-17,high_vol,3328290.4997558603,-39193.5
2025-11-18,normal,3282440.4997558603,-45850.0
2025-11-19,high_vol,3276540.4997558603,-5900.0
2025-11-20,high_vol,3310440.4997558603,33900.0
2025-11-21,high_vol,3286640.4997558603,-23800.0
2025-11-25,high_vol,3300140.4997558603,13500.0
2025-11-26,high_vol,3365240.4997558603,65100.0
2025-11-27,high_vol,3413437.499755861,48197.000000000466
2025-11-28,high_vol,3426437.4997558603,12999.999999999534
2025-12-01,high_vol,3399537.4997558603,-26900.0
2025-12-02,high_vol,3408137.4997558603,8600.0
2025-12-03,high_vol,3425637.4997558603,17500.0
2025-12-04,normal,3477937.4997558603,52300.0
2025-12-05,normal,3457437.4997558603,-20500.0
2025-12-08,normal,3509137.4997558603,51700.0
2025-12-09,normal,3500637.4997558603,-8500.0
2025-12-10,normal,3484037.4997558603,-16600.0
2025-12-11,normal,3469737.4997558603,-14300.0
2025-12-12,normal,3484745.4997558603,15008.0
2025-12-15,normal,3526635.499755861,41890.000000000466
2025-12-16,normal,3497335.499755861,-29300.0
2025-12-17,normal,3495835.499755861,-1500.0
2025-12-18,normal,3498535.499755861,2700.0
2025-12-19,stable,3549785.499755861,51250.0
2025-12-22,normal,3595385.499755861,45600.0
2025-12-23,normal,3606385.499755861,11000.0
2025-12-24,normal,3598651.4997558612,-7733.999999999534
2025-12-25,normal,3609651.4997558612,11000.0
2025-12-26,normal,3638951.4997558612,29300.0
2025-12-29,normal,3651551.4997558612,12600.0
2025-12-30,normal,3659873.9997558612,8322.5
