date,nikkei_phase,equity,pnl_day
2025-10-01,uptrend,3000000.0,0.0
2025-10-02,uptrend,3000000.0,0.0
2025-10-03,uptrend,3000000.0,0.0
2025-10-06,uptrend,3000000.0,0.0
2025-10-07,surge,3000000.0,0.0
2025-10-08,surge,3000000.0,0.0
2025-10-09,surge,3000000.0,0.0
2025-10-10,surge,3000000.0,0.0
2025-10-14,surge,3000000.0,0.0
2025-10-15,high_vol,3034628.0,34628.0
2025-10-16,high_vol,3085383.0,50755.0
2025-10-17,high_vol,3052783.0,-32600.0
2025-10-20,high_vol,3119183.0,66400.0
2025-10-21,high_vol,3113483.0,-5700.0
2025-10-22,surge,3123083.0,9600.0
2025-10-23,high_vol,3128322.0,5239.0
2025-10-24,high_vol,3116722.0,-11600.0
2025-10-27,high_vol,3135122.0,18400.0
2025-10-28,surge,3123822.0,-11300.0
2025-10-29,surge,3123822.0,0.0
2025-10-30,surge,3123822.0,0.0
2025-10-31,surge,3123822.0,0.0
2025-11-04,surge,3123822.0,0.0
2025-11-05,surge,3123822.0,0.0
2025-11-06,high_vol,3161089.0,37267.0
2025-11-07,high_vol,3151203.9998779297,-9885.000122070312
2025-11-10,high_vol,3219406.9998779297,68203.0
2025-11-11,high_vol,3207206.9998779297,-12200.0
2025-11-12,high_vol,3220821.99987793,13615.000000000466
2025-11-13,high_vol,3583639.4998779306,362817.50000000047
2025-11-14,high_vol,3631509.4998779306,47870.0
2025-11-17,high_vol,3590628.4998779306,-40881.0
2025-11-18,normal,3544578.4998779306,-46050.0
2025-11-19,high_vol,3537878.4998779306,-6700.0
2025-11-20,high_vol,3572978.4998779306,35100.0
2025-11-21,high_vol,3547578.4998779306,-25400.0
2025-11-25,high_vol,3561178.4998779306,13600.0
2025-11-26,high_vol,3626978.4998779306,65800.0
2025-11-27,high_vol,3677174.499877931,50196.000000000466
2025-11-28,high_vol,3690274.4998779306,13099.999999999534
2025-12-01,high_vol,3663574.4998779306,-26700.0
2025-12-02,high_vol,3672374.4998779306,8800.0
2025-12-03,high_vol,3688874.4998779306,16500.0
2025-12-04,normal,3744474.4998779306,55600.0
2025-12-05,normal,3724874.4998779306,-19600.0
2025-12-08,normal,3778974.4998779306,54100.0
2025-12-09,normal,3770374.4998779306,-8600.0
2025-12-10,normal,3751374.4998779306,-19000.0
2025-12-11,normal,3735774.4998779306,-15600.0
2025-12-12,normal,3753682.4998779306,17908.0
2025-12-15,normal,3796872.4998779306,43190.0
2025-12-16,normal,3765972.4998779306,-30900.0
2025-12-17,normal,3764472.4998779306,-1500.0
2025-12-18,normal,3766772.4998779306,2300.0
2025-12-19,stable,3821222.4998779306,54450.0
2025-12-22,normal,3868422.4998779306,47200.0
2025-12-23,normal,3880322.4998779306,11900.0
2025-12-24,normal,3873262.4998779306,-7060.0
2025-12-25,normal,3886362.4998779306,13100.0
2025-12-26,normal,3918362.4998779306,32000.0
2025-12-29,normal,3932562.4998779306,14200.0
2025-12-30,normal,3947240.9998779306,14678.5
