date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2935336.0,-64664.0
2025-04-02,crash,2925100.0,-10236.0
2025-04-03,crash,2900870.0,-24230.0
2025-04-04,crash,2900870.0,0.0
2025-04-07,crash,2900870.0,0.0
2025-04-08,crash,2900870.0,0.0
2025-04-09,crash,2890359.0,-10511.0
2025-04-10,crash,2948459.0,58100.0
2025-04-11,crash,2923327.0,-25132.0
2025-04-14,crash,2937627.0,14300.0
2025-04-15,capitulation_end,2941027.0,3400.0
2025-04-16,crash,2934133.5,-6893.5
2025-04-17,capitulation_end,2933883.5,-250.0
2025-04-18,crash,2990366.0,56482.5
2025-04-21,crash,2993412.0,3046.0
2025-04-22,crash,2993392.0,-20.0
2025-04-23,crash,3002842.0,9450.0
2025-04-24,downtrend,2963992.0,-38850.0
2025-04-25,downtrend,2963992.0,0.0
2025-04-28,settling,2960955.0,-3037.0
2025-04-30,normal,2988955.0,28000.0
2025-05-01,normal,2990155.0,1200.0
2025-05-02,normal,2990755.0,600.0
2025-05-07,normal,2964055.0,-26700.0
2025-05-08,normal,2955655.0,-8400.0
2025-05-09,normal,2955655.0,0.0
2025-05-12,normal,2955655.0,0.0
2025-05-13,normal,2955655.0,0.0
2025-05-14,normal,2955655.0,0.0
2025-05-15,normal,2955655.0,0.0
2025-05-16,normal,2984055.0,28400.0
2025-05-19,normal,2953255.0,-30800.0
2025-05-20,normal,2937255.0,-16000.0
2025-05-21,uptrend,2916455.0,-20800.0
2025-05-22,uptrend,2916455.0,0.0
2025-05-23,uptrend,2916455.0,0.0
2025-05-26,uptrend,2916455.0,0.0
2025-05-27,uptrend,2916455.0,0.0
2025-05-28,uptrend,2916455.0,0.0
2025-05-29,uptrend,2916455.0,0.0
2025-05-30,uptrend,2912631.5,-3823.5
2025-06-02,uptrend,2912831.5,200.0
2025-06-03,normal,2907531.5,-5300.0
2025-06-04,normal,2930431.5,22900.0
2025-06-05,normal,2940431.5,10000.0
2025-06-06,normal,2953531.5,13100.0
2025-06-09,normal,2962731.5,9200.0
2025-06-10,normal,2961531.5,-1200.0
2025-06-11,normal,2971531.5,10000.0
2025-06-12,normal,2970131.5,-1400.0
2025-06-13,stable,2960131.5,-10000.0
2025-06-16,stable,2965331.5,5200.0
2025-06-17,stable,2976931.5,11600.0
2025-06-18,stable,2973931.5,-3000.0
2025-06-19,uptrend,2981931.5,8000.0
2025-06-20,uptrend,2970331.5,-11600.0
2025-06-23,uptrend,2970531.5,200.0
2025-06-24,stable,2981131.5,10600.0
2025-06-25,stable,2982131.5,1000.0
2025-06-26,uptrend,2984131.5,2000.0
2025-06-27,stable,2987331.5,3200.0
2025-06-30,uptrend,2983731.5,-3600.0
