date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2935336.0,-64664.0
2025-04-02,crash,2925100.0,-10236.0
2025-04-03,crash,2912570.0,-12530.0
2025-04-04,crash,2912570.0,0.0
2025-04-07,crash,2912570.0,0.0
2025-04-08,crash,2912570.0,0.0
2025-04-09,crash,2902059.0,-10511.0
2025-04-10,crash,2960159.0,58100.0
2025-04-11,crash,2943337.0,-16822.0
2025-04-14,crash,2957637.0,14300.0
2025-04-15,capitulation_end,2979458.0,21821.0
2025-04-16,crash,2935558.0,-43900.0
2025-04-17,capitulation_end,2938940.5,3382.5
2025-04-18,crash,2980150.5,41210.0
2025-04-21,crash,2973296.5,-6854.0
2025-04-22,crash,2955176.5,-18120.0
2025-04-23,crash,2955176.5,0.0
2025-04-24,downtrend,2903772.5,-51404.0
2025-04-25,downtrend,3029175.5,125403.0
2025-04-28,settling,3084820.0,55644.5
2025-04-30,normal,3113883.0,29063.0
2025-05-01,normal,3103772.0,-10111.0
2025-05-02,normal,3067742.0,-36030.0
2025-05-07,normal,3070049.0,2307.0
2025-05-08,normal,3039984.0,-30065.0
2025-05-09,normal,3064220.0,24236.0
2025-05-12,normal,3086836.0,22616.0
2025-05-13,normal,3083554.0,-3282.0
2025-05-14,normal,3125312.5,41758.5
2025-05-15,normal,3127777.25,2464.75
2025-05-16,normal,3258851.25,131074.0
2025-05-19,normal,3224644.75,-34206.5
2025-05-20,normal,3193379.75,-31265.0
2025-05-21,uptrend,3169429.75,-23950.0
2025-05-22,uptrend,3178229.75,8800.0
2025-05-23,uptrend,3183829.75,5600.0
2025-05-26,uptrend,3183829.75,0.0
2025-05-27,uptrend,3184869.25,1039.5
2025-05-28,uptrend,3177369.25,-7500.0
2025-05-29,uptrend,3186969.25,9600.0
2025-05-30,uptrend,3175018.75,-11950.5
2025-06-02,uptrend,3156368.75,-18650.0
2025-06-03,normal,3147915.25,-8453.5
2025-06-04,normal,3184015.25,36100.0
2025-06-05,normal,3174115.25,-9900.0
2025-06-06,normal,3188215.25,14100.0
2025-06-09,normal,3182665.25,-5550.0
2025-06-10,normal,3185191.25,2526.0
2025-06-11,normal,3196491.25,11300.0
2025-06-12,normal,3218941.25,22450.0
2025-06-13,stable,3209521.25,-9420.0
2025-06-16,stable,3241221.25,31700.0
2025-06-17,stable,3267471.25,26250.0
2025-06-18,stable,3255956.25,-11515.0
2025-06-19,uptrend,3268956.25,13000.0
2025-06-20,uptrend,3230756.25,-38200.0
2025-06-23,uptrend,3243006.25,12250.0
2025-06-24,stable,3239137.75,-3868.5
2025-06-25,stable,3243887.75,4750.0
2025-06-26,uptrend,3238987.75,-4900.0
2025-06-27,stable,3227587.75,-11400.0
2025-06-30,uptrend,3232148.2377929688,4560.48779296875
