date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2980302.0,-19698.0
2025-04-02,crash,2959598.0,-20704.0
2025-04-03,crash,2938598.0,-21000.0
2025-04-04,crash,2938598.0,0.0
2025-04-07,crash,2938598.0,0.0
2025-04-08,crash,2938598.0,0.0
2025-04-09,crash,2928087.0,-10511.0
2025-04-10,crash,2981687.0,53600.0
2025-04-11,crash,2987715.0,6028.0
2025-04-14,crash,3006215.0,18500.0
2025-04-15,capitulation_end,3007815.0,1600.0
2025-04-16,crash,2995761.0,-12054.0
2025-04-17,capitulation_end,3015061.0,19300.0
2025-04-18,crash,3021365.0,6304.0
2025-04-21,crash,3051071.0,29706.0
2025-04-22,crash,3020451.0,-30620.0
2025-04-23,crash,3024551.0,4100.0
2025-04-24,downtrend,3028451.0,3900.0
2025-04-25,downtrend,3020772.0298583987,-7678.970141601283
2025-04-28,settling,3050412.099438477,29640.069580078125
2025-04-30,normal,3080622.0298583987,30209.930419921875
2025-05-01,normal,3076631.9602783206,-3990.069580078125
2025-05-02,normal,3070362.099438477,-6269.86083984375
2025-05-07,normal,3070362.099438477,0.0
2025-05-08,normal,3070362.099438477,0.0
2025-05-09,normal,3070546.9883178715,184.88887939462438
2025-05-12,normal,3099616.849157715,29069.86083984375
2025-05-13,normal,3122986.709997559,23369.86083984375
2025-05-14,normal,3142936.709997559,19950.0
2025-05-15,normal,3188536.709997559,45600.0
2025-05-16,normal,3215326.779577637,26790.069580078125
2025-05-19,normal,3216466.849157715,1140.069580078125
2025-05-20,normal,3236847.838598633,20380.98944091797
2025-05-21,uptrend,3195807.769018555,-41040.069580078125
2025-05-22,uptrend,3195807.769018555,0.0
2025-05-23,uptrend,3195807.769018555,0.0
2025-05-26,uptrend,3195807.769018555,0.0
2025-05-27,uptrend,3195807.769018555,0.0
2025-05-28,uptrend,3195807.769018555,0.0
2025-05-29,uptrend,3195807.769018555,0.0
2025-05-30,uptrend,3190706.769018555,-5101.0
2025-06-02,uptrend,3191906.769018555,1200.0
2025-06-03,normal,3186106.769018555,-5800.0
2025-06-04,normal,3213506.769018555,27400.0
2025-06-05,normal,3229506.769018555,16000.0
2025-06-06,normal,3242106.769018555,12600.0
2025-06-09,normal,3249806.769018555,7700.0
2025-06-10,normal,3242606.769018555,-7200.0
2025-06-11,normal,3256106.769018555,13500.0
2025-06-12,normal,3257706.769018555,1600.0
2025-06-13,stable,3246706.769018555,-11000.0
2025-06-16,stable,3249906.769018555,3200.0
2025-06-17,stable,3255506.769018555,5600.0
2025-06-18,stable,3253006.769018555,-2500.0
2025-06-19,uptrend,3261006.769018555,8000.0
2025-06-20,uptrend,3249406.769018555,-11600.0
2025-06-23,uptrend,3228776.769018555,-20630.0
2025-06-24,stable,3250176.769018555,21400.0
2025-06-25,stable,3247976.769018555,-2200.0
2025-06-26,uptrend,3243176.769018555,-4800.0
2025-06-27,stable,3246376.769018555,3200.0
2025-06-30,uptrend,3243320.1188720707,-3056.650146484375
