date,ticker,action,price,shares,reason,nikkei_phase
2025-07-01,7419.T,BUY,1065.75,400,condition2_entry,uptrend
2025-07-01,1961.T,BUY,4110.75,100,condition2_entry,uptrend
2025-07-01,1997.T,BUY,2892.7499999999995,100,condition2_entry,uptrend
2025-07-01,1885.T,BUY,1535.695,300,condition2_entry,uptrend
2025-07-01,1934.T,BUY,2149.77,200,condition2_entry,uptrend
2025-07-01,1938.T,BUY,1869.6299999999999,200,condition2_entry,uptrend
2025-07-01,6644.T,BUY,973.3849999999999,500,condition2_entry,uptrend
2025-07-03,1997.T,SELL,2745.0,100,pre_earnings_exit,settling
2025-07-03,3763.T,BUY,1444.8525,200,q3_post_high_vol_entry,settling
2025-07-03,6040.T,BUY,533.0,200,q3_post_high_vol_entry,settling
2025-07-09,7419.T,SELL,1160.0,400,take_profit,uptrend
2025-07-09,1885.T,SELL,1706.0,300,take_profit,uptrend
2025-07-09,6040.T,SELL,543.0,200,sell_signal,uptrend
2025-07-14,1934.T,SELL,2340.0,200,take_profit,uptrend
2025-07-14,1997.T,BUY,2867.3749999999995,100,condition2_entry,uptrend
2025-07-15,8600.T,BUY,614.0749999999999,800,breakout_1p5_entry,stable
2025-07-15,1828.T,BUY,2444.12,200,breakout_1p5_entry,stable
2025-07-23,3495.T,BUY,2750.6499999999996,100,condition2_entry,uptrend
2025-07-24,3495.T,SELL,2612.0,100,stop_loss,uptrend
2025-07-25,6644.T,SELL,1059.0,500,take_profit,normal
2025-07-25,1723.T,BUY,4831.4,100,condition2_entry,normal
2025-07-28,1723.T,SELL,4810.0,100,sell_signal,normal
2025-07-28,3184.T,BUY,4059.9999999999995,100,condition2_entry,normal
2025-07-29,3184.T,SELL,4160.0,100,sell_signal,normal
2025-07-29,6822.T,BUY,3247.9999999999995,100,condition2_entry,normal
2025-07-30,6822.T,SELL,3530.0,100,take_profit,normal
2025-07-30,4491.T,BUY,2767.9049999999997,100,condition2_entry,normal
2025-07-30,1934.T,BUY,2449.1949999999997,200,condition2_entry,normal
2025-07-30,5363.T,BUY,581.5949999999999,100,condition2_entry,normal
2025-07-31,1961.T,SELL,4465.0,100,take_profit,normal
2025-07-31,1934.T,SELL,2476.0,200,sell_signal,normal
2025-07-31,7419.T,BUY,1121.6666259765625,400,condition2_entry,normal
2025-07-31,4709.T,BUY,2455.285,200,condition2_entry,normal
2025-08-01,1938.T,SELL,2029.0,200,take_profit,normal
2025-08-01,4491.T,SELL,2872.0,100,sell_signal,normal
2025-08-01,7419.T,SELL,1196.6666259765625,400,sell_signal,normal
2025-08-01,4709.T,SELL,2505.0,200,sell_signal,normal
2025-08-01,1967.T,BUY,1846.2849999999999,200,condition2_entry,normal
2025-08-04,3763.T,SELL,1570.0,200,take_profit,normal
2025-08-04,1967.T,SELL,1875.0,200,sell_signal,normal
2025-08-04,6061.T,BUY,2867.3749999999995,100,condition2_entry,normal
2025-08-04,1975.T,BUY,2679.6,100,condition2_entry,normal
2025-08-05,1975.T,SELL,2738.0,100,pre_earnings_exit,normal
2025-08-05,7981.T,BUY,2649.1499999999996,100,condition2_entry,normal
2025-08-05,5210.T,BUY,2729.3349999999996,100,condition2_entry,normal
2025-08-05,4635.T,BUY,943.9499999999999,500,condition2_entry,normal
2025-08-05,6644.T,BUY,1056.0,400,condition2_entry,normal
2025-08-06,7981.T,SELL,2689.0,100,sell_signal,normal
2025-08-06,5210.T,SELL,2773.0,100,pre_earnings_exit,normal
2025-08-06,4635.T,SELL,1180.0,500,take_profit,normal
2025-08-06,6644.T,SELL,1114.0,400,sell_signal,normal
2025-08-06,1975.T,BUY,2819.6699999999996,100,condition2_entry,normal
2025-08-06,1909.T,BUY,5217.099999999999,100,condition2_entry,normal
2025-08-06,3443.T,BUY,4070.1499999999996,100,condition2_entry,normal
2025-08-06,4028.T,BUY,2253.2999999999997,200,condition2_entry,normal
2025-08-07,8600.T,SELL,611.0,800,pre_earnings_exit,settling
2025-08-07,1828.T,SELL,2622.0,200,pre_earnings_exit,settling
