date,nikkei_phase,equity
2026-01-05,stable,2981596.5
2026-01-06,normal,3040096.5
2026-01-07,normal,3085296.5
2026-01-08,normal,3077196.5
2026-01-09,normal,3115308.0
2026-01-13,normal,3132408.0
2026-01-14,normal,3158353.0
2026-01-15,normal,3192513.0
2026-01-16,normal,3219270.5
2026-01-19,surge,3199570.5
2026-01-20,high_vol,3219380.0
2026-01-21,high_vol,3178980.0
2026-01-22,high_vol,3224741.5
2026-01-23,high_vol,3222578.0
2026-01-26,normal,3162278.0
2026-01-27,high_vol,3189627.5
2026-01-28,settling,3143327.5
2026-01-29,settling,3146190.0
2026-01-30,settling,3140211.0
2026-02-02,settling,3083463.5000000005
2026-02-03,settling,3190498.5000000005
2026-02-04,normal,3258498.5000000005
2026-02-05,normal,3273093.5000000005
2026-02-06,normal,3246752.5000000005
2026-02-09,normal,3220352.500000001
2026-02-10,surge,3257152.500000001
2026-02-12,surge,3257152.500000001
2026-02-13,surge,3257152.500000001
2026-02-16,surge,3257152.500000001
2026-02-17,high_vol,3295975.000000001
2026-02-18,high_vol,3254450.000000001
2026-02-19,high_vol,3276650.000000001
2026-02-20,high_vol,3255950.000000001
2026-02-24,high_vol,3285850.000000001
2026-02-25,high_vol,3253850.000000001
2026-02-26,normal,3269250.000000001
2026-02-27,settling,3394768.500000001
2026-03-02,settling,3397368.500000001
2026-03-03,settling,3371068.500000001
2026-03-04,normal,3280868.500000001
2026-03-05,crash,3300223.500000001
2026-03-06,crash,3223717.500000001
2026-03-09,crash,3219501.500000001
2026-03-10,crash,3234196.500000001
