date,ticker,action,price,shares,reason,nikkei_phase
2026-01-05,1814.T,BUY,3796.0999999999995,100,breakout_1p5_entry,stable
2026-01-05,8393.T,BUY,6638.099999999999,100,breakout_1p5_entry,stable
2026-01-05,1946.T,BUY,1977.0,200,breakout_1p5_entry,stable
2026-01-05,6331.T,BUY,3273.3749999999995,100,breakout_1p5_entry,stable
2026-01-05,1847.T,BUY,4875.0,100,breakout_1p5_entry,stable
2026-01-05,1736.T,BUY,2417.7299999999996,200,breakout_1p5_entry,stable
2026-01-05,6743.T,BUY,827.0,300,breakout_1p5_entry,stable
2026-01-09,6331.T,SELL,3265.0,100,sell_signal,normal
2026-01-09,7722.T,BUY,967.295,300,condition2_entry,normal
2026-01-14,8393.T,SELL,7160.0,100,sell_signal,normal
2026-01-14,1736.T,SELL,2621.0,200,take_profit,normal
2026-01-14,9845.T,BUY,1613.85,300,condition2_entry,normal
2026-01-15,7722.T,SELL,1047.0,300,take_profit,normal
2026-01-15,8393.T,BUY,7267.4,100,condition2_entry,normal
2026-01-16,1814.T,SELL,3970.0,100,sell_signal,normal
2026-01-16,1946.T,SELL,2149.0,200,take_profit,normal
2026-01-16,8393.T,SELL,7560.0,100,sell_signal,normal
2026-01-16,5105.T,BUY,4562.424999999999,100,condition2_entry,normal
2026-01-19,1847.T,SELL,5090.0,100,sell_signal,surge
2026-01-19,6743.T,SELL,826.0,300,sell_signal,surge
2026-01-19,9845.T,SELL,1591.0,300,sell_signal,surge
2026-01-19,5105.T,SELL,4445.0,100,sell_signal,surge
2026-01-20,1736.T,BUY,2725.2749999999996,100,q3_post_high_vol_entry,high_vol
2026-01-20,7184.T,BUY,2263.45,200,q3_post_high_vol_entry,high_vol
2026-01-20,1768.T,BUY,1519.455,300,q3_post_high_vol_entry,high_vol
2026-01-20,6343.T,BUY,180.67,2700,q3_post_high_vol_entry,high_vol
2026-01-20,4977.T,BUY,1273.8249999999998,300,q3_post_high_vol_entry,high_vol
2026-01-20,6538.T,BUY,369.46,1300,q3_post_high_vol_entry,high_vol
2026-01-20,6317.T,BUY,1868.6149999999998,200,q3_post_high_vol_entry,high_vol
2026-01-20,7619.T,BUY,915.5299999999999,300,q3_post_high_vol_entry,high_vol
2026-01-21,7184.T,SELL,2445.0,200,take_profit,high_vol
2026-01-22,6538.T,SELL,353.0,1300,sell_signal,high_vol
2026-01-22,7619.T,SELL,910.0,300,sell_signal,high_vol
2026-01-22,5105.T,BUY,4424.384999999999,100,q3_post_high_vol_entry,high_vol
2026-01-23,5105.T,SELL,4446.0,100,sell_signal,high_vol
2026-01-23,2411.T,BUY,508.51499999999993,900,q3_post_high_vol_entry,high_vol
2026-01-26,2411.T,SELL,481.0,900,stop_loss,normal
2026-01-27,6317.T,SELL,1767.0,200,stop_loss,high_vol
2026-01-27,4022.T,BUY,7115.15,100,q3_post_high_vol_entry,high_vol
2026-01-27,7184.T,BUY,2319.2749999999996,200,q3_post_high_vol_entry,high_vol
2026-01-27,8387.T,BUY,2016.8049999999998,100,q3_post_high_vol_entry,high_vol
2026-01-28,1736.T,SELL,2570.0,100,stop_loss,settling
2026-01-29,9534.T,BUY,817.0749999999999,500,q3_post_high_vol_entry,settling
2026-01-30,1768.T,SELL,1431.0,300,stop_loss,settling
2026-01-30,9534.T,SELL,823.0,500,sell_signal,settling
2026-01-30,8537.T,BUY,2404.535,200,q3_post_high_vol_entry,settling
2026-01-30,4220.T,BUY,1546.86,200,q3_post_high_vol_entry,settling
2026-02-02,8537.T,SELL,2299.0,200,sell_signal,settling
2026-02-02,4220.T,SELL,1655.0,200,sell_signal,settling
2026-02-02,1946.T,BUY,2075.6749999999997,200,q3_post_high_vol_entry,settling
2026-02-02,5901.T,BUY,3933.1249999999995,100,q3_post_high_vol_entry,settling
2026-02-03,1946.T,SELL,2028.0,200,sell_signal,settling
2026-02-03,1802.T,BUY,3600.0,100,q3_post_high_vol_entry,settling
2026-02-03,5697.T,BUY,817.0749999999999,100,q3_post_high_vol_entry,settling
2026-02-03,1443.T,BUY,309.575,100,q3_post_high_vol_entry,settling
2026-02-04,4022.T,SELL,7590.0,100,sell_signal,normal
2026-02-04,8387.T,SELL,2196.0,100,take_profit,normal
2026-02-04,5697.T,SELL,818.0,100,sell_signal,normal
2026-02-04,1443.T,SELL,338.0,100,take_profit,normal
2026-02-05,7184.T,SELL,2450.0,200,pre_earnings_exit,normal
2026-02-05,4366.T,BUY,402.955,1200,condition2_entry,normal
2026-02-05,7971.T,BUY,791.6999999999999,600,condition2_entry,normal
2026-02-05,2288.T,BUY,2347.6949999999997,200,condition2_entry,normal
2026-02-06,1802.T,SELL,3850.0,100,pre_earnings_exit,normal
2026-02-06,7971.T,SELL,795.0,600,sell_signal,normal
2026-02-06,2288.T,SELL,2384.0,200,sell_signal,normal
2026-02-06,9074.T,BUY,5744.9,100,condition2_entry,normal
2026-02-06,9063.T,BUY,4562.424999999999,100,condition2_entry,normal
2026-02-06,8439.T,BUY,2202.0424999999996,200,condition2_entry,normal
2026-02-09,5901.T,SELL,4134.0,100,pre_earnings_exit,normal
2026-02-09,9074.T,SELL,5500.0,100,sell_signal,normal
2026-02-09,9063.T,SELL,4400.0,100,sell_signal,normal
2026-02-09,8439.T,SELL,2186.0,200,sell_signal,normal
2026-02-09,8344.T,BUY,2500.0,200,condition2_entry,normal
2026-02-09,7722.T,BUY,1142.0,400,condition2_entry,normal
2026-02-09,1736.T,BUY,2700.0,100,condition2_entry,normal
2026-02-09,9768.T,BUY,4650.0,100,condition2_entry,normal
2026-02-09,4220.T,BUY,1798.0,100,condition2_entry,normal
2026-02-10,6343.T,SELL,210.0,2700,take_profit,surge
2026-02-10,4977.T,SELL,1293.0,300,sell_signal,surge
2026-02-10,4366.T,SELL,400.0,1200,sell_signal,surge
2026-02-10,8344.T,SELL,2672.0,200,sell_signal,surge
2026-02-10,7722.T,SELL,1016.0,400,stop_loss,surge
2026-02-10,1736.T,SELL,2562.0,100,stop_loss,surge
2026-02-10,9768.T,SELL,4485.0,100,sell_signal,surge
2026-02-10,4220.T,SELL,1752.0,100,sell_signal,surge
2026-02-17,4366.T,BUY,415.13499999999993,1200,q3_post_high_vol_entry,high_vol
2026-02-17,6493.T,BUY,748.055,600,q3_post_high_vol_entry,high_vol
2026-02-17,1768.T,BUY,1712.3049999999998,200,q3_post_high_vol_entry,high_vol
2026-02-17,9534.T,BUY,926.6949999999999,500,q3_post_high_vol_entry,high_vol
2026-02-17,9531.T,BUY,7551.599999999999,100,q3_post_high_vol_entry,high_vol
2026-02-17,7299.T,BUY,2170.0699999999997,200,q3_post_high_vol_entry,high_vol
2026-02-17,3352.T,BUY,1767.0,100,q3_post_high_vol_entry,high_vol
2026-02-18,6493.T,SELL,743.0,600,sell_signal,high_vol
2026-02-18,9534.T,SELL,854.0,500,stop_loss,high_vol
2026-02-18,8537.T,BUY,2684.6749999999997,100,q3_post_high_vol_entry,high_vol
2026-02-18,8344.T,BUY,2622.0,100,q3_post_high_vol_entry,high_vol
2026-02-18,1814.T,BUY,4369.575,100,q3_post_high_vol_entry,high_vol
2026-02-26,4366.T,SELL,445.0,1200,sell_signal,normal
2026-02-26,7299.T,SELL,2164.0,200,sell_signal,normal
2026-02-26,8537.T,SELL,2866.0,100,sell_signal,normal
2026-02-27,5714.T,BUY,10655.0,100,q3_post_high_vol_entry,settling
2026-02-27,8346.T,BUY,717.6049999999999,300,q3_post_high_vol_entry,settling
2026-03-02,5714.T,SELL,11830.0,100,take_profit,settling
2026-03-03,1768.T,SELL,1567.0,200,stop_loss,settling
2026-03-04,8344.T,SELL,2387.0,100,stop_loss,normal
2026-03-04,1814.T,SELL,3995.0,100,stop_loss,normal
2026-03-04,8346.T,SELL,622.0,300,stop_loss,normal
