date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2980302.0,-19698.0
2025-04-02,crash,2959598.0,-20704.0
2025-04-03,crash,2938598.0,-21000.0
2025-04-04,crash,2938598.0,0.0
2025-04-07,crash,2938598.0,0.0
2025-04-08,crash,2938598.0,0.0
2025-04-09,crash,2928087.0,-10511.0
2025-04-10,crash,2981687.0,53600.0
2025-04-11,crash,2987715.0,6028.0
2025-04-14,crash,3006215.0,18500.0
2025-04-15,capitulation_end,3010366.0,4151.0
2025-04-16,crash,3009488.0,-878.0
2025-04-17,capitulation_end,3022626.0,13138.0
2025-04-18,crash,3101636.0,79010.0
2025-04-21,crash,3101772.0,136.0
2025-04-22,crash,3072052.0,-29720.0
2025-04-23,crash,3070452.0,-1600.0
2025-04-24,downtrend,3056143.6463012695,-14308.353698730469
2025-04-25,downtrend,3190037.589807129,133893.94350585947
2025-04-28,settling,3221502.6430297852,31465.05322265625
2025-04-30,normal,3253302.5697875977,31799.9267578125
2025-05-01,normal,3249102.4965454102,-4200.0732421875
2025-05-02,normal,3242502.6430297852,-6599.853515625
2025-05-07,normal,3242502.6430297852,0.0
2025-05-08,normal,3236926.6430297852,-5576.0
2025-05-09,normal,3257034.2430297853,20107.600000000093
2025-05-12,normal,3218217.043029785,-38817.200000000186
2025-05-13,normal,3183277.2430297853,-34939.799999999814
2025-05-14,normal,3174286.054150391,-8991.188879394438
2025-05-15,normal,3219886.054150391,45600.0
2025-05-16,normal,3273387.323730469,53501.26958007831
2025-05-19,normal,3228206.523730469,-45180.80000000028
2025-05-20,normal,3221849.4986328124,-6357.025097656529
2025-05-21,uptrend,3233206.6275390624,11357.12890625
2025-05-22,uptrend,3242006.6275390624,8800.0
2025-05-23,uptrend,3249420.1275390624,7413.5
2025-05-26,uptrend,3274820.1275390624,25400.0
2025-05-27,uptrend,3277859.6275390624,3039.5
2025-05-28,uptrend,3280059.6275390624,2200.0
2025-05-29,uptrend,3290462.1275390624,10402.5
2025-05-30,uptrend,3280261.6275390624,-10200.5
2025-06-02,uptrend,3251811.6275390624,-28450.0
2025-06-03,normal,3255558.1275390624,3746.5
2025-06-04,normal,3309558.127539063,54000.000000000466
2025-06-05,normal,3292758.127539063,-16800.0
2025-06-06,normal,3315558.127539063,22800.0
2025-06-09,normal,3318105.127539063,2547.0
2025-06-10,normal,3341412.627539063,23307.5
2025-06-11,normal,3356312.627539063,14900.0
2025-06-12,normal,3367662.627539063,11350.0
2025-06-13,stable,3352242.627539063,-15420.0
2025-06-16,stable,3393842.627539063,41600.0
2025-06-17,stable,3423892.627539063,30050.0
2025-06-18,stable,3416132.627539063,-7760.0
2025-06-19,uptrend,3434032.627539063,17900.0
2025-06-20,uptrend,3391732.627539063,-42300.0
2025-06-23,uptrend,3377652.627539063,-14080.0
2025-06-24,stable,3390912.127539063,13259.5
2025-06-25,stable,3391862.127539063,950.0
2025-06-26,uptrend,3387862.127539063,-4000.0
2025-06-27,stable,3377962.127539063,-9900.0
2025-06-30,uptrend,3359555.4773925785,-18406.650146484375
