date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,3032102.349609375,32102.349609375
2025-07-02,uptrend,3019469.0,-12633.349609375
2025-07-03,settling,2968831.849609375,-50637.150390625
2025-07-04,settling,2994031.849609375,25200.0
2025-07-07,settling,3019098.5,25066.650390625
2025-07-08,settling,3046865.150390625,27766.650390625
2025-07-09,uptrend,3125498.5,78633.349609375
2025-07-10,uptrend,3129798.5,4300.0
2025-07-11,uptrend,3134198.5,4400.0
2025-07-14,uptrend,3172161.0,37962.5
2025-07-15,stable,3138977.0,-33184.0
2025-07-16,stable,3159077.0,20100.0
2025-07-17,stable,3172177.0,13100.0
2025-07-18,uptrend,3179177.0,7000.0
2025-07-22,uptrend,3197477.0,18300.0
2025-07-23,uptrend,3185212.0,-12265.0
2025-07-24,uptrend,3185812.0,600.0
2025-07-25,normal,3223572.0,37760.0
2025-07-28,normal,3220472.0,-3100.0
2025-07-29,normal,3208672.0,-11800.0
2025-07-30,normal,3248583.0,39911.0
2025-07-31,normal,3312359.349609375,63776.349609375
2025-08-01,normal,3346869.0,34509.650390625
2025-08-04,normal,3356671.5,9802.5
2025-08-05,normal,3445548.0,88876.5
2025-08-06,normal,3551196.0,105648.0
2025-08-07,settling,3578665.25,27469.25
2025-08-08,settling,3613746.0751342773,35080.825134277344
2025-08-12,settling,3574816.249938965,-38929.8251953125
2025-08-13,settling,3584964.5751342773,10148.3251953125
2025-08-14,uptrend,3553810.749938965,-31153.8251953125
2025-08-15,normal,3595262.912536621,41452.16259765625
2025-08-18,overheated_range,3657900.912536621,62638.0
2025-08-19,overheated_range,3630762.5751342773,-27138.33740234375
2025-08-20,settling,3638663.749938965,7901.1748046875
2025-08-21,normal,3672448.075073242,33784.325134277344
2025-08-22,normal,3770201.0750732427,97753.00000000047
2025-08-25,normal,3788184.4002685547,17983.325195312034
2025-08-26,normal,3759717.7498779297,-28466.650390625
2025-08-27,settling,3759393.237670899,-324.51220703078434
2025-08-28,settling,3839454.075073242,80060.83740234328
2025-08-29,settling,3811554.075073242,-27900.0
2025-09-01,settling,3823754.075073242,12200.0
2025-09-02,settling,3854820.74987793,31066.674804687966
2025-09-03,uptrend,3812487.4124755864,-42333.33740234375
2025-09-04,uptrend,3843494.900268555,31007.48779296875
2025-09-05,uptrend,3859609.0750732427,16114.1748046875
2025-09-08,uptrend,3886200.737670899,26591.66259765625
2025-09-09,uptrend,3874067.4124755864,-12133.3251953125
2025-09-10,stable,3904000.74987793,29933.33740234375
2025-09-11,normal,3894278.0750732427,-9722.6748046875
2025-09-12,uptrend,3911444.737670899,17166.66259765625
2025-09-16,uptrend,3908944.737670899,-2500.0
2025-09-17,stable,3843544.737670899,-65400.0
2025-09-18,stable,3821523.7376708994,-22020.999999999534
2025-09-19,uptrend,3832351.2376708994,10827.5
2025-09-22,uptrend,3846784.575073243,14433.33740234375
2025-09-24,uptrend,3835782.575073243,-11002.0
2025-09-25,uptrend,3825515.9002685556,-10266.6748046875
2025-09-26,uptrend,3884854.2376708994,59338.33740234375
2025-09-29,uptrend,3850454.2376708994,-34400.0
2025-09-30,uptrend,3850386.550781251,-67.6868896484375
