date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2980302.0,-19698.0
2025-04-02,crash,2959598.0,-20704.0
2025-04-03,crash,2938598.0,-21000.0
2025-04-04,crash,2938598.0,0.0
2025-04-07,crash,2938598.0,0.0
2025-04-08,crash,2938598.0,0.0
2025-04-09,crash,2928087.0,-10511.0
2025-04-10,crash,2981687.0,53600.0
2025-04-11,crash,2987715.0,6028.0
2025-04-14,crash,3006215.0,18500.0
2025-04-15,capitulation_end,3010366.0,4151.0
2025-04-16,crash,3009488.0,-878.0
2025-04-17,capitulation_end,3022626.0,13138.0
2025-04-18,crash,3101636.0,79010.0
2025-04-21,crash,3101772.0,136.0
2025-04-22,crash,3072052.0,-29720.0
2025-04-23,crash,3070452.0,-1600.0
2025-04-24,downtrend,3056143.6463012695,-14308.353698730469
2025-04-25,downtrend,3190037.589807129,133893.94350585947
2025-04-28,settling,3244369.989807129,54332.39999999991
2025-04-30,normal,3240269.989807129,-4100.0
2025-05-01,normal,3276098.389807129,35828.39999999991
2025-05-02,normal,3240656.389807129,-35442.0
2025-05-07,normal,3216970.989807129,-23685.399999999907
2025-05-08,normal,3160994.989807129,-55976.0
2025-05-09,normal,3181102.589807129,20107.600000000093
2025-05-12,normal,3142285.3898071293,-38817.19999999972
2025-05-13,normal,3107345.5898071295,-34939.799999999814
2025-05-14,normal,3103323.5898071295,-4022.0
2025-05-15,normal,3104511.9898071294,1188.3999999999069
2025-05-16,normal,3155461.9898071294,50950.0
2025-05-19,normal,3072331.189807129,-83130.80000000028
2025-05-20,normal,3065974.1647094726,-6357.025097656529
2025-05-21,uptrend,3077331.2936157226,11357.12890625
2025-05-22,uptrend,3086131.2936157226,8800.0
2025-05-23,uptrend,3093544.7936157226,7413.5
2025-05-26,uptrend,3118944.7936157226,25400.0
2025-05-27,uptrend,3121984.2936157226,3039.5
2025-05-28,uptrend,3124184.2936157226,2200.0
2025-05-29,uptrend,3134586.7936157226,10402.5
2025-05-30,uptrend,3122136.2936157226,-12450.5
2025-06-02,uptrend,3095986.2936157226,-26150.0
2025-06-03,normal,3104016.2936157226,8030.0
2025-06-04,normal,3144916.2936157226,40900.0
2025-06-05,normal,3133116.2936157226,-11800.0
2025-06-06,normal,3140916.2936157226,7800.0
2025-06-09,normal,3134863.2936157226,-6053.0
2025-06-10,normal,3167370.7936157226,32507.5
2025-06-11,normal,3189370.7936157226,22000.0
2025-06-12,normal,3201920.7936157226,12550.0
2025-06-13,stable,3147800.7936157226,-54120.0
2025-06-16,stable,3175200.7936157226,27400.0
2025-06-17,stable,3204050.7936157226,28850.0
2025-06-18,stable,3191335.7936157226,-12715.0
2025-06-19,uptrend,3206635.7936157226,15300.0
2025-06-20,uptrend,3157735.7936157226,-48900.0
2025-06-23,uptrend,3130455.7936157226,-27280.0
2025-06-24,stable,3145463.2936157226,15007.5
2025-06-25,stable,3142113.2936157226,-3350.0
2025-06-26,uptrend,3125813.2936157226,-16300.0
2025-06-27,stable,3118113.2936157226,-7700.0
2025-06-30,uptrend,3099205.143469238,-18908.150146484375
