date,ticker,action,price,shares,reason,nikkei_phase
2025-04-01,3271.T,BUY,909.0,500,q2_defensive_entry,crash
2025-04-01,1921.T,BUY,1206.95,400,q2_defensive_entry,crash
2025-04-01,5729.T,BUY,5010.0,100,q2_defensive_entry,crash
2025-04-01,8152.T,BUY,6655.9,100,q2_defensive_entry,crash
2025-04-01,9467.T,BUY,1435.0,300,q2_defensive_entry,crash
2025-04-01,5989.T,BUY,1143.32,400,q2_defensive_entry,crash
2025-04-02,3271.T,SELL,925.12,500,crash_early_exit,crash
2025-04-02,1921.T,SELL,1174.04,400,crash_early_exit,crash
2025-04-02,8152.T,SELL,6580.0,100,sell_signal,crash
2025-04-02,9467.T,SELL,1352.3999999999999,300,crash_early_exit,crash
2025-04-02,5989.T,SELL,1161.0,400,sell_signal,crash
2025-04-03,5729.T,SELL,4700.0,100,crash_early_exit,crash
2025-04-09,3989.T,BUY,1008.0,400,q2_defensive_entry,crash
2025-04-09,9467.T,BUY,1307.95,300,q2_defensive_entry,crash
2025-04-09,4931.T,BUY,2285.63,200,q2_defensive_entry,crash
2025-04-10,9467.T,SELL,1385.0,300,take_profit,crash
2025-04-10,2975.T,BUY,910.0,500,q2_defensive_entry,crash
2025-04-11,3989.T,SELL,1009.0,400,crash_early_exit,crash
2025-04-11,4931.T,SELL,2314.7599999999998,200,crash_early_exit,crash
2025-04-11,2924.T,BUY,1994.75,200,q2_defensive_entry,crash
2025-04-11,3930.T,BUY,1284.72,300,q2_defensive_entry,crash
2025-04-11,9790.T,BUY,3282.5,100,q2_defensive_entry,crash
2025-04-11,3916.T,BUY,1163.52,400,q2_defensive_entry,crash
2025-04-14,9790.T,SELL,3345.0,100,sell_signal,crash
2025-04-15,3271.T,BUY,950.898,500,post_major_prev_high_break_entry,capitulation_end
2025-04-16,3930.T,SELL,1257.34,300,crash_early_exit,crash
2025-04-16,3271.T,SELL,975.0,500,sell_signal,crash
2025-04-16,7273.T,BUY,460.0,1000,q2_defensive_entry,crash
2025-04-16,3271.T,BUY,965.5600000000001,500,q2_defensive_entry,crash
2025-04-17,3916.T,SELL,1187.5,400,sell_signal,capitulation_end
2025-04-17,7273.T,SELL,431.0,1000,stop_loss,capitulation_end
2025-04-17,3271.T,SELL,994.0,500,sell_signal,capitulation_end
2025-04-17,3271.T,BUY,980.958,500,post_major_prev_high_break_entry,capitulation_end
2025-04-17,1921.T,BUY,1307.61,300,post_major_prev_high_break_entry,capitulation_end
2025-04-18,2975.T,SELL,982.0,500,take_profit,crash
2025-04-18,2924.T,SELL,2150.0,200,take_profit,crash
2025-04-18,3271.T,SELL,1040.0,500,take_profit,crash
2025-04-18,1921.T,SELL,1399.0,300,take_profit,crash
2025-04-18,7273.T,BUY,438.0,1100,q2_defensive_entry,crash
2025-04-18,3271.T,BUY,1016.0,400,q2_defensive_entry,crash
2025-04-18,4393.T,BUY,8938.5,100,q2_defensive_entry,crash
2025-04-18,1418.T,BUY,383.8,1300,q2_defensive_entry,crash
2025-04-21,7273.T,SELL,422.38,1100,crash_early_exit,crash
2025-04-21,1418.T,SELL,371.42,1300,crash_early_exit,crash
2025-04-21,6445.T,BUY,1092.82,400,q2_defensive_entry,crash
2025-04-22,3271.T,SELL,1022.0,400,crash_early_exit,crash
2025-04-22,4393.T,SELL,8878.8,100,crash_early_exit,crash
2025-04-24,6445.T,SELL,1116.0,400,sell_signal,downtrend
2025-04-28,4393.T,BUY,10310.58,100,post_major_prev_high_break_entry,settling
2025-04-28,3271.T,BUY,1014.024,400,post_major_prev_high_break_entry,settling
2025-04-30,4393.T,SELL,10460.0,100,sell_signal,normal
2025-04-30,3271.T,SELL,980.0,400,stop_loss,normal
2025-04-30,3465.T,BUY,4963.349999999999,100,condition2_entry,normal
2025-04-30,4709.T,BUY,2009.6999999999998,200,condition2_entry,normal
2025-05-01,4709.T,SELL,1994.0,200,sell_signal,normal
2025-05-01,6037.T,BUY,925.68,500,condition2_entry,normal
2025-05-07,3635.T,BUY,2520.03,100,post_major_prev_high_break_entry,normal
2025-05-07,2924.T,BUY,2210.412,200,post_major_prev_high_break_entry,normal
2025-05-08,3635.T,SELL,2433.0,100,stop_loss,normal
2025-05-08,2924.T,SELL,2006.0,200,stop_loss,normal
2025-05-08,9028.T,BUY,2885.76,100,post_major_prev_high_break_entry,normal
2025-05-09,6037.T,SELL,876.0,500,stop_loss,normal
2025-05-09,9028.T,SELL,2865.0,100,sell_signal,normal
2025-05-09,5843.T,BUY,1804.602,200,post_major_prev_high_break_entry,normal
2025-05-09,3271.T,BUY,973.944,500,post_major_prev_high_break_entry,normal
2025-05-12,5843.T,SELL,1768.0,200,sell_signal,normal
2025-05-12,3271.T,SELL,910.0,500,stop_loss,normal
2025-05-12,4931.T,BUY,2422.836,200,post_major_prev_high_break_entry,normal
2025-05-12,7273.T,BUY,420.0,1100,post_major_prev_high_break_entry,normal
2025-05-13,4931.T,SELL,2442.0,200,sell_signal,normal
2025-05-13,7273.T,SELL,428.0,1100,sell_signal,normal
2025-05-13,2975.T,BUY,972.0,500,post_major_prev_high_break_entry,normal
2025-05-13,2805.T,BUY,2954.898,100,post_major_prev_high_break_entry,normal
2025-05-14,3465.T,SELL,5030.0,100,pre_earnings_exit,normal
2025-05-14,2975.T,SELL,919.0,500,stop_loss,normal
2025-05-14,2805.T,SELL,2779.0,100,stop_loss,normal
