date,phase_name,post_major_crash_mode,post_major_phase,post_major_active,stock_post_major_active,stock_gate_reason,sector_mode,sector_top_share,sector_hhi,sector_count
2024-07-01,stable,False,stable,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-02,stable,False,stable,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-03,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-04,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-05,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-08,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-09,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-10,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-11,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-12,uptrend,False,uptrend,False,False,not_post_major,dispersed,0.21739130434782608,0.11153119092627602,12
2024-07-16,normal,False,normal,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-17,overheated_range,False,overheated_range,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-18,normal,False,normal,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-19,normal,False,high_vol,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-22,normal,False,normal,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-23,normal,False,high_vol,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-24,normal,False,high_vol,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-25,normal,False,normal,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-26,normal,False,normal,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-29,normal,False,normal,False,False,not_post_major,dispersed,0.14814814814814814,0.08916323731138545,14
2024-07-30,crash,False,crash,False,False,not_post_major,dispersed,0.13636363636363635,0.08677685950413219,14
2024-07-31,crash,False,crash,False,False,not_post_major,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-01,downtrend,False,high_vol,False,False,not_post_major,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-02,crash,False,crash,False,False,not_post_major,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-05,crash,True,crash,False,False,phase_crash,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-06,crash,True,crash,False,False,phase_crash,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-07,crash,True,crash,False,False,phase_crash,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-08,crash,True,crash,False,False,phase_crash,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-09,crash,True,crash,False,False,phase_crash,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-13,crash,True,crash,False,False,phase_crash,dispersed,0.13636363636363635,0.08677685950413219,14
2024-08-14,capitulation_end,True,capitulation_end,True,True,capitulation_end,concentrated,0.6666666666666666,0.5555555555555556,2
2024-08-15,capitulation_end,True,capitulation_end,True,True,capitulation_end,concentrated,0.6666666666666666,0.5555555555555556,2
2024-08-16,crash,True,crash,False,False,phase_crash,concentrated,0.6666666666666666,0.5555555555555556,2
