date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2980302.0,-19698.0
2025-04-02,crash,2959598.0,-20704.0
2025-04-03,crash,2938598.0,-21000.0
2025-04-04,crash,2938598.0,0.0
2025-04-07,crash,2938598.0,0.0
2025-04-08,crash,2938598.0,0.0
2025-04-09,crash,2928087.0,-10511.0
2025-04-10,crash,2981687.0,53600.0
2025-04-11,crash,2987715.0,6028.0
2025-04-14,crash,3006215.0,18500.0
2025-04-15,capitulation_end,3003566.0,-2649.0
2025-04-16,crash,3003488.0,-78.0
2025-04-17,capitulation_end,3016626.0,13138.0
2025-04-18,crash,3095636.0,79010.0
2025-04-21,crash,3095772.0,136.0
2025-04-22,crash,3066052.0,-29720.0
2025-04-23,crash,3064452.0,-1600.0
2025-04-24,downtrend,3053547.0,-10905.0
2025-04-25,downtrend,3039552.2,-13994.799999999814
2025-04-28,settling,3021175.6,-18376.600000000093
2025-04-30,normal,2993875.6,-27300.0
2025-05-01,normal,3031304.0,37428.39999999991
2025-05-02,normal,2995862.0,-35442.0
2025-05-07,normal,2972176.6,-23685.399999999907
2025-05-08,normal,2921776.6,-50400.0
2025-05-09,normal,2938384.2,16607.600000000093
2025-05-12,normal,2899567.0,-38817.200000000186
2025-05-13,normal,2864627.2,-34939.799999999814
2025-05-14,normal,2855509.2,-9118.0
2025-05-15,normal,2865497.6,9988.399999999907
2025-05-16,normal,2916447.6,50950.0
2025-05-19,normal,2871266.8,-45180.80000000028
2025-05-20,normal,2864909.7749023433,-6357.025097656529
2025-05-21,uptrend,2876266.9038085933,11357.12890625
2025-05-22,uptrend,2885066.9038085933,8800.0
2025-05-23,uptrend,2892480.4038085933,7413.5
2025-05-26,uptrend,2917880.4038085933,25400.0
2025-05-27,uptrend,2920919.9038085933,3039.5
2025-05-28,uptrend,2923119.9038085933,2200.0
2025-05-29,uptrend,2933522.4038085933,10402.5
2025-05-30,uptrend,2924140.9038085933,-9381.5
2025-06-02,uptrend,2898390.9038085933,-25750.0
2025-06-03,normal,2905036.4038085933,6645.5
2025-06-04,normal,2947836.4038085933,42800.0
2025-06-05,normal,2933136.4038085933,-14700.0
2025-06-06,normal,2942936.4038085933,9800.0
2025-06-09,normal,2935083.4038085933,-7853.0
2025-06-10,normal,2967190.9038085933,32107.5
2025-06-11,normal,2989490.9038085933,22300.0
2025-06-12,normal,3001140.9038085933,11650.0
2025-06-13,stable,2946920.9038085933,-54220.0
2025-06-16,stable,2979720.9038085933,32800.0
2025-06-17,stable,3007970.9038085933,28250.0
2025-06-18,stable,2997155.9038085933,-10815.0
2025-06-19,uptrend,3013455.9038085933,16300.0
2025-06-20,uptrend,2962755.9038085933,-50700.0
2025-06-23,uptrend,2940475.9038085933,-22280.0
2025-06-24,stable,2956487.4038085933,16011.5
2025-06-25,stable,2953237.4038085933,-3250.0
2025-06-26,uptrend,2949037.4038085933,-4200.0
2025-06-27,stable,2938937.4038085933,-10100.0
2025-06-30,uptrend,2920258.253662109,-18679.150146484375
