date,ticker,action,price,shares,reason,nikkei_phase
2024-07-01,7721.T,BUY,3613.3999999999996,100,breakout_1p5_entry,stable
2024-07-01,6231.T,BUY,5907.299999999999,100,breakout_1p5_entry,stable
2024-07-01,8766.T,BUY,6095.075,100,breakout_1p5_entry,stable
2024-07-01,4275.T,BUY,1468.705,300,breakout_1p5_entry,stable
2024-07-01,6371.T,BUY,2107.816749267578,200,breakout_1p5_entry,stable
2024-07-01,2674.T,BUY,2112.2149999999997,200,breakout_1p5_entry,stable
2024-07-02,6231.T,SELL,5540.0,100,stop_loss,stable
2024-07-03,7721.T,SELL,3845.0,100,sell_signal,uptrend
2024-07-10,8766.T,SELL,6596.0,100,take_profit,uptrend
2024-07-11,7721.T,BUY,3850.0,100,condition2_entry,uptrend
2024-07-12,7721.T,SELL,3750.0,100,sell_signal,uptrend
2024-07-16,3431.T,BUY,2496.8999999999996,200,condition2_entry,normal
2024-07-16,8725.T,BUY,3800.0,100,condition2_entry,normal
2024-07-16,8522.T,BUY,2649.1499999999996,100,condition2_entry,normal
2024-07-16,4685.T,BUY,2325.0,200,condition2_entry,normal
2024-07-16,8750.T,BUY,1161.5,100,condition2_entry,normal
2024-07-22,4685.T,SELL,2097.5,200,stop_loss,normal
2024-07-24,8725.T,SELL,3588.0,100,stop_loss,normal
2024-07-25,4275.T,SELL,1395.0,300,stop_loss,normal
2024-07-25,6371.T,SELL,2096.666748046875,200,pre_earnings_exit,normal
2024-07-25,8522.T,SELL,2500.0,100,stop_loss,normal
2024-07-25,8750.T,SELL,1102.5,100,stop_loss,normal
2024-07-26,2674.T,SELL,2037.0,200,sell_signal,normal
2024-07-26,8877.T,BUY,4506.599999999999,100,condition2_entry,normal
2024-07-29,8877.T,SELL,4665.0,100,sell_signal,normal
2024-07-30,3431.T,SELL,2364.25,200,crash_early_exit,crash
2024-07-30,7979.T,BUY,2441.675,200,q2_defensive_entry,crash
2024-07-30,9722.T,BUY,1708.92,200,q2_defensive_entry,crash
2024-07-30,6230.T,BUY,2620.0,100,q2_defensive_entry,crash
2024-07-30,3712.T,BUY,4469.25,100,q2_defensive_entry,crash
2024-07-30,7327.T,BUY,972.966646118164,500,q2_defensive_entry,crash
2024-07-30,6946.T,BUY,2541.16,100,q2_defensive_entry,crash
2024-07-30,7148.T,BUY,2408.85,200,q2_defensive_entry,crash
2024-07-30,5288.T,BUY,973.64,100,q2_defensive_entry,crash
2024-07-31,7979.T,SELL,2396.1,200,crash_early_exit,crash
2024-07-31,9722.T,SELL,1644.0,200,crash_early_exit,crash
2024-07-31,6230.T,SELL,2470.0,100,stop_loss,crash
2024-07-31,6946.T,SELL,2332.4,100,crash_early_exit,crash
2024-07-31,7148.T,SELL,2440.0,200,crash_early_exit,crash
2024-07-31,5288.T,SELL,987.0,100,sell_signal,crash
2024-08-01,3712.T,SELL,4395.0,100,sell_signal,downtrend
2024-08-01,7327.T,SELL,976.6666870117188,500,sell_signal,downtrend
2024-08-02,5941.T,BUY,2630.0,100,q2_defensive_entry,crash
2024-08-02,2791.T,BUY,10706.0,100,q2_defensive_entry,crash
2024-08-05,5941.T,SELL,2331.0,100,crash_early_exit,crash
2024-08-05,2791.T,SELL,10329.199999999999,100,crash_early_exit,crash
2024-08-07,6946.T,BUY,2032.1200000000001,200,q2_defensive_entry,crash
2024-08-07,5941.T,BUY,2251.0,200,q2_defensive_entry,crash
2024-08-07,9651.T,BUY,1245.33,400,q2_defensive_entry,crash
2024-08-07,1826.T,BUY,812.04,600,q2_defensive_entry,crash
2024-08-07,9761.T,BUY,1809.0,200,q2_defensive_entry,crash
2024-08-08,6946.T,SELL,2140.32,200,crash_early_exit,crash
2024-08-08,5941.T,SELL,2438.24,200,crash_early_exit,crash
2024-08-08,9651.T,SELL,1310.0,400,take_profit,crash
2024-08-08,1826.T,SELL,817.3199999999999,600,crash_early_exit,crash
2024-08-08,3712.T,BUY,4221.8,100,q2_defensive_entry,crash
2024-08-08,3261.T,BUY,479.75,1000,q2_defensive_entry,crash
2024-08-09,3712.T,SELL,4145.0,100,crash_early_exit,crash
2024-08-09,3261.T,SELL,524.0,1000,take_profit,crash
2024-08-13,1826.T,BUY,877.69,500,q2_defensive_entry,crash
2024-08-13,2923.T,BUY,7241.7,100,q2_defensive_entry,crash
2024-08-14,9761.T,SELL,1833.0,200,sell_signal,capitulation_end
2024-08-14,1826.T,SELL,871.0,500,sell_signal,capitulation_end
2024-08-14,2923.T,SELL,7280.0,100,sell_signal,capitulation_end
2024-08-14,2327.T,BUY,3632.25,100,post_major_prev_high_break_entry,capitulation_end
2024-08-14,4685.T,BUY,1996.485,200,post_major_prev_high_break_entry,capitulation_end
2024-08-15,2327.T,SELL,3575.0,100,sell_signal,capitulation_end
2024-08-15,4685.T,SELL,2012.5,200,sell_signal,capitulation_end
2024-08-15,7979.T,BUY,2417.325,200,post_major_prev_high_break_entry,capitulation_end
2024-08-15,6371.T,BUY,1990.6399592285156,200,post_major_prev_high_break_entry,capitulation_end
2024-08-16,7979.T,SELL,2670.0,200,take_profit,crash
2024-08-16,6371.T,SELL,2033.3333740234373,200,sell_signal,crash
2024-08-16,2749.T,BUY,637.0,700,q2_defensive_entry,crash
2024-08-16,6632.T,BUY,1149.0,400,q2_defensive_entry,crash
2024-08-16,6230.T,BUY,2345.0,200,q2_defensive_entry,crash
2024-08-16,5889.T,BUY,3045.0,100,q2_defensive_entry,crash
2024-08-16,9882.T,BUY,1262.5,300,q2_defensive_entry,crash
2024-08-16,4536.T,BUY,1808.405,200,q2_defensive_entry,crash
2024-08-16,2585.T,BUY,1705.0,200,q2_defensive_entry,crash
2024-08-16,3261.T,BUY,547.42,300,q2_defensive_entry,crash
2024-08-19,2749.T,SELL,657.0,700,sell_signal,downtrend
2024-08-19,6632.T,SELL,1162.0,400,sell_signal,downtrend
2024-08-19,6230.T,SELL,2432.5,200,sell_signal,downtrend
2024-08-19,5889.T,SELL,3160.0,100,sell_signal,downtrend
2024-08-19,9882.T,SELL,1260.0,300,sell_signal,downtrend
2024-08-19,4536.T,SELL,1823.0,200,sell_signal,downtrend
2024-08-19,2585.T,SELL,1812.5,200,take_profit,downtrend
2024-08-19,3261.T,SELL,563.0,300,sell_signal,downtrend
2024-08-19,7979.T,BUY,2675.34,100,post_major_prev_high_break_entry,downtrend
2024-08-19,4116.T,BUY,3171.33,100,post_major_prev_high_break_entry,downtrend
2024-08-20,7979.T,SELL,2550.0,100,stop_loss,downtrend
2024-08-20,4116.T,SELL,3165.0,100,sell_signal,downtrend
2024-08-20,1921.T,BUY,941.88,500,post_major_prev_high_break_entry,downtrend
2024-08-20,8750.T,BUY,1048.8435,400,post_major_prev_high_break_entry,downtrend
2024-08-21,8750.T,SELL,1014.75,400,stop_loss,downtrend
2024-08-21,8061.T,BUY,1399.4599592285156,300,post_major_prev_high_break_entry,downtrend
2024-08-21,2349.T,BUY,2295.582,200,post_major_prev_high_break_entry,downtrend
2024-08-22,1921.T,SELL,969.0,500,sell_signal,downtrend
2024-08-22,8061.T,SELL,1351.6666259765625,300,stop_loss,downtrend
2024-08-22,8152.T,BUY,4615.0,100,post_major_prev_high_break_entry,downtrend
2024-08-22,8750.T,BUY,1020.0,400,post_major_prev_high_break_entry,downtrend
2024-08-23,2349.T,SELL,2515.0,200,take_profit,downtrend
2024-08-23,8152.T,SELL,4550.0,100,sell_signal,downtrend
2024-08-23,8750.T,SELL,1028.5,400,sell_signal,downtrend
2024-08-23,1921.T,BUY,987.972,500,post_major_prev_high_break_entry,downtrend
2024-08-23,7979.T,BUY,2620.0,100,post_major_prev_high_break_entry,downtrend
2024-08-26,1921.T,SELL,966.0,500,sell_signal,downtrend
2024-08-26,7979.T,SELL,2565.0,100,sell_signal,downtrend
2024-08-26,7460.T,BUY,1878.75,200,post_major_prev_high_break_entry,downtrend
2024-08-26,3106.T,BUY,4775.0,100,post_major_prev_high_break_entry,downtrend
2024-08-27,8725.T,BUY,3286.56,100,post_major_prev_high_break_entry,downtrend
2024-08-27,8750.T,BUY,1032.561,400,post_major_prev_high_break_entry,downtrend
2024-08-28,8725.T,SELL,3298.0,100,sell_signal,downtrend
2024-08-28,8766.T,BUY,5392.764,100,post_major_prev_high_break_entry,downtrend
2024-08-28,4685.T,BUY,2040.0,200,post_major_prev_high_break_entry,downtrend
2024-08-29,7460.T,SELL,1899.0,200,sell_signal,downtrend
2024-08-29,3106.T,SELL,4795.0,100,sell_signal,downtrend
2024-08-29,4685.T,SELL,1990.0,200,sell_signal,downtrend
2024-08-29,8725.T,BUY,3321.0,100,post_major_prev_high_break_entry,downtrend
2024-08-29,8152.T,BUY,4514.01,100,post_major_prev_high_break_entry,downtrend
2024-08-30,8750.T,SELL,1044.25,400,sell_signal,normal
2024-08-30,8766.T,SELL,5506.0,100,sell_signal,normal
2024-08-30,8152.T,SELL,5170.0,100,take_profit,normal
2024-08-30,2749.T,BUY,715.0,600,post_major_prev_high_break_entry,normal
2024-08-30,1921.T,BUY,985.0,500,post_major_prev_high_break_entry,normal
2024-09-02,2749.T,SELL,717.0,600,sell_signal,normal
2024-09-02,1921.T,SELL,969.0,500,sell_signal,normal
2024-09-02,2915.T,BUY,2455.0,200,post_major_prev_high_break_entry,normal
2024-09-02,4792.T,BUY,2460.0,200,post_major_prev_high_break_entry,normal
2024-09-03,2915.T,SELL,2448.0,200,sell_signal,normal
2024-09-03,4792.T,SELL,2388.0,200,sell_signal,normal
2024-09-03,2749.T,BUY,728.454,600,post_major_prev_high_break_entry,normal
2024-09-03,1921.T,BUY,1002.0,400,post_major_prev_high_break_entry,normal
2024-09-04,8725.T,SELL,3350.0,100,sell_signal,normal
2024-09-04,2749.T,SELL,715.0,600,sell_signal,normal
2024-09-04,1921.T,SELL,951.0,400,stop_loss,normal
2024-09-04,4792.T,BUY,2429.85,200,post_major_prev_high_break_entry,normal
2024-09-04,8225.T,BUY,2635.26,100,post_major_prev_high_break_entry,normal
2024-09-05,4792.T,SELL,2380.0,200,sell_signal,normal
2024-09-05,8225.T,SELL,2552.0,100,stop_loss,normal
2024-09-05,7979.T,BUY,2474.94,200,post_major_prev_high_break_entry,normal
2024-09-05,4886.T,BUY,2303.598,200,post_major_prev_high_break_entry,normal
2024-09-06,7979.T,SELL,2397.5,200,stop_loss,normal
2024-09-06,4886.T,SELL,2261.0,200,sell_signal,normal
2024-09-06,4792.T,BUY,2407.806,200,post_major_prev_high_break_entry,normal
2024-09-06,4685.T,BUY,1990.0,200,post_major_prev_high_break_entry,normal
2024-09-09,4792.T,SELL,2333.0,200,crash_early_exit,crash
2024-09-09,4685.T,SELL,1890.0,200,crash_early_exit,crash
2024-09-09,6632.T,BUY,1292.8,300,q2_defensive_entry,crash
2024-09-09,2329.T,BUY,666.6,700,q2_defensive_entry,crash
2024-09-09,5889.T,BUY,3625.9,100,q2_defensive_entry,crash
2024-09-09,3529.T,BUY,750.43,600,q2_defensive_entry,crash
2024-09-09,7013.T,BUY,897.1685626220703,500,q2_defensive_entry,crash
2024-09-09,2469.T,BUY,3075.45,100,q2_defensive_entry,crash
2024-09-09,1826.T,BUY,870.62,500,q2_defensive_entry,crash
2024-09-09,3261.T,BUY,532.27,200,q2_defensive_entry,crash
2024-09-10,7013.T,SELL,874.3000256347656,500,crash_early_exit,crash
2024-09-10,2469.T,SELL,3365.0,100,take_profit,crash
2024-09-10,7643.T,BUY,1464.5,300,q2_defensive_entry,crash
2024-09-11,6632.T,SELL,1282.82,300,crash_early_exit,crash
2024-09-11,5889.T,SELL,3679.9,100,crash_early_exit,crash
2024-09-11,3529.T,SELL,734.02,600,crash_early_exit,crash
2024-09-11,7979.T,BUY,2449.25,200,q2_defensive_entry,crash
2024-09-11,6507.T,BUY,4430.0,100,q2_defensive_entry,crash
2024-09-11,5888.T,BUY,2934.05,100,q2_defensive_entry,crash
2024-09-11,9564.T,BUY,491.365,600,q2_defensive_entry,crash
2024-09-12,2329.T,SELL,659.0,700,sell_signal,downtrend
2024-09-12,1826.T,SELL,857.0,500,sell_signal,downtrend
2024-09-12,3261.T,SELL,535.0,200,sell_signal,downtrend
2024-09-12,7643.T,SELL,1451.0,300,sell_signal,downtrend
2024-09-12,7979.T,SELL,2360.0,200,sell_signal,downtrend
2024-09-12,6507.T,SELL,4495.0,100,sell_signal,downtrend
2024-09-12,5888.T,SELL,2945.0,100,sell_signal,downtrend
2024-09-12,9564.T,SELL,493.5,600,sell_signal,downtrend
2024-09-12,8725.T,BUY,3201.0,100,post_major_prev_high_break_entry,downtrend
2024-09-12,8766.T,BUY,5136.252,100,post_major_prev_high_break_entry,downtrend
2024-09-13,8725.T,SELL,3181.0,100,sell_signal,downtrend
2024-09-13,8766.T,SELL,5073.0,100,sell_signal,downtrend
2024-09-13,8152.T,BUY,5210.0,100,post_major_prev_high_break_entry,downtrend
2024-09-13,7721.T,BUY,2675.34,100,post_major_prev_high_break_entry,downtrend
2024-09-17,8152.T,SELL,5590.0,100,take_profit,downtrend
2024-09-17,8725.T,BUY,3321.0,100,post_major_prev_high_break_entry,downtrend
2024-09-17,8152.T,BUY,5751.48,100,post_major_prev_high_break_entry,downtrend
2024-09-18,7721.T,SELL,2722.0,100,sell_signal,downtrend
2024-09-18,8725.T,SELL,3166.0,100,stop_loss,downtrend
2024-09-18,8152.T,SELL,5330.0,100,stop_loss,downtrend
2024-09-18,7979.T,BUY,2414.82,200,post_major_prev_high_break_entry,downtrend
2024-09-18,4685.T,BUY,1945.0,200,post_major_prev_high_break_entry,downtrend
2024-09-19,8725.T,BUY,3284.0,100,post_major_prev_high_break_entry,downtrend
2024-09-19,8766.T,BUY,5107.0,100,post_major_prev_high_break_entry,downtrend
2024-09-20,7979.T,SELL,2382.5,200,sell_signal,downtrend
2024-09-20,4685.T,SELL,1950.0,200,sell_signal,downtrend
2024-09-20,8152.T,BUY,5531.04,100,post_major_prev_high_break_entry,downtrend
2024-09-20,7721.T,BUY,3005.0,100,post_major_prev_high_break_entry,downtrend
