date,nikkei_phase,equity,pnl_day
2026-01-05,stable,2989169.0,-10831.0
2026-01-06,normal,2996838.5,7669.5
2026-01-07,normal,3011438.5,14600.0
2026-01-08,normal,2993788.5,-17650.0
2026-01-09,normal,3010332.0,16543.5
2026-01-13,normal,3064032.0,53700.0
2026-01-14,normal,3123382.0,59350.0
2026-01-15,normal,3135644.5,12262.5
2026-01-16,normal,3165417.0,29772.5
2026-01-19,surge,3128217.0,-37200.0
2026-01-20,high_vol,3127549.0,-668.0
2026-01-21,high_vol,3125949.0,-1600.0
2026-01-22,high_vol,3127518.0000000005,1569.0000000004657
2026-01-23,high_vol,3116218.000000001,-11299.999999999534
2026-01-26,normal,3033818.000000001,-82400.0
2026-01-27,high_vol,3040907.500000001,7089.5
2026-01-28,settling,3024070.000000001,-16837.5
2026-01-29,settling,3038370.000000001,14300.0
2026-01-30,settling,3051770.000000001,13400.0
2026-02-02,uptrend,3008532.500000001,-43237.5
2026-02-03,uptrend,3056737.000000001,48204.5
2026-02-04,normal,3105371.500000001,48634.5
2026-02-05,normal,3174051.500000001,68680.0
2026-02-06,normal,3237019.000000001,62967.5
2026-02-09,normal,3221056.500000001,-15962.5
2026-02-10,surge,3204056.500000001,-17000.0
2026-02-12,surge,3204056.500000001,0.0
2026-02-13,surge,3204056.500000001,0.0
2026-02-16,surge,3204056.500000001,0.0
2026-02-17,high_vol,3274119.000000001,70062.5
2026-02-18,high_vol,3231995.500000001,-42123.5
2026-02-19,high_vol,3260611.500000001,28616.0
2026-02-20,high_vol,3231151.500000001,-29460.0
2026-02-24,high_vol,3256751.500000001,25600.0
2026-02-25,high_vol,3254851.500000001,-1900.0
2026-02-26,normal,3271151.500000001,16300.0
2026-02-27,settling,3342548.500000001,71397.0
2026-03-02,settling,3276748.500000001,-65800.0
2026-03-03,uptrend,3207748.500000001,-69000.0
2026-03-04,normal,3101048.500000001,-106700.0
2026-03-05,crash,3121868.501220704,20820.001220703125
2026-03-06,crash,3094508.501220704,-27360.0
2026-03-09,crash,3043066.4975585947,-51442.003662109375
2026-03-10,crash,3035858.4975585947,-7208.0
