quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,realized_return_pct
2025Q3_PRE_ALIGNED,566,7131.T,のむら産業,卸売業,0.7385867098294693,36.757425742574256,15.828092243186576,29.60104060031792,48.65689865689866,0.6009538129327078,22.550467749876912,58.333333333333336,77.57107757107758,60.0,2210.0,1043,36.757425742574256,2025-06-30,2025-06-30,8.0,8.0,25.1,8.0,8.0,medium,medium,low,low,low,"2435
株伍指标
予想PER
（倍）
<25.10>
8'6
<26.10>
9.0
实PER
高值平均
8.5
安值平均
4.7
PBR
1-80
株倡(5/28)
万排
2581
最低購人额
25
25万8100m
7131
卸",2714.png,0.7837370242214533,0.359137156448203,0.7814357860143128,中間型,59.85130111524164
2025Q3_PRE_ALIGNED,27,1909.T,日本ドライケミカル,機械,0.9253548102003148,97.5497702909648,27.881040892193298,18.70523786299432,37.13355048859934,0.8121091406078782,26.37768817204301,66.66666666666666,98.47328244274809,100.0,5160.0,3616,97.5497702909648,2025-06-30,2025-06-30,7.9,7.9,26.3,7.9,7.9,medium,medium,low,low,low,"4620布E校
株伍指标
予想PER
（倍）
<26.3>
7.9
<27.3>
7.8
实PER
高值平均
6.4
安值平均
3.6
PBR
1.23
株倡(5/28)
2
4690
最低購人额
25
16.5
46万9000P
1909",205.png,0.9186046511627908,0.6237315010570824,0.9391120891716968,業績急伸型,55.078125
2025Q3_PRE_ALIGNED,51,2216.T,カンロ,食料品,0.9097173715932708,93.2010184932662,36.16071428571428,22.45565643222253,52.28069747121711,0.7596541201097964,20.879487712817845,75.0,93.3673446127794,100.0,1525.0,6270,93.2010184932662,2025-06-30,2025-06-30,17.3,17.3,25.12,17.3,17.3,medium,medium,low,low,low,"4340布E校
株伍指标
予想PER
（倍）
<25.12>
17.3
(26.12>
16.6
实PER
高值平均
14.7
安值平均
7.2
PBR
3-54
株倡(5/28)
3
4280
最低購人额
25
42万8000P
2216
食",328.png,0.4876033057851239,0.4188557082452431,0.9444193725871854,業績急伸型,53.05989583333333
2025Q3_PRE_ALIGNED,124,6332.T,月島ホールディングス,機械,0.8716221575885775,51.42247510668562,24.50292397660818,15.0141205049103,32.67326732673268,0.7075887662168134,26.315789473684216,66.66666666666666,95.81458145814582,75.0,2129.0,6276,51.42247510668562,2025-06-30,2025-06-30,11.6,11.6,26.3,11.6,11.6,medium,medium,low,low,low,"222
株伍指标
（倍）
予想PER
<26.3>
11.6
<27.3>
9.6
实PER
高值平均
15.9
安值平均
10.9
PBR
0-93
株福(5/28)
10
山
十万排
2000m
最低購人额
7.4
20万内
6332",2252.png,0.6139534883720931,0.6049286469344609,0.8646446482615437,業績急伸型,42.4345295829292
2025Q3_PRE_ALIGNED,153,2981.T,ランディックス,不動産業,0.8626345278570016,45.63526361279171,16.811091854419402,16.087539989504414,27.305605786618447,0.753938076305749,26.279447603574337,75.0,95.73863636363636,60.0,1685.0,1515,45.63526361279171,2025-06-30,2025-06-30,6.5,6.5,26.3,6.5,6.5,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
6.5
<27.3>
5.9
实PER
高值平均
8'6
安值平均
5.6
PBR
1.17
2
株倡(5/28)
3440m
最低購人额
25
18.1
34万4000F
2981
宋
中",636.png,0.8082706766917294,0.590691067653277,0.8395760545948707,中間型,41.02564102564104
2025Q3_PRE_ALIGNED,114,1980.T,ダイダン,建設業,0.8751204129273751,44.31818357465407,19.81132140656987,15.753229643747751,42.61227168232122,0.7790712780724647,25.63077014607985,66.66666666666666,98.34070791978976,65.0,1481.6666259765625,6273,44.31818357465407,2025-06-30,2025-06-30,10.2,10.2,26.3,10.2,10.2,medium,medium,low,low,low,"4340栋E校
株伍指标
予想PER
（倍）
<26.3>
10.2
<27.3>
10.0
实PER
高值平均
10.2
安值平均
5.7
PBR
1.67
株倡(5/28)
8
4160m
最低購人额
25
41万6000m
1980
建",247.png,0.6470588235294118,0.5974101479915432,0.850056871986253,中間型,37.55555013020832
2025Q3_PRE_ALIGNED,116,6644.T,大崎電気工業,電気機器,0.8741910049047283,40.40995607613469,19.27860696517413,12.969370955080173,26.33136094674555,0.7096273649517937,27.160493827160494,66.66666666666666,97.9570990806946,100.0,959.0,6276,40.40995607613469,2025-06-30,2025-06-30,11.3,11.3,26.3,11.3,11.3,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
11.3
<27.3>
7.4
实PER
高值平均
16.1
安值平均
11.2
PBR
0.79
株倡（5/28)
8
9029
三
最低購人额
25
6.9
9万200F
6644",2445.png,0.6828193832599119,0.6156712473572938,0.8811485437026171,中間型,31.352459016393453
2025Q3_PRE_ALIGNED,61,1885.T,東亜建設工業,建設業,0.903242151819624,50.69721115537848,16.653816499614503,12.071865169081548,30.178069353327075,0.8419830045002864,23.394055608820707,75.0,98.43851659076122,85.0,1513.0,6276,50.69721115537848,2025-06-30,2025-06-30,9.4,9.4,26.3,9.4,9.4,medium,medium,low,low,low,"1502
株伍指标
海正楼
予想PER
（倍）
<26.3>
9.4
<27.3>
9.4
实PER
高值平均
10.4
安值平均
6.3
PBR
1.10
株倡(5/28)
1481月
最低購人额
25
14.7
14万81009
1885
20H
建",193.png,0.7411764705882353,0.6075383192389006,0.88471413564084,安定進捗型,30.01864512119328
2025Q3_PRE_ALIGNED,52,5482.T,愛知製鋼,鉄鋼,0.9082238862621768,133.55191256830602,21.94008559201141,23.155566216698464,42.81150159744409,0.9275265256782568,26.440217391304344,66.66666666666666,95.61521252796422,75.0,2137.0,6276,133.55191256830602,2025-06-30,2025-06-30,12.4,12.4,26.3,12.4,12.4,medium,medium,low,low,low,"8910布EK
株伍指标
予想PER
（倍）
<26.3>
12.4
<27.3>
11.2
实PER
高值平均
21.5
安值平均
12.2
PBR
0-60
株倡(5/28)
5
7340
最低購人额
25
3.2
73万4000m
5482
特",1886.png,0.358974358974359,0.5623150105708244,0.9075644388462988,業績急伸型,29.08481073310973
2025Q3_PRE_ALIGNED,81,4221.T,大倉工業,化学,0.8932562471840017,52.56637168141594,10.796915167095111,10.794002538238162,29.42073170731707,0.8059167123262334,22.48756218905472,83.33333333333334,98.06598407281,90.0,4310.0,6276,52.56637168141594,2025-06-30,2025-06-30,9.2,9.2,25.12,9.2,9.2,medium,medium,low,low,low,"4245栋E校
株伍指标
予想PER
（倍）
<25.12>
9.2
(26.12>
6°8
实PER
高值平均
0'8
安值平均
5.5
PBR
0.79
株倡(5/28)
4195F
最低購人额
25
41万95009
16速人特
4221
花
色",1313.png,0.7829268292682927,0.4056091437632135,0.8664505207430769,中間型,28.018757327080905
2025Q3_PRE_ALIGNED,135,1975.T,朝日工業社,建設業,0.8673693768076892,81.59240321402483,28.012358393408853,15.906112917827349,32.03703703703704,0.7398076897809718,27.37068965517241,50.0,97.0335675253708,100.0,2486.0,6274,81.59240321402483,2025-06-30,2025-06-30,8.7,8.7,26.3,8.7,8.7,medium,medium,low,low,low,"株伍指标
70
布正格
予想PER
（倍）
<26.3>
8.7
<27.3>
9.4
实PER
高值平均
11.4
安值平均
6.3
PBR
1.32
株倡(5/28)
2155m
最低購人额
25
15.4
21万5500F
1975
建",243.png,0.7970588235294118,0.6111191860465116,0.890797048414488,業績急伸型,26.008064516129025
2025Q3_PRE_ALIGNED,7,7419.T,ノジマ,小売業,0.9457921661861068,99.61977186311788,24.50593185740673,15.050786952978578,26.194265722633546,0.9092345291440052,12.704915849152007,91.66666666666666,98.43750375509276,90.0,1050.0,6533,99.61977186311788,2025-06-30,2025-06-30,7.5,7.5,26.3,7.5,7.5,medium,medium,low,low,low,"3170布ER
株伍指标
予想PER
（倍）
<26.3>
7.5
<27.3>
7.3
实PER
高值平均
7.9
安值平均
5.1
PBR
1.30
株倡(5/28)
2
27539
最低購人额
25
17.2
27万53009
7419
证23特
小",2864.png,0.9325153374233128,0.6223110465116279,0.935193316538896,業績急伸型,25.9316684535561
2025Q3_PRE_ALIGNED,129,1934.T,ユアテック,建設業,0.8699807254347119,36.64516129032258,24.95575221238937,14.568535795425364,32.115249472944484,0.6601819368396323,20.59012187299552,66.66666666666666,98.2830626450116,95.0,2118.0,6276,36.64516129032258,2025-06-30,2025-06-30,10.9,10.9,26.3,10.9,10.9,medium,medium,low,low,low,"株伍指标
1960
（倍）
予想PER
<26.3>
10.9
<27.3>
10.6
实PER
高值平均
11.5
安值平均
7.1
PBR
0-90
株倡(5/28)
1929m
最低購人额
25
8.3
19万2900P9
1934
逆存特
建",216.png,0.5676470588235294,0.5882994186046511,0.8690339267007512,業績急伸型,25.67567567567568
2025Q3_PRE_ALIGNED,325,3280.T,エストラスト,不動産業,0.8010340317940886,32.049518569463544,13.475177304964546,13.707972095837636,32.928475033738195,0.6031394546933004,27.137546468401485,75.0,91.42857142857144,65.0,960.0,3234,32.049518569463544,2025-06-30,2025-06-30,4.4,4.4,26.2,4.4,4.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.2>
4.4
<27.2>
4.3
实PER
高宿平均
4.7
安值平均
3.7
PBR
0-60
株福(5/28)
2
947A
最低購人额
25
15.0
9万4700F
3280
宋",806.png,0.9887218045112782,0.5037988900634249,0.790725149618254,中間型,24.9208025343189
2025Q3_PRE_ALIGNED,375,1810.T,松井建設,建設業,0.7870384921118506,27.67441860465116,23.370786516853936,14.7223171960498,27.7061855670103,0.6857625816431829,20.20785219399538,50.0,94.73684210526316,60.0,1098.0,6276,27.67441860465116,2025-06-30,2025-06-30,10.5,10.5,26.3,10.5,10.5,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
10.5
<27.3>
10.5
实PER
高值平均
11.2
安值平均
8.3
PBR
0-62
3
株倡(5/28)
1094m
最低購人额
25
5.6
10万9400P9
1810
逆校特
建",156.png,0.6058823529411764,0.592514534883721,0.782038528447313,中間型,24.603174603174605
2025Q3_PRE_ALIGNED,60,1997.T,暁飯島工業,建設業,0.9038247825741832,57.71997786386276,22.21269296740996,17.945982598836075,35.67839195979901,0.7708107056274279,17.677286742034948,75.0,97.36932012299285,95.0,2850.0,6535,57.71997786386276,2025-06-30,2025-06-30,9.0,9.0,25.8,9.0,9.0,medium,medium,low,low,low,"2700布E楼
株伍指标
予想PER
（倍）
<25.8>
9.0
<26-8>
8.5
实PER
高宿平均
8.1
安值平均
6.1
PBR
89-0
株倡(5/28)
2
2365F
十万件
最低購人额
25
23万65009
1997
建",253.png,0.7794117647058824,0.4647066596194503,0.9051562886064288,業績急伸型,24.38336856941508
2025Q3_PRE_ALIGNED,178,6675.T,サクサ,電気機器,0.8529441367420844,56.33371603520858,32.62987012987013,18.729771202129044,48.74915483434754,0.7155623894790533,26.517341040462423,58.333333333333336,92.8409090909091,85.0,4085.0,5471,56.33371603520858,2025-06-30,2025-06-30,15.0,15.0,26.3,15.0,15.0,medium,medium,low,low,low,"4400布ER
株伍指标
（倍）
予想PER
<26.3>
15.0
<27.3>
1.1
实PER
高值平均
12.8
安值平均
7.5
PBR
0.73
株倡(5/28)
2
3875
最低購人额
25
11.8
38万75009
6675
逆合持
金",2464.png,0.460352422907489,0.6041952959830867,0.8777930056750403,業績急伸型,23.357664233576635
2025Q3_PRE_ALIGNED,181,9409.T,テレビ朝日ホールディングス,情報・通信業,0.8520841015022758,31.544256120527315,10.216962524654829,11.179210408094107,23.65787079162876,0.74129733286966,24.46663640490241,75.0,99.50142450142452,75.0,2794.0,6273,31.544256120527315,2025-06-30,2025-06-30,10.2,10.2,26.3,10.2,10.2,medium,medium,low,low,low,"660
株伍指标
（倍）
予想PER
<26.3>
10.2
<27.3>
10.0
实PER
高值平均
11.4
安值平均
7.7
PBR
0-60
株倡(5/28)
3
2615m
最低購人额
25
6.0
26万15009
9409
情",3705.png,0.9103852596314908,0.6496300211416489,0.8102872017836797,中間型,20.078740157480325
2025Q3_PRE_ALIGNED,9,1961.T,三機工業,建設業,0.9435939042510256,88.28451882845188,20.0,12.86033728030494,32.0855614973262,0.9294159011911726,22.53820033955858,83.33333333333334,99.14320685434517,100.0,4050.0,6276,88.28451882845188,2025-06-30,2025-06-30,10.0,10.0,26.3,10.0,10.0,medium,medium,low,low,low,"株伍指标
3855
（倍）
予想PER
<26.3>
10.0
<27.3>
8'6
实PER
高值平均
14.7
安值平均
10.1
PBR
1.83
2
株倡(5/28)
3750
最低購人额
25
16.3
37万5000P
1961
建
特",233.png,0.6617647058823529,0.5974365750528542,0.9422367991867564,中間型,19.95133819951338
2025Q3_PRE_ALIGNED,40,1967.T,ヤマト,建設業,0.9168323358783064,86.11111111111111,22.14719783929777,19.419815444800744,45.65217391304349,0.8766784363273641,22.040549378678875,66.66666666666666,96.8934118907338,100.0,1809.0,6276,86.11111111111111,2025-06-30,2025-06-30,10.6,10.6,26.3,10.6,10.6,medium,medium,low,low,low,"1675
株伍指标
（倍）
予想PER
<26.3>
10.6
<27.3>
10.2
实PER
高值平均
13.5
安值平均
9.4
PBR
0-97
株倡(5/28)
1611A
最低購人额
25
10.0
16万1100m
1967
建",238.png,0.5911764705882353,0.5905589323467231,0.9343989953803652,業績急伸型,19.26345609065157
