date,cash,market_value,equity,positions
2026-01-05,3000000.0,0.0,3000000.0,0
2026-01-06,2674308.5,322900.0,2997208.5,4
2026-01-07,2674308.5,323200.0,2997508.5,4
2026-01-08,2674308.5,321200.0,2995508.5,4
2026-01-09,2997308.5,0.0,2997308.5,0
2026-01-13,2823629.0,172300.0,2995929.0,2
2026-01-14,1944233.0,1056700.0,3000933.0,3
2026-01-15,3007833.0,0.0,3007833.0,0
2026-01-16,3007833.0,0.0,3007833.0,0
2026-01-19,3007833.0,0.0,3007833.0,0
2026-01-20,3007833.0,0.0,3007833.0,0
2026-01-21,3007833.0,0.0,3007833.0,0
2026-01-22,3007833.0,0.0,3007833.0,0
2026-01-23,2935565.0,72400.0,3007965.0,1
2026-01-26,2935565.0,70000.0,3005565.0,1
2026-01-27,3009965.0,0.0,3009965.0,0
2026-01-28,3009965.0,0.0,3009965.0,0
2026-01-29,3009965.0,0.0,3009965.0,0
2026-01-30,3009965.0,0.0,3009965.0,0
2026-02-02,3009965.0,0.0,3009965.0,0
2026-02-03,3009965.0,0.0,3009965.0,0
2026-02-04,2680597.5,332950.0,3013547.5,3
2026-02-05,3012697.5,0.0,3012697.5,0
2026-02-06,2737937.0,275100.0,3013037.0,3
2026-02-09,3015337.0,0.0,3015337.0,0
2026-02-10,2604059.0,416900.0,3020959.0,4
2026-02-12,36043.000000000466,3015000.0,3051043.0000000005,4
2026-02-13,36043.000000000466,2932600.0,2968643.0000000005,4
2026-02-16,3080243.0000000005,0.0,3080243.0000000005,0
2026-02-17,3080243.0000000005,0.0,3080243.0000000005,0
2026-02-18,588243.0000000005,2472000.0,3060243.0000000005,1
2026-02-19,588243.0000000005,2476000.0,3064243.0000000005,1
2026-02-20,3022243.0000000005,0.0,3022243.0000000005,0
2026-02-24,3022243.0000000005,0.0,3022243.0000000005,0
2026-02-25,3022243.0000000005,0.0,3022243.0000000005,0
2026-02-26,2926224.0000000005,95800.0,3022024.0000000005,1
2026-02-27,159740.00000000047,2911500.0,3071240.0000000005,3
2026-03-02,159740.00000000047,2823900.0,2983640.0000000005,3
2026-03-03,2897440.0000000005,0.0,2897440.0000000005,0
2026-03-04,2897440.0000000005,0.0,2897440.0000000005,0
2026-03-05,2897440.0000000005,0.0,2897440.0000000005,0
2026-03-06,2897440.0000000005,0.0,2897440.0000000005,0
2026-03-09,2897440.0000000005,0.0,2897440.0000000005,0
2026-03-10,2897440.0000000005,0.0,2897440.0000000005,0
