date,cash,market_value,equity,positions
2026-01-05,3000000.0,0.0,3000000.0,0
2026-01-06,2674308.5,322900.0,2997208.5,4
2026-01-07,2674308.5,323200.0,2997508.5,4
2026-01-08,2674308.5,321200.0,2995508.5,4
2026-01-09,2997308.5,0.0,2997308.5,0
2026-01-13,2740229.0,254700.0,2994929.0,3
2026-01-14,1860833.0,1139300.0,3000133.0,4
2026-01-15,3009633.0,0.0,3009633.0,0
2026-01-16,3009633.0,0.0,3009633.0,0
2026-01-19,3009633.0,0.0,3009633.0,0
2026-01-20,3009633.0,0.0,3009633.0,0
2026-01-21,3009633.0,0.0,3009633.0,0
2026-01-22,3009633.0,0.0,3009633.0,0
2026-01-23,2937365.0,72400.0,3009765.0,1
2026-01-26,2937365.0,70000.0,3007365.0,1
2026-01-27,3011765.0,0.0,3011765.0,0
2026-01-28,3011765.0,0.0,3011765.0,0
2026-01-29,3011765.0,0.0,3011765.0,0
2026-01-30,2920415.0,89500.0,3009915.0,1
2026-02-02,3009415.0,0.0,3009415.0,0
2026-02-03,3009415.0,0.0,3009415.0,0
2026-02-04,2680047.5,332950.0,3012997.5,3
2026-02-05,3012147.5,0.0,3012147.5,0
2026-02-06,2737387.0,275100.0,3012487.0,3
2026-02-09,3014787.0,0.0,3014787.0,0
2026-02-10,2603509.0,416900.0,3020409.0,4
2026-02-12,35493.000000000466,3015000.0,3050493.0000000005,4
2026-02-13,35493.000000000466,2932600.0,2968093.0000000005,4
2026-02-16,3079693.0000000005,0.0,3079693.0000000005,0
2026-02-17,3079693.0000000005,0.0,3079693.0000000005,0
2026-02-18,587693.0000000005,2472000.0,3059693.0000000005,1
2026-02-19,587693.0000000005,2476000.0,3063693.0000000005,1
2026-02-20,3021693.0000000005,0.0,3021693.0000000005,0
2026-02-24,3021693.0000000005,0.0,3021693.0000000005,0
2026-02-25,3021693.0000000005,0.0,3021693.0000000005,0
2026-02-26,2925674.0000000005,95800.0,3021474.0000000005,1
2026-02-27,159190.00000000047,2911500.0,3070690.0000000005,3
2026-03-02,2983090.0000000005,0.0,2983090.0000000005,0
2026-03-03,2983090.0000000005,0.0,2983090.0000000005,0
2026-03-04,2983090.0000000005,0.0,2983090.0000000005,0
2026-03-05,2983090.0000000005,0.0,2983090.0000000005,0
2026-03-06,2983090.0000000005,0.0,2983090.0000000005,0
2026-03-09,2983090.0000000005,0.0,2983090.0000000005,0
2026-03-10,2983090.0000000005,0.0,2983090.0000000005,0
