phase,start,end,days,start_close,end_close,ret5_min_pct,dd20_min_pct,vol10_mean_pct
high_vol,2024-03-25,2024-03-25,1,40414.12,40414.12,4.41,-1.16,1.4
high_vol,2024-04-01,2024-04-01,1,39803.09,39803.09,-1.51,-2.65,1.39
high_vol,2024-04-24,2024-05-02,6,38460.08,38236.07,-1.18,-6.79,1.59
high_vol,2024-05-07,2024-05-10,4,38835.1,38229.11,-0.86,-4.27,1.46
high_vol,2024-07-18,2024-07-23,3,40126.35,39594.39,-4.08,-6.23,1.39
crash,2024-07-29,2024-07-30,2,38468.63,38525.95,-2.85,-8.89,1.47
high_vol,2024-07-31,2024-07-31,1,39101.82,39101.82,-0.14,-7.39,1.62
crash,2024-08-01,2024-08-09,7,38126.33,35025.0,-18.22,-25.5,4.51
crash,2024-08-15,2024-08-15,1,36726.64,36726.64,4.67,-8.47,5.88
high_vol,2024-08-16,2024-08-29,10,38062.67,38362.53,0.4,-5.58,2.6
high_vol,2024-09-04,2024-09-05,2,37047.61,36657.09,-4.45,-5.28,1.46
crash,2024-09-06,2024-09-10,3,36391.47,36159.16,-6.53,-6.57,1.41
high_vol,2024-09-11,2024-09-25,9,35619.77,37870.26,-3.85,-7.96,1.68
high_vol,2024-09-30,2024-10-10,9,37919.55,39380.89,-3.0,-5.07,2.33
high_vol,2025-03-07,2025-03-12,4,36887.17,36819.09,-2.0,-6.76,1.4
crash,2025-03-31,2025-04-22,15,35617.56,34220.6,-12.58,-18.12,3.32
high_vol,2025-04-23,2025-04-24,2,34868.63,35039.15,1.92,-7.75,2.36
high_vol,2025-07-29,2025-08-05,6,40674.55,40549.54,-1.81,-3.67,1.44
high_vol,2025-10-14,2025-10-24,8,46847.32,49299.65,-2.29,-3.57,1.98
high_vol,2025-11-05,2025-12-02,18,50212.27,49303.45,-4.95,-7.39,1.7
high_vol,2026-01-19,2026-01-26,5,53583.57,52885.25,-2.88,-2.88,1.54
high_vol,2026-02-16,2026-02-24,6,56806.41,57321.09,-0.88,-1.88,1.71
high_vol,2026-03-03,2026-03-03,1,56279.05,56279.05,-1.82,-4.37,1.48
crash,2026-03-04,2026-03-09,4,54245.54,52728.72,-9.18,-10.4,2.06
high_vol,2026-03-10,2026-03-12,3,54248.39,54452.96,-3.61,-7.82,2.65
crash,2026-03-13,2026-03-16,2,53819.61,53751.15,-3.24,-8.66,2.6
