high_vol_start,prev_phase,close,ret5_pct,dd20_pct,vol10_pct,prior_surge_10d,prior_crash_10d
2024-03-25,normal,40414.12,4.41,-1.16,1.4,True,False
2024-04-01,normal,39803.09,-1.51,-2.65,1.39,True,False
2024-04-24,settling,38460.08,1.31,-4.73,1.47,False,True
2024-07-18,normal,40126.35,-4.08,-4.97,1.4,False,False
2024-07-22,normal,39599.0,-3.86,-6.22,1.39,False,True
2024-07-31,crash,39101.82,-0.14,-7.39,1.62,False,True
2024-08-16,crash,38062.67,9.28,-4.99,5.96,True,True
2024-09-04,normal,37047.61,-3.45,-4.27,1.46,False,False
2024-09-11,crash,35619.77,-3.85,-7.96,1.39,False,True
2024-09-30,surge,37919.55,0.52,-4.8,2.22,True,False
2025-03-07,normal,36887.17,-0.72,-6.52,1.41,False,False
2025-04-23,crash,34868.63,2.8,-7.75,3.22,True,False
2025-07-29,normal,40674.55,2.26,-2.75,1.38,True,False
2025-10-14,surge,46847.32,-2.29,-3.57,2.02,True,False
2025-10-22,surge,49307.79,3.43,-0.02,1.78,True,False
2025-11-05,surge,50212.27,-0.01,-4.2,1.77,True,False
2025-11-18,normal,48702.98,-4.21,-7.08,1.56,False,False
2026-01-19,surge,53583.57,3.16,-1.39,1.68,True,False
2026-01-26,normal,52885.25,-1.3,-2.68,1.48,True,False
2026-02-16,surge,56806.41,4.71,-1.46,2.02,True,False
2026-03-03,uptrend,56279.05,-1.82,-4.37,1.48,False,False
2026-03-10,crash,54248.39,-3.61,-7.82,2.71,False,True
