quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2024Q2_PRE_ALIGNED,8,8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,0.9457639048655372,108.94419103521629,27.15654952076678,13.55069172459691,25.370404243643677,0.8905160695966194,14.47837150127227,83.33333333333334,91.14503816793894,60.0,3575.0,4407,108.25243212066783,2024-06-30,2024-06-30,8.6,8.6,25.3,8.6,8.6,medium,medium,low,low,low,"3265栋E楼
株伍指标
予想PER
（倍）
<25.3>
8.6
(26.3>
10.5
实PER
高值平均
12.1
安值平均
8.2
PBR
1.17
株倡(5/27)
33029
最低購人额
24
9.8
33万2009
青速二特
8725
保
增
6结罗色",7347.png,1.0,0.6288356909684439,0.9336744464924164,0.8558112875574604,保険業,0.0,3.0,8.6,0.9457639048655372
2024Q2_PRE_ALIGNED,38,1921.T,巴コーポレーション,建設業,0.9118528939323282,73.22834645669292,24.64589235127479,10.6332826725687,17.997097242380256,0.8783318448493949,9.736842105263154,66.66666666666666,100.0,55.00000000000001,854.0,6276,80.93220338983052,2024-06-30,2024-06-30,2.4,2.4,25.3,2.4,2.4,medium,medium,low,low,low,"766
株伍指标
予想PER
（倍）
<25.3>
2.4
(26.3>
11.0
实PER
高值平均
8.2
安值平均
5.1
PBR
0-62
株佰(5/27)
5
790P
最低購人额
24
6.0
7万9000P
速強特
1921
建",4116.png,1.0,0.5614050598476604,0.921331776998068,0.8212447104957326,建設業,0.0,3.0,2.4,0.9118528939323282
2024Q2_PRE_ALIGNED,283,9028.T,ゼロ,陸運業,0.8219343385667652,42.47921390778533,13.828502415458942,7.93284003448732,13.589274832419251,0.7962451725207971,14.944769330734243,66.66666666666666,99.73544973544973,65.0,1852.0,5080,41.37404580152673,2024-06-30,2024-06-30,7.5,4.0,4.0,4.0,4.0,medium,medium,low,low,low,"186-4
株伍指标
予想PER
（倍）
<24.6>
7.5
<25.6>
7.0
实PER
高值平均
7.8
安值平均
5.0
PBR
0-84
株佰(5/27)
17999
最低購人额
24
17万99009
9028",7432.png,1.0,0.3265369967355822,0.8490053130065954,0.7048475043858675,陸運業,0.0,3.0,7.5,0.8219343385667652
2024Q2_PRE_ALIGNED,274,7760.T,ＩＭＶ,精密機器,0.8243205140162703,24.57912457912459,15.625,13.704085812930847,27.796052631578934,0.7391910895149005,23.905723905723907,58.333333333333336,85.15535097813579,45.0,791.0,5089,55.70866141732282,2024-06-30,2024-06-30,9.1,9.1,24.9,9.1,9.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<24.9>
9.1
<25.9>
88
实PER
高值平均
11.1
安值平均
5.7
PBR
1.19
株佰(5/27)
740F
最低購人额
24
7万4000P
7760
亏下速式特
精
人&铺国色",6944.png,1.0,0.5021490750816104,0.867264168017588,0.7620180602992013,精密機器,0.0,3.0,9.1,0.8243205140162703
2024Q2_PRE_ALIGNED,362,8043.T,スターゼン,卸売業,0.7982557956370796,33.757961783439484,15.426893717442836,7.534463442380029,12.719943870923522,0.7380385533398262,10.864448739830346,75.0,100.0,70.0,1003.3333129882812,6276,27.7589141316934,2024-06-30,2024-06-30,4.9,4.9,25.3,4.9,4.9,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
4.9
(26.3>
4.8
实PER
高值平均
7.3
安值平均
5.4
PBR
0-69
株幅(5/27)
27839
1万样
最低購人额
21
10.1
27万83009
8043
卸",7120.png,0.996551724137931,0.5754488574537541,0.7644834169794141,0.7534110758514504,卸売業,0.0,3.0,4.9,0.7982557956370796
2024Q2_PRE_ALIGNED,505,4119.T,日本ピグメントホールディングス,化学,0.7587590237836158,24.91652754590985,7.160759040458298,10.975248113302404,19.6078431372549,0.7557450733010148,17.90625,50.0,92.8062015503876,45.0,3220.0,6273,41.10429447852761,2024-06-30,2024-06-30,5.0,5.0,25.3,5.0,5.0,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<25.3>
5.0
(26.3>
5.6
实PER
高值平均
5.6
安值平均
3.3
PBR
0-31
株倡(5/27)
6
万补
28699
CIB
24
最低購人额
5.2
28万6900P9
4119
化",5122.png,0.9951219512195122,0.5796721980413493,0.7514839999111723,0.7381319087961626,化学,0.0,3.0,5.0,0.7587590237836158
2024Q2_PRE_ALIGNED,834,9647.T,協和コンサルタンツ,サービス業,0.68574585211669,38.043478260869556,8.085106382978724,6.026430589291188,10.328638497652577,0.7713941437294461,9.336099585062241,75.0,94.95327102803738,85.0,4600.0,6534,23.324396782841816,2024-06-30,2024-06-30,6.2,6.2,24.11,6.2,6.2,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<24.11>
6.2
<25.11>
5.7
实PER
高宿平均
9.0
安值平均
5.5
PBR
0.74
株倡(5/27)
万补
4375P
最低購人额
24
43万7500P
9647",7719.png,0.9901768172888016,0.3604733405875952,0.5631417356931891,0.6084554998408505,サービス業,0.0,3.0,6.2,0.68574585211669
2024Q2_PRE_ALIGNED,246,2415.T,ヒューマンホールディングス,サービス業,0.8315826985854189,59.66796875,26.74418604651163,10.674835489659507,19.6078431372549,0.874856593442947,10.416666666666663,58.333333333333336,94.83758700696056,80.0,1491.0,5293,46.46365422396856,2024-06-30,2024-06-30,6.6,6.6,25.3,6.6,6.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
6.6
(26.3>
5.9
实PER
高值平均
7.4
安值平均
5.4
PBR
0-90
株倡(5/27)
2
14029
最低購人额
21
14.0
14万200m9
2415
速介特",4299.png,0.9842829076620824,0.5927638737758434,0.8599597777086896,0.787814670449246,サービス業,0.0,3.0,6.6,0.8315826985854189
2024Q2_PRE_ALIGNED,208,5280.T,ヨシコン,不動産業,0.8436583553551997,43.58353510895885,34.3655589123867,17.45213879685781,39.5118230358505,0.7246037303434247,12.401263823064767,58.333333333333336,90.67278287461774,50.0,1894.0,6532,61.88034188034188,2024-06-30,2024-06-30,4.7,4.7,25.3,4.7,4.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
4.7
(26.3>
4.5
实PER
高值平均
5.8
安值平均
4.8
PBR
0.47
株佰(5/27)
2
16639
最低購人额
24
8.4
16万63009
5280
宋",5701.png,0.9765625,0.5710214907508161,0.8679051708822811,0.7861281886922342,不動産業,0.0,3.0,4.7,0.8436583553551997
2024Q2_PRE_ALIGNED,959,2425.T,ケアサービス,サービス業,0.6588382299601017,19.528178243774576,13.574097135740981,7.583602379625459,13.125000000000009,0.8112740786625892,11.435832274459978,66.66666666666666,98.27586206896551,100.0,874.0,5257,13.359273670557714,2024-06-30,2024-06-30,7.3,7.3,25.3,7.3,7.3,medium,medium,low,low,low,"有正格
株伍指标
予想PER
（倍）
<25.3>
7.3
<26.3>
6.9
实PER
高值平均
13.1
安值平均
8.4
PBR
1.22
株佰（5/27)
3
850F
最低購人额
21
15.2
8万5000P
2425",4302.png,0.9764243614931236,0.5982725788900979,0.6439188558992694,0.6847784030260635,サービス業,0.0,3.0,7.3,0.6588382299601017
2024Q2_PRE_ALIGNED,339,8747.T,豊トラスティ証券,証券、商品先物取引業,0.8056623555624643,48.93617021276595,5.47945205479452,12.902849806737072,17.558886509635975,0.9024340710175635,18.050541516245488,58.333333333333336,92.65944645006017,65.0,1566.0,6535,59.30824008138351,2024-06-30,2024-06-30,5.4,5.4,25.3,5.4,5.4,medium,medium,low,low,low,"1726
株伍指标
予想PER
（倍）
<25.3>
5.4
(26.3>
5.3
实PER
高值平均
6.1
安值平均
4.1
PBR
0-63
株佰(5/27)
3
14329
磊线
最低購人额
12.3
14万32009
8747",7353.png,0.9722222222222222,0.5807331338411317,0.784077652061913,0.7582022786894954,証券、商品先物取引業,0.0,3.0,5.4,0.8056623555624643
2024Q2_PRE_ALIGNED,352,1909.T,日本ドライケミカル,機械,0.8005064096585316,67.15200931857892,7.5712143928035935,9.050771710348604,13.89473684210527,0.6302594051022137,21.51857835218094,75.0,92.73021001615508,65.0,2840.0,3616,61.63915765509391,2024-06-30,2024-06-30,6.4,6.4,25.3,6.4,6.4,medium,medium,low,low,low,"105
株伍指标
海正格
予想PER
（倍）
<25.3>
6.4
(26.3>
5.9
实PER
高值平均
6.8
安值平均
4.4
PBR
08-0
株倡(5/27)
2660m
最低購人额
24
15.9
26万6000F
1909
概",4112.png,0.9674418604651164,0.5877040261153427,0.795751854278164,0.7602117274026041,機械,0.0,3.0,6.4,0.8005064096585316
2024Q2_PRE_ALIGNED,417,3799.T,キーウェアソリューションズ,情報・通信業,0.7842643453028654,25.85949177877429,11.228533685601061,7.89012089143481,10.457516339869288,0.83062861907714,10.460251046025103,83.33333333333334,96.7816091954023,60.0,836.0,4427,24.03560830860534,2024-06-30,2024-06-30,8.4,8.4,25.3,8.4,8.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
8.4
(26.3>
7.4
实PER
高值平均
10.7
安值平均
7.4
PBR
0.75
株倡(5/27)
8029
最低購人额
21
8.9
8万200P
速Z特
3799
情
神",4919.png,0.9664902998236332,0.6184099564744286,0.7271828073993472,0.7498209484947406,情報・通信業,0.0,3.0,8.4,0.7842643453028654
2024Q2_PRE_ALIGNED,181,9068.T,丸全昭和運輸,陸運業,0.85046074926162,30.676328502415462,16.09442060085837,9.646960850742186,14.696132596685077,0.7663108844048916,13.277511961722489,66.66666666666666,97.83001808318264,55.00000000000001,5480.0,6276,41.785252263906855,2024-06-30,2024-06-30,8.1,8.1,25.3,8.1,8.1,medium,medium,low,low,low,"5080布E校
株伍指标
予想PER
（倍）
<25.3>
8.1
(26.3>
7.5
实PER
高值平均
8.9
安值平均
6.6
PBR
0.77
株幅(5/27)
4840m
万确
最低購人额
24
8.1
48万4000P
9068",7461.png,0.9629629629629628,0.6131052774755168,0.8517071295329883,0.7955890592036596,陸運業,0.0,3.0,8.1,0.85046074926162
2024Q2_PRE_ALIGNED,690,6797.T,名古屋電機工業,電気機器,0.714677309705166,22.711058263971463,7.556018759770722,5.894184903555589,9.066808059384934,0.7312871213898704,13.141025641025639,50.0,94.5054945054945,55.00000000000001,1039.5,5377,28.890266584004955,2024-06-30,2024-06-30,6.6,6.6,25.3,6.6,6.6,medium,medium,low,low,low,"2209
株伍指标
予想PER
（倍）
<25.3>
6.6
(26.3>
6.6
实PER
高值平均
6.7
安值平均
5.1
PBR
0-54
株倡(5/27)
2
1916m
最低購人额
24
8.5
19万1600m
6797",6407.png,0.9605263157894736,0.5879216539717084,0.6936073149608049,0.7085429609972388,電気機器,0.0,3.0,6.6,0.714677309705166
2024Q2_PRE_ALIGNED,78,4887.T,サワイグループホールディングス,医薬品,0.8921242447795222,87.65570574143456,13.765872912107358,13.25865245960543,18.364799706300676,0.849514279358468,13.152952580091892,83.33333333333334,97.07088101727263,80.0,2179.0,1207,81.53290137190281,2024-06-30,2024-06-30,8.5,8.5,25.3,8.5,8.5,medium,medium,low,low,low,"6645
株伍指标
予想PER
（倍）
<25.3>
8.5
(26.3>
8.2
实PER
高值平均
18.3
安值平均
11.4
PBR
1.20
株倡(5/27)
2
58269
最低購人额
24
6.6
58万26009
4887
医",5542.png,0.9594594594594594,0.6185255712731229,0.837619129044436,0.8084289001650715,医薬品,0.0,3.0,8.5,0.8921242447795222
