date,nikkei_phase,table_key,equity
2024-07-01,stable,core,2999757.5
2024-07-02,uptrend,core,2999754.5
2024-07-03,uptrend,core,3035254.5
2024-07-04,uptrend,core,3012154.5
2024-07-05,uptrend,core,2959554.5
2024-07-08,uptrend,core,3087654.5
2024-07-09,uptrend,core,3076454.5
2024-07-10,uptrend,core,3078154.5
2024-07-11,uptrend,core,3056804.5
2024-07-12,normal,core,3036737.751953125
2024-07-16,overheated_range,core,3012904.5
2024-07-17,normal,core,3037131.0
2024-07-18,high_vol,defensive,3026331.0
2024-07-19,normal,core,3038931.0
2024-07-22,high_vol,defensive,2990331.0
2024-07-23,high_vol,defensive,2990331.0
2024-07-24,normal,core,2991412.25
2024-07-25,normal,core,2988912.25
2024-07-26,normal,core,2994912.25
2024-07-29,crash,defensive,2992412.25
2024-07-30,crash,defensive,2992412.25
2024-07-31,high_vol,defensive,2992412.25
2024-08-01,crash,defensive,2992412.25
2024-08-02,crash,defensive,2992412.25
2024-08-05,crash,defensive,2992412.25
2024-08-06,crash,defensive,2992412.25
2024-08-07,crash,defensive,2992412.25
2024-08-08,crash,defensive,2992412.25
2024-08-09,crash,defensive,2992412.25
2024-08-13,capitulation_end,recovery,2992412.25
2024-08-14,capitulation_end,recovery,2992412.25
2024-08-15,crash,defensive,2992412.25
2024-08-16,high_vol,defensive,2992412.25
2024-08-19,high_vol,defensive,2992412.25
2024-08-20,high_vol,defensive,2992412.25
2024-08-21,high_vol,defensive,2992412.25
2024-08-22,high_vol,defensive,2992412.25
2024-08-23,high_vol,defensive,2992412.25
2024-08-26,high_vol,defensive,2992412.25
2024-08-27,high_vol,defensive,2992412.25
2024-08-28,high_vol,defensive,2992412.25
2024-08-29,high_vol,defensive,2992412.25
2024-08-30,normal,core,2987267.2500000005
2024-09-02,normal,core,2912267.2500000005
2024-09-03,normal,core,3053267.2500000005
2024-09-04,high_vol,defensive,2858267.2500000005
2024-09-05,high_vol,defensive,2858267.2500000005
2024-09-06,crash,defensive,2858267.2500000005
2024-09-09,crash,defensive,2858267.2500000005
2024-09-10,crash,defensive,2858267.2500000005
2024-09-11,high_vol,defensive,2858267.2500000005
2024-09-12,high_vol,defensive,2858267.2500000005
2024-09-13,high_vol,defensive,2858267.2500000005
2024-09-17,high_vol,defensive,2858267.2500000005
2024-09-18,high_vol,defensive,2858267.2500000005
2024-09-19,high_vol,defensive,2858267.2500000005
2024-09-20,high_vol,defensive,2858267.2500000005
2024-09-24,high_vol,defensive,2858267.2500000005
2024-09-25,high_vol,defensive,2858267.2500000005
2024-09-26,surge,core,2858267.2500000005
2024-09-27,surge,core,2858267.2500000005
2024-09-30,high_vol,defensive,2858267.2500000005
