quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2025Q3_PRE_ALIGNED,24,7273.T,イクヨ,輸送用機器,0.9285018218041844,308.50643544343575,101.21802679658951,39.78464548840868,93.63636363636364,0.8761382358977404,32.23703794126157,83.33333333333334,89.78260869565217,80.0,795.0,6276,257.1428473502833,2025-06-30,2025-06-30,2.2,2.2,26.3,2.2,2.2,medium,medium,low,low,low,"4835栋E楼
株伍指标
予想PER
（倍）
<26.3>
2.2
<27.3>
14.3
实PER
高值平均
11.2
安值平均
3.4
PBR
86'0
株倡(5/28)
3925P9
最低購人额
25
0.7
39万2500F
速计特
7273
输
支4色",2792.png,1.0,0.6060121564482029,0.9809888982584692,業績急伸型,輸送用機器,0.0,3.0,2.2,0.9285018218041844
2025Q3_PRE_ALIGNED,352,5989.T,エイチワン,金属製品,0.7925535892169766,45.35240040858017,26.714158504007113,16.62216682273998,34.32835820895524,0.782212545678331,28.964401294498376,66.66666666666666,99.78962131837307,90.0,1287.0,6535,29.216867469879524,2025-06-30,2025-06-30,3.4,3.4,26.3,3.4,3.4,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
3.4
<27.3>
3.3
实PER
高值平均
3.2
安值平均
1.7
PBR
0-53
株倡(5/28)
1219m
十万件
最低購人额
25
12万1900m
18.0
5989
金",2049.png,1.0,0.6125924947145878,0.7730086384766832,中間型,金属製品,0.0,3.0,3.4,0.7925535892169766
2025Q3_PRE_ALIGNED,596,5729.T,日本精鉱,非鉄金属,0.7296157161496037,85.85858585858585,25.04854368932039,22.144329488191687,48.14814814814814,0.7697640963701107,44.78851963746223,58.333333333333336,97.2809667673716,80.0,5120.0,6273,78.70855148342059,2025-06-30,2025-06-30,5.1,5.1,26.3,5.1,5.1,medium,medium,low,low,low,"6860
株伍指标
海正格
予想PER
（倍）
<26.3>
5.1
<27.3>
7.7
实PER
高宿平均
13.6
安值平均
9.5
PBR
0-97
株福(5/28)
4730m
万花
CLER
最低購人额
25
22.7
47万3000P
5729
罪",1951.png,1.0,0.6210161205073996,0.7486525482898295,中間型,非鉄金属,0.0,3.0,5.1,0.7296157161496037
2025Q3_PRE_ALIGNED,316,1718.T,美樹工業,建設業,0.8065509540574413,43.292682926829265,29.120879120879128,16.998896250260387,34.244080145719494,0.6166515362963614,13.988095238095234,75.0,100.0,45.0,6620.0,5539,33.46774193548387,2025-06-30,2025-06-30,4.9,4.9,25.12,4.9,4.9,medium,medium,low,low,low,"5730布E校
株伍指标
予想PER
（倍）
<25.12>
4.9
(26.12>
4.7
实PER
高值平均
7.1
安值平均
5.9
PBR
0-38
株福(5/28)
5
5590m
最低購人额
25
55万9000P
1718
建",104.png,1.0,0.4088266384778013,0.8383423852889451,中間型,建設業,0.0,3.0,4.9,0.8065509540574413
2025Q3_PRE_ALIGNED,499,4404.T,ミヨシ油脂,食料品,0.7556673874131722,28.55254461335095,17.239300783604584,9.086304559697744,20.73085031623332,0.5510902807782179,24.12903225806452,75.0,99.53940634595702,100.0,1726.0,6276,29.969879518072283,2025-06-30,2025-06-30,1.7,1.7,25.12,1.7,1.7,medium,medium,low,low,low,"1756
株伍指标
海正格
予想PER
（倍）
<25.12>
1.7
(26.12>
8.5
实PER
高值平均
6.7
安值平均
4.3
PBR
0-54
株倡(5/28)
1621月
最低購人额
25
16万2100m
特
4404
食",1421.png,1.0,0.3961218287526427,0.6259345341178811,中間型,食料品,0.0,3.0,1.7,0.7556673874131722
2025Q3_PRE_ALIGNED,314,3640.T,電算,情報・通信業,0.8067015841143595,98.87118193891102,89.91756499682941,28.0582122882762,67.3202614379085,0.6433293109869254,22.24797219003476,58.333333333333336,95.38216560509554,95.0,2573.0,3862,73.26599326599326,2025-06-30,2025-06-30,4.7,4.7,26.3,4.7,4.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
4.7
<27.3>
8.3
实PER
高值平均
7.9
安值平均
5.8
PBR
1.12
株福(5/28)
6
万补
2440m
最低購人额
25
15.7
24万4000F
3640
情",988.png,0.998324958123953,0.6143829281183932,0.8415910201935728,中間型,情報・通信業,0.0,3.0,4.7,0.8067015841143595
2025Q3_PRE_ALIGNED,398,3020.T,アプライド,小売業,0.7813285391019886,17.981398553220806,24.863288370397374,14.827860759476252,28.16239316239317,0.5830730954305006,24.67138523761375,66.66666666666666,97.16312056737588,75.0,3420.0,4937,24.363636363636367,2025-06-30,2025-06-30,4.7,4.7,26.3,4.7,4.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
4.7
<27.3>
4.7
实PER
高值平均
5.8
安值平均
4.1
PBR
0.71
株倡(5/28)
2
3120m
25
最低購人额
16.0
31万2000m
3020
小",655.png,0.9938650306748468,0.613801532769556,0.7730395620514666,中間型,小売業,0.0,3.0,4.7,0.7813285391019886
2025Q3_PRE_ALIGNED,325,3280.T,エストラスト,不動産業,0.8010340317940886,55.44174135723432,32.96823658269441,13.707972095837636,32.928475033738195,0.749930484178978,27.137546468401485,75.0,99.67159277504105,85.0,960.0,3234,32.049518569463544,2025-06-30,2025-06-30,4.4,4.4,26.2,4.4,4.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.2>
4.4
<27.2>
4.3
实PER
高宿平均
4.7
安值平均
3.7
PBR
0-60
株福(5/28)
2
947A
最低購人额
25
15.0
9万4700F
3280
宋",806.png,0.9887218045112782,0.5037988900634249,0.790725149618254,中間型,不動産業,0.0,3.0,4.4,0.8010340317940886
2025Q3_PRE_ALIGNED,467,5280.T,ヨシコン,不動産業,0.7649827406553577,18.965517241379317,16.94915254237288,12.00451033155625,21.252638986629123,0.595699157548951,34.05951115834219,50.0,97.69911504424779,65.0,2260.0,6532,31.090487238979115,2025-06-30,2025-06-30,4.4,4.4,26.3,4.4,4.4,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
4.4
<27.3>
4.1
实PER
高值平均
5.5
安值平均
4.2
PBR
0-51
株倡(5/28)
2010m
最低購人额
25
11.5
20万1000F
5280
宋",1831.png,0.9887218045112782,0.6117864693446089,0.760203560344259,中間型,不動産業,0.0,3.0,4.4,0.7649827406553577
2025Q3_PRE_ALIGNED,187,4506.T,住友ファーマ,医薬品,0.8508421889376965,215.23809523809524,48.098434004474264,36.72245751989173,57.400000000000006,0.6518720692485502,37.050805452292444,58.333333333333336,100.0,80.0,971.0,6533,176.63817663817665,2025-06-30,2025-06-30,7.6,7.6,26.3,7.6,7.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
7.6
<27.3>
7.4
实PER
高宿平均
安值平均
PBR
1.78
株倡（5/28)
761A
最低購人额
25
14.5
7万6100P
4506
医",1492.png,0.9876543209876544,0.6340776955602536,0.8946482720251598,業績急伸型,医薬品,0.0,3.0,7.6,0.8508421889376965
2025Q3_PRE_ALIGNED,185,6822.T,大井電気,電気機器,0.8518997577263169,96.10609480812641,30.10108573567951,18.993792639053936,34.244080145719494,0.8410733618719213,22.745762711864405,66.66666666666666,98.44192634560906,95.0,3130.0,6535,79.67853042479909,2025-06-30,2025-06-30,4.9,4.9,26.3,4.9,4.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
4.9
<27.3>
4.2
实PER
高值平均
4.1
安值平均
2.4
PBR
0-52
株福(5/28)
万群
2815F
最低購人额
25
15.7
28万15009
速办特
6822
精2色",2531.png,0.986784140969163,0.6131804968287526,0.7970547731940437,安定進捗型,電気機器,0.0,3.0,4.9,0.8518997577263169
2025Q3_PRE_ALIGNED,143,211A.T,カドス・コーポレーション,建設業,0.8652220516008287,75.17985611510791,35.84379358437937,25.34408585134833,43.47202295552368,0.788530634349889,40.31971580817052,58.333333333333336,92.93893129770993,100.0,4820.0,400,62.28956228956229,2025-06-30,2025-06-30,5.7,5.7,25.7,5.7,5.7,medium,medium,low,low,low,"3845
株伍指标
予想PER
（倍）
<25.7>
5.7
(26.7>
5.8
实PER
高值平均
6.3
安值平均
4.8
PBR
0-82
株倡(5/28)
3530m
最低購人额
35万3000F
211A
建",273.png,0.9852941176470588,0.4682743128964058,0.9095846206801328,業績急伸型,建設業,0.0,3.0,5.7,0.8652220516008287
2025Q3_PRE_ALIGNED,120,3184.T,ＩＣＤＡホールディングス,小売業,0.8732437226296142,38.524590163934434,27.259036144578317,9.39636574188235,16.568047337278102,0.7833593240843919,18.876404494382026,75.0,94.9438202247191,85.0,3870.0,3123,36.36363636363635,2025-06-30,2025-06-30,5.7,5.0,5.0,5.0,5.0,medium,medium,low,low,low,"株伍指标
5
予想PER
（倍）
<26.3>
5.7
<27.3>
5.5
实PER
高值平均
6.6
安值平均
5.0
PBR
0-69
株福(5/26)
6
确
3425F
最低購人额
25
13.0
34万2500m
3184",762.png,0.9846625766871164,0.3675013213530655,0.8433231072298626,中間型,小売業,0.0,3.0,5.7,0.8732437226296142
