date,nikkei_phase,table_key,equity
2025-07-01,uptrend,core,3000000.0
2025-07-02,settling,recovery,2987736.612976074
2025-07-03,uptrend,core,2953069.999206543
2025-07-04,uptrend,core,3002069.999206543
2025-07-07,uptrend,core,3061569.999206543
2025-07-08,uptrend,core,3089569.999206543
2025-07-09,uptrend,core,2991569.999206543
2025-07-10,uptrend,core,3002069.999206543
2025-07-11,uptrend,core,3194569.999206543
2025-07-14,stable,core,3194569.999206543
2025-07-15,stable,core,3194569.999206543
2025-07-16,stable,core,3194569.999206543
2025-07-17,uptrend,core,3194569.999206543
2025-07-18,uptrend,core,3194569.999206543
2025-07-22,uptrend,core,3194569.999206543
2025-07-23,uptrend,core,3138854.9992065434
2025-07-24,normal,core,3042054.9992065434
2025-07-25,normal,core,3042054.9992065434
2025-07-28,normal,core,3042054.9992065434
2025-07-29,high_vol,defensive,3042054.9992065434
2025-07-30,high_vol,defensive,3042054.9992065434
2025-07-31,high_vol,defensive,3042054.9992065434
2025-08-01,high_vol,defensive,3042054.9992065434
2025-08-04,high_vol,defensive,3042054.9992065434
2025-08-05,high_vol,defensive,3042054.9992065434
2025-08-06,settling,recovery,3044364.9992065434
2025-08-07,uptrend,core,3069454.999206544
2025-08-08,uptrend,core,2893454.999206544
2025-08-12,uptrend,core,2893454.999206544
2025-08-13,uptrend,core,2893454.999206544
2025-08-14,normal,core,2893454.999206544
2025-08-15,overheated_range,core,2893454.999206544
2025-08-18,overheated_range,core,2893454.999206544
2025-08-19,settling,recovery,2893447.950378419
2025-08-20,normal,core,2934148.048034669
2025-08-21,normal,core,2934148.048034669
2025-08-22,normal,core,2934148.048034669
2025-08-25,normal,core,2934148.048034669
2025-08-26,settling,recovery,2934148.048034669
2025-08-27,settling,recovery,2934148.048034669
2025-08-28,uptrend,core,2948883.048034669
2025-08-29,uptrend,core,2924383.048034669
2025-09-01,uptrend,core,2934883.048034669
2025-09-02,uptrend,core,2903383.048034669
2025-09-03,uptrend,core,2934883.048034669
2025-09-04,uptrend,core,2878883.048034669
2025-09-05,uptrend,core,2880683.048034669
2025-09-08,uptrend,core,2921983.048034669
2025-09-09,stable,core,2872583.048034669
2025-09-10,normal,core,2857083.048034669
2025-09-11,uptrend,core,2838083.048034669
2025-09-12,uptrend,core,2861283.048034669
2025-09-16,stable,core,2907083.048034669
2025-09-17,stable,core,2945583.048034669
2025-09-18,uptrend,core,2856483.548034669
2025-09-19,uptrend,core,2883283.548034669
2025-09-22,uptrend,core,2919283.548034669
2025-09-24,uptrend,core,2939183.548034669
2025-09-25,uptrend,core,2938883.548034669
2025-09-26,uptrend,core,2925583.548034669
2025-09-29,uptrend,core,2904583.548034669
2025-09-30,uptrend,core,2908783.548034669
