segment_id,nikkei_phase,rule_name,start,end,days,pnl,return_pct_on_segment_start_equity
1,normal,condition2,2026-01-05,2026-01-15,8,135644.5,4.5214833333333315
2,surge,no_trade,2026-01-16,2026-01-16,1,38000.0,1.2118720728705012
3,high_vol,no_trade,2026-01-19,2026-01-22,4,0.0,0.0
4,normal,condition2,2026-01-23,2026-01-23,1,-8582.0,-0.2704146604952107
5,high_vol,no_trade,2026-01-26,2026-01-26,1,-16800.0,-0.5307952054659282
6,settling,no_trade,2026-01-27,2026-01-29,3,0.0,0.0
7,uptrend,condition2,2026-01-30,2026-02-02,2,-33883.5,-1.07626031819138
8,normal,condition2,2026-02-03,2026-02-06,4,163366.0,5.24554012212386
9,surge,no_trade,2026-02-09,2026-02-13,4,17450.0,0.5323782051379844
10,high_vol,no_trade,2026-02-16,2026-02-24,6,0.0,0.0
11,normal,condition2,2026-02-25,2026-02-25,1,6996.5,0.21232430857658358
12,settling,no_trade,2026-02-26,2026-02-27,2,-5600.0,-0.16958435027163432
13,uptrend,condition2,2026-03-02,2026-03-02,1,0.0,0.0
14,high_vol,no_trade,2026-03-03,2026-03-03,1,0.0,0.0
15,crash,no_trade,2026-03-04,2026-03-09,4,0.0,0.0
16,high_vol,no_trade,2026-03-10,2026-03-10,1,0.0,0.0
