quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,overall_score,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2024Q2_PRE_ALIGNED,16,8766.T,東京海上ホールディングス,保険業,0.9309179957510751,81.47476579026896,27.49469214437368,9.660278341058698,14.888762122076438,0.8911175482307958,-11.738484398216942,66.66666666666666,99.38761999337969,85.0,6005.0,6535,81.47476579026896,2024-06-30,2024-06-30,12.1,12.1,25.3,12.1,12.1,medium,medium,low,low,low,"株伍指标
5397
海正格
予想PER
（倍）
<25.3>
12.1
(26.3>
12.3
实PER
高值平均
14.0
安值平均
6'8
PBR
2.04
株倡(5/27)
2
53499
最低購人额
24
15.9
53万49009
F
8766
保",7355.png,0.8461538461538461,0.6563588139281827,0.9458090759698874,0.8379992997786709,保険業,0.0,3.0,12.1,0.9309179957510751
2024Q2_PRE_ALIGNED,1,7721.T,東京計器,精密機器,0.9590746878076586,171.34146341463415,32.0964749536178,20.449802114280587,35.4759967453214,0.93250584815629,-12.379730596536245,83.33333333333334,99.02642559109874,80.0,3560.0,6276,171.34146341463415,2024-06-30,2024-06-30,18.2,18.2,25.3,18.2,18.2,medium,medium,low,low,low,"3315E款
株伍指标
予想PER
（倍）
<25.3>
18.2
(26.3>
16.9
实PER
高值平均
21.4
安值平均
12.8
PBR
1.41
株幅(5/27)
3165F
最低購人额
24
6.5
31万6500F
7721
精",6920.png,0.5833333333333334,0.6871191512513601,0.9652403288845464,0.821836284855618,精密機器,0.0,3.0,18.2,0.9590746878076586
2024Q2_PRE_ALIGNED,17,8061.T,西華産業,卸売業,0.9306473910565316,121.22122733084647,18.4986589120276,14.443836276745536,20.79082320204204,0.9559349286219012,-10.744807763850728,83.33333333333334,93.34741305429426,100.0,1473.3333740234375,6276,121.22122733084647,2024-06-30,2024-06-30,8.1,8.1,25.3,8.1,8.1,medium,medium,low,low,low,"株伍指标
4175
海正格
予想PER
（倍）
<25.3>
8.1
(26.3>
10.0
实PER
高值平均
8.6
安值平均
5.5
PBR
1.09
株佰(5/27)
3820m
最低購人额
24
11.6
38万2000F
8061
卸",7132.png,0.8258620689655173,0.586173830250272,0.9624115331660412,0.8175172449719822,卸売業,0.0,3.0,8.1,0.9306473910565316
2024Q2_PRE_ALIGNED,65,2349.T,エヌアイデイ,情報・通信業,0.8961793564433389,59.07407407407408,26.323529411764703,17.83549787435403,34.3939393939394,0.8959778039161751,-19.72277227722772,75.0,96.84329199549042,70.0,2577.0,5734,59.07407407407408,2024-06-30,2024-06-30,12.8,12.8,25.3,12.8,12.8,medium,medium,low,low,low,"2661栋E楼
株伍指标
予想PER
（倍）
<25.3>
12.8
(26.3>
11.8
实PER
高值平均
10.5
安值平均
7.8
PBR
1.32
株倡(5/27)
2
23799
1万体
最低購人额
24
11.2
23万79009
2349
情
单横",4272.png,0.810405643738977,0.6615342763873776,0.9169668062001732,0.8164018922520042,情報・通信業,0.0,3.0,12.8,0.8961793564433389
2024Q2_PRE_ALIGNED,19,6371.T,椿本チエイン,機械,0.9296970102077826,68.60623680537985,20.970881394372,9.96243325299001,15.939279306586872,0.8408899379993882,-10.34482727517333,83.33333333333334,99.6800078000003,80.0,2076.666748046875,6276,68.60623680537985,2024-06-30,2024-06-30,9.4,9.4,25.3,9.4,9.4,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.3>
9.4
(26.3>
10.3
实PER
高值平均
9.7
安值平均
7.0
PBR
0-81
株倡(5/27)
5870P
1磊
最低購人额
24
58万7000m
6371
1 水速于特
概
个8精工色",6165.png,0.8325581395348837,0.6056991294885745,0.9178210621571804,0.8149198090944755,機械,0.0,3.0,9.4,0.9296970102077826
2024Q2_PRE_ALIGNED,36,4275.T,カーリット,化学,0.9159313228664698,67.09006928406467,30.95022624434389,12.608999761307189,26.37457044673539,0.8261933173880901,-11.653386454183268,75.0,98.36845683208702,90.0,1447.0,6276,67.09006928406467,2024-06-30,2024-06-30,10.0,10.0,25.3,10.0,10.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
10.0
(26.3>
9.7
实PER
高值平均
9.6
安值平均
6.2
PBR
0.76
株佰(5/27)
11889
wa15
最低購人额
24
11万88009
4275
少特
化",5204.png,0.8195121951219512,0.6129556583242655,0.9288512968843684,0.8126077838600075,化学,0.0,3.0,10.0,0.9159313228664698
2024Q2_PRE_ALIGNED,44,7460.T,ヤギ,卸売業,0.9083892429659568,63.07116104868913,21.75615212527964,12.113178071602404,18.012422360248447,0.9373360935600732,-8.796546141392337,66.66666666666666,98.06306306306304,70.0,2177.0,6469,63.07116104868913,2024-06-30,2024-06-30,7.8,7.8,25.3,7.8,7.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.3>
7.8
(26.3>
7.6
实PER
高值平均
18.8
安值平均
14.0
PBR
0.42
株佰(5/27)
G2
2008月
CIEE
最低購人额
24
5.4
20万800F
7460
特
卸",6783.png,0.8741379310344828,0.5837527203482045,0.920789928049566,0.8075315166218827,卸売業,0.0,3.0,7.8,0.9083892429659568
2024Q2_PRE_ALIGNED,6,3106.T,倉敷紡績,繊維製品,0.9468588009741438,122.59358288770056,42.91845493562232,16.100571319587388,27.44827586206897,0.8813760075083568,-13.685847589424572,83.33333333333334,97.36842105263158,100.0,4995.0,6276,122.59358288770056,2024-06-30,2024-06-30,11.0,11.0,25.3,11.0,11.0,medium,medium,low,low,low,"4490布E校
株伍指标
予想PER
（倍）
<25.3>
11.0
<26.3>
10.9
实PER
高值平均
9.1
安值平均
6.0
PBR
89-0
株佰(5/27)
3
4435F
最低購人额
24
6.2
44万3500F
3106
绒",4573.png,0.6702127659574468,0.601598204570185,0.975031950212076,0.8069204361069782,繊維製品,0.0,3.0,11.0,0.9468588009741438
2024Q2_PRE_ALIGNED,28,8877.T,エスリード,不動産業,0.9209634799730556,76.69025157232706,27.517730496453897,12.99279960141964,25.40861812778603,0.8148425168484055,-13.179723502304151,75.0,98.46659364731651,95.0,4495.0,6047,76.69025157232706,2024-06-30,2024-06-30,7.0,7.0,25.3,7.0,7.0,medium,medium,low,low,low,"1220
株伍指标
予想PER
（倍）
<25.3>
7.0
(26.3>
6.8
实PER
高值平均
6.2
安值平均
4.2
PBR
0-92
株幅(5/27)
3970m
最低購人额
24
11.8
39万7000m
8877
宋",7381.png,0.796875,0.5588479325353645,0.9359712864471142,0.79621469073157,不動産業,0.0,3.0,7.0,0.9209634799730556
2024Q2_PRE_ALIGNED,197,4762.T,エックスネット,情報・通信業,0.8466243535934506,44.08084696823869,20.725806451612904,14.032504600362456,25.86206896551724,0.7536936123609467,-8.082408874801905,75.0,94.26952141057934,75.0,1497.0,5719,44.08084696823869,2024-06-30,2024-06-30,11.0,11.0,25.3,11.0,11.0,medium,medium,low,low,low,"1588布E楼
株伍指标
予想PER
（倍）
<25.3>
11.0
(26.3>
9.2
实PER
高值平均
13.4
安值平均
11.2
PBR
1.46
株倡(5/27)
7
万补
1501月
最低購人额
24
9.0
15万100P
单老特
4762
情
增",5493.png,0.890652557319224,0.6455318280739933,0.8647562734560637,0.7959135488515319,情報・通信業,0.0,3.0,11.0,0.8466243535934506
