date,nikkei_phase,equity,pnl_day
2024-07-01,stable,3000000.0,0.0
2024-07-02,uptrend,3000000.0,0.0
2024-07-03,uptrend,3000000.0,0.0
2024-07-04,uptrend,3000000.0,0.0
2024-07-05,uptrend,3000000.0,0.0
2024-07-08,uptrend,3000000.0,0.0
2024-07-09,uptrend,3000000.0,0.0
2024-07-10,uptrend,3000000.0,0.0
2024-07-11,uptrend,3000000.0,0.0
2024-07-12,normal,3015426.0000000005,15426.000000000466
2024-07-16,overheated_range,2975826.0000000005,-39600.0
2024-07-17,normal,2905626.0000000005,-70200.0
2024-07-18,high_vol,2830026.0000000005,-75600.0
2024-07-19,normal,2830026.0000000005,0.0
2024-07-22,high_vol,2830026.0000000005,0.0
2024-07-23,high_vol,2830026.0000000005,0.0
2024-07-24,normal,2830026.0000000005,0.0
2024-07-25,normal,2830026.0000000005,0.0
2024-07-26,normal,2830026.0000000005,0.0
2024-07-29,crash,2894010.9855957036,63984.985595703125
2024-07-30,crash,2894847.6665039067,836.680908203125
2024-07-31,high_vol,2972480.9672851567,77633.30078125
2024-08-01,crash,2955664.9675903325,-16815.99969482422
2024-08-02,crash,2924533.6301879887,-31131.33740234375
2024-08-05,crash,2924533.6301879887,0.0
2024-08-06,crash,2924533.6301879887,0.0
2024-08-07,crash,3070377.6301879887,145844.0
2024-08-08,crash,3009777.6301879887,-60600.0
2024-08-09,crash,3009777.6301879887,0.0
2024-08-13,capitulation_end,3009777.6301879887,0.0
2024-08-14,capitulation_end,3009777.6301879887,0.0
2024-08-15,crash,3097077.6301879887,87300.0
2024-08-16,high_vol,3211477.6301879887,114400.0
2024-08-19,high_vol,3211477.6301879887,0.0
2024-08-20,high_vol,3211477.6301879887,0.0
2024-08-21,high_vol,3211477.6301879887,0.0
2024-08-22,high_vol,3211477.6301879887,0.0
2024-08-23,high_vol,3211477.6301879887,0.0
2024-08-26,high_vol,3211477.6301879887,0.0
2024-08-27,high_vol,3211477.6301879887,0.0
2024-08-28,high_vol,3211477.6301879887,0.0
2024-08-29,high_vol,3211477.6301879887,0.0
2024-08-30,normal,3211477.6301879887,0.0
2024-09-02,normal,3211477.6301879887,0.0
2024-09-03,normal,3211477.6301879887,0.0
2024-09-04,high_vol,3211477.6301879887,0.0
2024-09-05,high_vol,3211477.6301879887,0.0
2024-09-06,crash,3211477.6301879887,0.0
2024-09-09,crash,3211477.6301879887,0.0
2024-09-10,crash,3211477.6301879887,0.0
2024-09-11,high_vol,3211477.6301879887,0.0
2024-09-12,high_vol,3211477.6301879887,0.0
2024-09-13,high_vol,3211477.6301879887,0.0
2024-09-17,high_vol,3211477.6301879887,0.0
2024-09-18,high_vol,3211477.6301879887,0.0
2024-09-19,high_vol,3211477.6301879887,0.0
2024-09-20,high_vol,3211477.6301879887,0.0
2024-09-24,high_vol,3211477.6301879887,0.0
2024-09-25,high_vol,3211477.6301879887,0.0
2024-09-26,surge,3211477.6301879887,0.0
2024-09-27,surge,3211477.6301879887,0.0
2024-09-30,high_vol,3211477.6301879887,0.0
