date,ticker,action,price,shares,reason,nikkei_phase
2025-07-29,5576.T,BUY,2877.5249999999996,1000,q3_post_high_vol_entry,high_vol
2025-07-31,5576.T,SELL,2893.0,1000,sell_signal,high_vol
2025-07-31,1934.T,BUY,2516.185,1100,q3_post_high_vol_entry,high_vol
2025-08-04,1967.T,BUY,1891.9599999999998,100,q3_post_high_vol_entry,high_vol
2025-08-07,1934.T,SELL,2673.0,1100,sell_signal,uptrend
2025-08-07,1975.T,BUY,3145.0,100,condition2_entry,uptrend
2025-08-07,7419.T,BUY,1150.333374633789,500,condition2_entry,uptrend
2025-08-07,1948.T,BUY,2435.9999999999995,800,condition2_entry,uptrend
2025-08-08,7419.T,SELL,1141.6666259765625,500,sell_signal,uptrend
2025-08-08,1948.T,SELL,2440.0,800,sell_signal,uptrend
2025-08-08,7914.T,BUY,1503.215,800,condition2_entry,uptrend
2025-08-08,1808.T,BUY,2393.8774999999996,600,condition2_entry,uptrend
2025-08-12,1967.T,SELL,2014.0,100,sell_signal,uptrend
2025-08-12,1975.T,SELL,2978.0,100,stop_loss,uptrend
2025-08-13,3683.T,BUY,1455.5099999999998,100,condition2_entry,uptrend
2025-08-13,6540.T,BUY,1862.5249999999999,100,condition2_entry,uptrend
2025-08-15,6554.T,BUY,1142.8899999999999,100,q3_post_high_vol_entry,overheated_range
2025-08-18,7914.T,SELL,1534.0,800,sell_signal,overheated_range
2025-08-18,1808.T,SELL,2430.0,600,sell_signal,overheated_range
2025-08-19,6554.T,SELL,1188.0,100,sell_signal,settling
2025-08-20,3683.T,SELL,1433.0,100,sell_signal,normal
2025-08-20,6540.T,SELL,1860.0,100,sell_signal,normal
2025-09-12,7131.T,BUY,3280.0,900,condition2_entry,uptrend
2025-09-22,7131.T,SELL,3595.0,900,take_profit,uptrend
