date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,2990535.674926758,-9464.325073242188
2025-07-02,settling,2971862.674926758,-18673.0
2025-07-03,uptrend,2945486.0001220703,-26376.6748046875
2025-07-04,uptrend,2968286.0001220703,22800.0
2025-07-07,uptrend,2962552.674926758,-5733.3251953125
2025-07-08,uptrend,2977719.3497314453,15166.6748046875
2025-07-09,uptrend,3046319.3497314453,68600.0
2025-07-10,uptrend,3004886.0001220703,-41433.349609375
2025-07-11,uptrend,3024419.3497314453,19533.349609375
2025-07-14,stable,3047919.3497314453,23500.0
2025-07-15,stable,3026919.3497314453,-21000.0
2025-07-16,stable,3022719.3497314453,-4200.0
2025-07-17,uptrend,3050819.3497314453,28100.0
2025-07-18,uptrend,2988619.3497314453,-62200.0
2025-07-22,uptrend,3035519.3497314453,46900.0
2025-07-23,uptrend,3032784.3497314453,-2735.0
2025-07-24,normal,3002284.3497314453,-30500.0
2025-07-25,normal,3015144.3497314453,12860.0
2025-07-28,normal,3106744.3497314453,91600.0
2025-07-29,high_vol,3022444.3497314453,-84300.0
2025-07-30,high_vol,3077129.849731446,54685.500000000466
2025-07-31,high_vol,3118246.861938477,41117.01220703125
2025-08-01,high_vol,3131467.349731446,13220.48779296875
2025-08-04,high_vol,3110367.349731446,-21100.0
2025-08-05,high_vol,3104580.349731446,-5787.0
2025-08-06,settling,3182163.3497314462,77583.00000000047
2025-08-07,uptrend,3169603.3497314462,-12560.0
2025-08-08,uptrend,3241259.8373413095,71656.48760986328
2025-08-12,uptrend,3251399.849548341,10140.01220703125
2025-08-13,uptrend,3327459.849548341,76060.0
2025-08-14,normal,3261259.849548341,-66200.0
2025-08-15,overheated_range,3225571.849548341,-35688.0
2025-08-18,overheated_range,3198202.599548341,-27369.25
2025-08-19,settling,3193902.599548341,-4300.0
2025-08-20,normal,3191671.599548341,-2231.0
2025-08-21,normal,3184671.599548341,-7000.0
2025-08-22,normal,3177209.099548341,-7462.5
2025-08-25,normal,3153916.599548341,-23292.5
2025-08-26,settling,3180916.599548341,27000.0
2025-08-27,settling,3193316.599548341,12400.0
2025-08-28,uptrend,3209016.599548341,15700.0
2025-08-29,uptrend,3220916.599548341,11900.0
2025-09-01,uptrend,3239016.599548341,18100.0
2025-09-02,uptrend,3289416.599548341,50400.0
2025-09-03,uptrend,3277916.599548341,-11500.0
2025-09-04,uptrend,3298816.599548341,20900.0
2025-09-05,uptrend,3310686.5995483412,11870.000000000466
2025-09-08,uptrend,3348255.599548341,37568.999999999534
2025-09-09,stable,3349355.599548341,1100.0
2025-09-10,normal,3373555.599548341,24200.0
2025-09-11,uptrend,3394055.599548341,20500.0
2025-09-12,uptrend,3384155.599548341,-9900.0
2025-09-16,stable,3394655.599548341,10500.0
2025-09-17,stable,3336175.599548341,-58480.0
2025-09-18,uptrend,3352775.599548341,16600.0
2025-09-19,uptrend,3308575.599548341,-44200.0
2025-09-22,uptrend,3333275.599548341,24700.0
2025-09-24,uptrend,3334275.599548341,1000.0
2025-09-25,uptrend,3340275.599548341,6000.0
2025-09-26,uptrend,3388885.599548341,48610.0
2025-09-29,uptrend,3370385.599548341,-18500.0
2025-09-30,uptrend,3351634.762145997,-18750.83740234375
