date,nikkei_phase,equity,pnl_day
2026-01-05,normal,2989169.0,-10831.0
2026-01-06,normal,2996838.5,7669.5
2026-01-07,normal,3011438.5,14600.0
2026-01-08,normal,2993788.5,-17650.0
2026-01-09,normal,3010332.0,16543.5
2026-01-13,normal,3064032.0,53700.0
2026-01-14,normal,3123382.0,59350.0
2026-01-15,normal,3135644.5,12262.5
2026-01-16,surge,3173644.5,38000.0
2026-01-19,high_vol,3172444.5,-1200.0
2026-01-20,high_vol,3169444.5,-3000.0
2026-01-21,high_vol,3167444.5,-2000.0
2026-01-22,high_vol,3167875.0000000005,430.50000000046566
2026-01-23,normal,3182575.0000000005,14700.0
2026-01-26,high_vol,3182575.0000000005,0.0
2026-01-27,settling,3182575.0000000005,0.0
2026-01-28,settling,3220262.5000000005,37687.5
2026-01-29,settling,3227762.5000000005,7500.0
2026-01-30,uptrend,3230384.0000000005,2621.5
2026-02-02,uptrend,3212889.0000000005,-17495.0
2026-02-03,normal,3258693.5000000005,45804.5
2026-02-04,normal,3296428.0000000005,37734.5
2026-02-05,normal,3367378.000000001,70950.00000000047
2026-02-06,normal,3417660.500000001,50282.5
2026-02-09,surge,3428060.500000001,10400.0
2026-02-10,surge,3428060.500000001,0.0
2026-02-12,surge,3428060.500000001,0.0
2026-02-13,surge,3428060.500000001,0.0
2026-02-16,high_vol,3448048.000000001,19987.5
2026-02-17,high_vol,3699420.500000001,251372.5
2026-02-18,high_vol,3689697.000000001,-9723.5
2026-02-19,high_vol,3736005.000000001,46308.0
2026-02-20,high_vol,3706605.000000001,-29400.0
2026-02-24,high_vol,3732805.000000001,26200.0
2026-02-25,normal,3713005.000000001,-19800.0
2026-02-26,settling,3709962.500000001,-3042.5
2026-02-27,settling,3806051.500000001,96089.0
2026-03-02,uptrend,3728651.500000001,-77400.0
2026-03-03,high_vol,3579296.500000001,-149355.0
2026-03-04,crash,3513262.500000001,-66034.0
2026-03-05,crash,3513262.500000001,0.0
2026-03-06,crash,3513262.500000001,0.0
2026-03-09,crash,3513262.500000001,0.0
2026-03-10,high_vol,3545362.500000001,32100.0
