date,ticker,action,price,shares,reason,nikkei_phase
2024-07-01,4275.T,BUY,1468.705,100,breakout_1p5_entry,stable
2024-07-01,6371.T,BUY,2107.816749267578,100,breakout_1p5_entry,stable
2024-07-01,2674.T,BUY,2112.2149999999997,400,breakout_1p5_entry,stable
2024-07-11,7721.T,BUY,3850.0,200,condition2_entry,uptrend
2024-07-12,7721.T,SELL,3750.0,200,sell_signal,normal
2024-07-16,7721.T,BUY,3890.0,100,q3_post_high_vol_entry,overheated_range
2024-07-16,2585.T,BUY,1601.1625,200,q3_post_high_vol_entry,overheated_range
2024-07-16,6351.T,BUY,2126.4249999999997,500,q3_post_high_vol_entry,overheated_range
2024-07-17,7721.T,SELL,3970.0,100,sell_signal,normal
2024-07-17,2585.T,SELL,1617.5,200,sell_signal,normal
2024-07-17,6351.T,SELL,2092.5,500,sell_signal,normal
2024-07-17,8061.T,BUY,1473.3333740234375,600,condition2_entry,normal
2024-07-17,3583.T,BUY,1174.0,700,condition2_entry,normal
2024-07-18,4275.T,SELL,1520.0,100,sell_signal,high_vol
2024-07-18,6371.T,SELL,2166.666748046875,100,sell_signal,high_vol
2024-07-18,2674.T,SELL,2166.0,400,sell_signal,high_vol
2024-07-18,8061.T,SELL,1436.6666259765625,600,sell_signal,high_vol
2024-07-18,3583.T,SELL,1155.0,700,sell_signal,high_vol
2024-07-24,4275.T,BUY,1460.5849999999998,200,condition2_entry,normal
2024-07-24,6489.T,BUY,1523.5149999999999,400,condition2_entry,normal
2024-07-24,2349.T,BUY,2694.825,200,condition2_entry,normal
2024-07-25,6489.T,SELL,1433.0,400,stop_loss,normal
2024-07-25,2349.T,SELL,2448.0,200,stop_loss,normal
2024-07-26,8877.T,BUY,4506.599999999999,200,condition2_entry,normal
2024-07-29,4275.T,SELL,1434.0,200,sell_signal,crash
2024-07-29,8877.T,SELL,4665.0,200,sell_signal,crash
2024-08-13,2585.T,BUY,1650.0,1700,q3_post_high_vol_entry,capitulation_end
2024-08-14,2585.T,SELL,1577.5,1700,sell_signal,capitulation_end
