date,ticker,action,price,shares,reason,nikkei_phase
2024-07-01,4275.T,BUY,1468.705,100,breakout_1p5_entry,stable
2024-07-01,6371.T,BUY,2107.816749267578,100,breakout_1p5_entry,stable
2024-07-01,2674.T,BUY,2112.2149999999997,400,breakout_1p5_entry,stable
2024-07-11,7721.T,BUY,3850.0,200,condition2_entry,uptrend
2024-07-12,7721.T,SELL,3750.0,200,sell_signal,normal
2024-07-16,7721.T,BUY,3890.0,100,q3_post_high_vol_entry,overheated_range
2024-07-16,2585.T,BUY,1601.1625,200,q3_post_high_vol_entry,overheated_range
2024-07-16,6351.T,BUY,2126.4249999999997,500,q3_post_high_vol_entry,overheated_range
2024-07-17,7721.T,SELL,3970.0,100,sell_signal,normal
2024-07-17,2585.T,SELL,1617.5,200,sell_signal,normal
2024-07-17,6351.T,SELL,2092.5,500,sell_signal,normal
2024-07-17,8061.T,BUY,1473.3333740234375,600,condition2_entry,normal
2024-07-17,3583.T,BUY,1174.0,700,condition2_entry,normal
2024-07-19,8061.T,SELL,1426.6666259765625,600,sell_signal,normal
2024-07-22,2585.T,BUY,1687.4374999999998,100,q3_post_high_vol_entry,high_vol
2024-07-24,2585.T,SELL,1730.0,100,sell_signal,normal
2024-07-25,4275.T,SELL,1395.0,100,stop_loss,normal
2024-07-25,6371.T,SELL,2096.666748046875,100,pre_earnings_exit,normal
2024-07-25,3583.T,SELL,1148.0,700,sell_signal,normal
2024-07-26,2674.T,SELL,2037.0,400,sell_signal,normal
2024-07-26,8877.T,BUY,4506.599999999999,300,condition2_entry,normal
2024-07-29,8877.T,SELL,4665.0,300,sell_signal,crash
2024-07-29,8750.T,BUY,1111.75,100,q2_defensive_entry,crash
2024-07-29,1921.T,BUY,844.0,100,q2_defensive_entry,crash
2024-07-29,9799.T,BUY,792.345,100,q2_defensive_entry,crash
2024-07-29,9709.T,BUY,899.0,100,q2_defensive_entry,crash
2024-07-29,3143.T,BUY,579.74,300,q2_defensive_entry,crash
2024-07-29,6625.T,BUY,505.0,300,q2_defensive_entry,crash
2024-07-29,3766.T,BUY,1080.7,200,q2_defensive_entry,crash
2024-07-29,2674.T,BUY,2071.0,100,q2_defensive_entry,crash
2024-07-29,8059.T,BUY,2362.0,100,q2_defensive_entry,crash
2024-07-29,7157.T,BUY,1680.0,300,q2_defensive_entry,crash
2024-07-29,5290.T,BUY,1010.0,500,q2_defensive_entry,crash
2024-07-29,7510.T,BUY,2419.96,200,q2_defensive_entry,crash
2024-07-30,1921.T,SELL,844.76,100,crash_early_exit,crash
2024-07-30,9709.T,SELL,880.0,100,pre_earnings_exit,crash
2024-07-30,8059.T,SELL,2284.38,100,crash_early_exit,crash
2024-07-30,7157.T,SELL,1665.02,300,crash_early_exit,crash
2024-07-30,7510.T,SELL,2446.0,200,pre_earnings_exit,crash
2024-07-31,8750.T,SELL,1162.0,100,sell_signal,high_vol
2024-07-31,9799.T,SELL,790.0,100,sell_signal,high_vol
2024-07-31,3143.T,SELL,591.3333129882812,300,sell_signal,high_vol
2024-07-31,6625.T,SELL,507.0,300,sell_signal,high_vol
2024-07-31,3766.T,SELL,1068.0,200,sell_signal,high_vol
2024-07-31,5290.T,SELL,1024.0,500,sell_signal,high_vol
2024-08-01,2674.T,SELL,2053.1,100,crash_early_exit,crash
2024-08-01,3766.T,BUY,1078.68,100,q2_defensive_entry,crash
2024-08-01,9564.T,BUY,450.0,400,q2_defensive_entry,crash
2024-08-02,3766.T,SELL,1040.0,100,crash_early_exit,crash
2024-08-02,9564.T,SELL,423.0,400,crash_early_exit,crash
2024-08-07,5941.T,BUY,2251.0,400,q2_defensive_entry,crash
2024-08-07,9651.T,BUY,1245.33,800,q2_defensive_entry,crash
2024-08-07,9761.T,BUY,1809.0,500,q2_defensive_entry,crash
2024-08-08,5941.T,SELL,2477.0,400,pre_earnings_exit,crash
2024-08-08,9651.T,SELL,1310.0,800,take_profit,crash
2024-08-08,9761.T,SELL,1829.0,500,pre_earnings_exit,crash
2024-08-08,3712.T,BUY,4221.8,300,q2_defensive_entry,crash
2024-08-08,9882.T,BUY,1254.925,1400,q2_defensive_entry,crash
2024-08-09,3712.T,SELL,4145.0,300,crash_early_exit,crash
2024-08-09,2329.T,BUY,627.21,400,q2_defensive_entry,crash
2024-08-09,5941.T,BUY,2424.0,100,q2_defensive_entry,crash
2024-08-09,9761.T,BUY,1860.0,200,q2_defensive_entry,crash
2024-08-09,3261.T,BUY,502.98,800,q2_defensive_entry,crash
2024-08-13,9882.T,SELL,1239.5,1400,sell_signal,capitulation_end
2024-08-13,2329.T,SELL,639.0,400,sell_signal,capitulation_end
2024-08-13,5941.T,SELL,2386.0,100,sell_signal,capitulation_end
2024-08-13,9761.T,SELL,1820.0,200,sell_signal,capitulation_end
2024-08-13,3261.T,SELL,514.0,800,sell_signal,capitulation_end
2024-08-13,2585.T,BUY,1650.0,1800,q3_post_high_vol_entry,capitulation_end
2024-08-14,2585.T,SELL,1577.5,1800,sell_signal,capitulation_end
2024-08-15,9882.T,BUY,1250.885,300,q2_defensive_entry,crash
2024-08-15,1826.T,BUY,879.71,700,q2_defensive_entry,crash
2024-08-15,3139.T,BUY,3030.0,200,q2_defensive_entry,crash
2024-08-15,7510.T,BUY,2366.43,500,q2_defensive_entry,crash
2024-08-16,9882.T,SELL,1287.0,300,sell_signal,high_vol
2024-08-16,1826.T,SELL,825.0,700,stop_loss,high_vol
2024-08-16,3139.T,SELL,3025.0,200,sell_signal,high_vol
2024-08-16,7510.T,SELL,2443.0,500,sell_signal,high_vol
2024-09-04,2585.T,BUY,1938.6499999999999,1500,q3_post_high_vol_entry,high_vol
2024-09-06,2585.T,SELL,1886.5,1500,crash_early_exit,crash
2024-09-06,2749.T,BUY,715.08,100,q2_defensive_entry,crash
2024-09-06,2329.T,BUY,667.61,100,q2_defensive_entry,crash
2024-09-06,3529.T,BUY,754.47,100,q2_defensive_entry,crash
2024-09-06,7013.T,BUY,898.7556878662109,100,q2_defensive_entry,crash
2024-09-06,1826.T,BUY,874.66,100,q2_defensive_entry,crash
2024-09-06,9882.T,BUY,1233.715,100,q2_defensive_entry,crash
2024-09-06,2730.T,BUY,1859.41,100,q2_defensive_entry,crash
2024-09-06,4113.T,BUY,979.0,200,q2_defensive_entry,crash
2024-09-06,3762.T,BUY,2350.27,100,q2_defensive_entry,crash
2024-09-06,7088.T,BUY,1014.04,200,q2_defensive_entry,crash
2024-09-06,4626.T,BUY,1828.1,100,q2_defensive_entry,crash
2024-09-06,9336.T,BUY,3065.0,100,q2_defensive_entry,crash
2024-09-06,5741.T,BUY,1248.6125,200,q2_defensive_entry,crash
2024-09-09,2749.T,SELL,685.0,100,crash_early_exit,crash
2024-09-09,3529.T,SELL,728.0,100,crash_early_exit,crash
2024-09-09,7013.T,SELL,848.5714111328125,100,crash_early_exit,crash
2024-09-09,4113.T,SELL,893.0,200,crash_early_exit,crash
2024-09-09,3762.T,SELL,2289.2799999999997,100,crash_early_exit,crash
2024-09-09,7088.T,SELL,962.0,200,crash_early_exit,crash
2024-09-09,4626.T,SELL,1741.95,100,crash_early_exit,crash
2024-09-10,7643.T,BUY,1464.5,600,q2_defensive_entry,crash
2024-09-10,2923.T,BUY,8700.0,100,q2_defensive_entry,crash
2024-09-11,2329.T,SELL,651.0,100,sell_signal,high_vol
2024-09-11,1826.T,SELL,851.0,100,sell_signal,high_vol
2024-09-11,9882.T,SELL,1183.5,100,stop_loss,high_vol
2024-09-11,2730.T,SELL,1826.0,100,sell_signal,high_vol
2024-09-11,9336.T,SELL,3040.0,100,sell_signal,high_vol
2024-09-11,5741.T,SELL,1241.25,200,sell_signal,high_vol
2024-09-11,7643.T,SELL,1438.0,600,sell_signal,high_vol
2024-09-11,2923.T,SELL,7610.0,100,stop_loss,high_vol
2024-09-30,2585.T,BUY,1947.7849999999999,1300,q3_post_high_vol_entry,high_vol
2024-09-30,2585.T,SELL,1917.0,1300,end_of_backtest,high_vol
