date,ticker,action,price,shares,reason,nikkei_phase
2025-10-14,2970.T,BUY,1018.0449999999998,100,q3_post_high_vol_entry,high_vol
2025-10-14,7191.T,BUY,1111.425,100,q3_post_high_vol_entry,high_vol
2025-10-15,2970.T,SELL,1185.0,100,take_profit,high_vol
2025-10-16,8393.T,BUY,4389.875,300,q3_post_high_vol_entry,high_vol
2025-10-16,8336.T,BUY,3963.575,400,q3_post_high_vol_entry,high_vol
2025-10-21,7191.T,SELL,1088.0,100,sell_signal,surge
2025-10-21,8393.T,SELL,4545.0,300,sell_signal,surge
2025-10-21,8336.T,SELL,4010.0,400,sell_signal,surge
2025-10-22,2970.T,BUY,1139.8449999999998,100,q3_post_high_vol_entry,high_vol
2025-10-22,7419.T,BUY,1306.3049999999998,100,q3_post_high_vol_entry,high_vol
2025-10-22,6488.T,BUY,966.2799999999999,400,q3_post_high_vol_entry,high_vol
2025-10-22,1815.T,BUY,3674.2999999999997,100,q3_post_high_vol_entry,high_vol
2025-10-22,8600.T,BUY,681.0649999999999,700,q3_post_high_vol_entry,high_vol
2025-10-22,8345.T,BUY,4024.4749999999995,100,q3_post_high_vol_entry,high_vol
2025-10-27,2970.T,SELL,1120.0,100,sell_signal,surge
2025-10-27,7419.T,SELL,1324.0,100,pre_earnings_exit,surge
2025-10-27,6488.T,SELL,986.0,400,sell_signal,surge
2025-10-27,1815.T,SELL,3710.0,100,sell_signal,surge
2025-10-27,8600.T,SELL,700.0,700,sell_signal,surge
2025-10-27,8345.T,SELL,4035.0,100,sell_signal,surge
2025-11-06,8393.T,BUY,4694.375,600,q3_post_high_vol_entry,high_vol
2025-11-07,8393.T,SELL,5100.0,600,take_profit,high_vol
2025-11-07,1980.T,BUY,2320.966749267578,200,q3_post_high_vol_entry,high_vol
2025-11-07,8336.T,BUY,4247.775,600,q3_post_high_vol_entry,high_vol
2025-11-18,1980.T,SELL,2173.333251953125,200,stop_loss,high_vol
2025-11-27,8336.T,SELL,4630.0,600,take_profit,high_vol
2025-11-27,8600.T,BUY,745.0099999999999,2300,q3_post_high_vol_entry,high_vol
2025-11-28,2981.T,BUY,2888.0,300,q3_post_high_vol_entry,high_vol
2025-12-03,2981.T,SELL,2703.0,300,stop_loss,normal
2025-12-12,4495.T,BUY,2744.56,600,condition2_entry,normal
2025-12-15,4495.T,SELL,2750.0,600,sell_signal,normal
2025-12-15,5105.T,BUY,4400.025,400,condition2_entry,normal
2025-12-17,5105.T,SELL,4420.0,400,sell_signal,normal
2025-12-19,6745.T,BUY,4415.25,100,condition2_entry,normal
2025-12-19,8343.T,BUY,3933.1249999999995,100,condition2_entry,normal
2025-12-22,8515.T,BUY,570.0,500,condition2_entry,normal
2025-12-24,2975.T,BUY,1303.2599999999998,500,condition2_entry,normal
2025-12-25,8600.T,SELL,767.0,2300,pre_earnings_exit,normal
2025-12-25,6745.T,SELL,4410.0,100,pre_earnings_exit,normal
2025-12-25,8343.T,SELL,3990.0,100,pre_earnings_exit,normal
2025-12-25,8515.T,SELL,562.0,500,pre_earnings_exit,normal
2025-12-25,2975.T,SELL,1329.0,500,pre_earnings_exit,normal
2025-12-30,8550.T,BUY,738.92,200,breakout_1p5_entry,stable
2025-12-30,8600.T,BUY,795.7599999999999,500,breakout_1p5_entry,stable
2025-12-30,8343.T,BUY,4090.45,100,breakout_1p5_entry,stable
2025-12-30,6745.T,BUY,4460.924999999999,100,breakout_1p5_entry,stable
2025-12-30,7235.T,BUY,1518.4399999999998,400,breakout_1p5_entry,stable
2025-12-30,8550.T,SELL,726.0,200,end_of_backtest,stable
2025-12-30,8600.T,SELL,784.0,500,end_of_backtest,stable
2025-12-30,8343.T,SELL,4025.0,100,end_of_backtest,stable
2025-12-30,6745.T,SELL,4440.0,100,end_of_backtest,stable
2025-12-30,7235.T,SELL,1582.0,400,end_of_backtest,stable
