date,nikkei_phase,equity,pnl_day
2026-01-05,normal,2989169.0,-10831.0
2026-01-06,normal,2996838.5,7669.5
2026-01-07,normal,3011438.5,14600.0
2026-01-08,normal,2993788.5,-17650.0
2026-01-09,normal,3010332.0,16543.5
2026-01-13,normal,3064032.0,53700.0
2026-01-14,normal,3123382.0,59350.0
2026-01-15,normal,3135644.5,12262.5
2026-01-16,surge,3173644.5,38000.0
2026-01-19,high_vol,3172444.5,-1200.0
2026-01-20,high_vol,3169444.5,-3000.0
2026-01-21,high_vol,3167444.5,-2000.0
2026-01-22,high_vol,3167875.0000000005,430.50000000046566
2026-01-23,normal,3182575.0000000005,14700.0
2026-01-26,high_vol,3182575.0000000005,0.0
2026-01-27,settling,3182575.0000000005,0.0
2026-01-28,settling,3182575.0000000005,0.0
2026-01-29,settling,3182575.0000000005,0.0
2026-01-30,uptrend,3182575.0000000005,0.0
2026-02-02,uptrend,3157432.5000000005,-25142.5
2026-02-03,normal,3208832.5000000005,51400.0
2026-02-04,normal,3263037.0000000005,54204.5
2026-02-05,normal,3242437.0000000005,-20600.0
2026-02-06,normal,3309537.0000000005,67100.0
2026-02-09,surge,3335237.0000000005,25700.0
2026-02-10,surge,3335237.0000000005,0.0
2026-02-12,surge,3335237.0000000005,0.0
2026-02-13,surge,3335237.0000000005,0.0
2026-02-16,high_vol,3344310.0000000005,9073.0
2026-02-17,high_vol,3442710.0000000005,98400.0
2026-02-18,high_vol,3456810.0000000005,14100.0
2026-02-19,high_vol,3499026.5000000005,42216.5
2026-02-20,high_vol,3491326.5000000005,-7700.0
2026-02-24,high_vol,3509926.5000000005,18600.0
2026-02-25,normal,3486226.5000000005,-23700.0
2026-02-26,settling,3488414.5000000005,2188.0
2026-02-27,settling,3548518.0000000005,60103.5
2026-03-02,uptrend,3491118.0000000005,-57400.0
2026-03-03,high_vol,3395390.5000000005,-95727.5
2026-03-04,crash,3312756.5000000005,-82634.0
2026-03-05,crash,3328756.5000000005,16000.0
2026-03-06,crash,3296756.5000000005,-32000.0
2026-03-09,crash,3184756.5000000005,-112000.0
2026-03-10,high_vol,3184756.5000000005,0.0
