date,ticker,action,price,shares,reason,nikkei_phase
2025-07-01,1938.T,BUY,1869.6299999999999,100,condition2_entry,uptrend
2025-07-01,6644.T,BUY,973.3849999999999,200,condition2_entry,uptrend
2025-07-01,1980.T,BUY,1503.8916253662107,200,condition2_entry,uptrend
2025-07-01,5576.T,BUY,2929.0,100,condition2_entry,uptrend
2025-07-01,2981.T,BUY,1710.2749999999999,200,condition2_entry,uptrend
2025-07-01,9409.T,BUY,2835.91,100,condition2_entry,uptrend
2025-07-02,6040.T,BUY,521.7099999999999,100,q3_post_high_vol_entry,settling
2025-07-02,1810.T,BUY,1151.01,200,q3_post_high_vol_entry,settling
2025-07-03,2981.T,SELL,1664.0,200,sell_signal,uptrend
2025-07-03,9409.T,SELL,2671.0,100,stop_loss,uptrend
2025-07-03,6040.T,SELL,530.0,100,sell_signal,uptrend
2025-07-03,1810.T,SELL,1149.0,200,sell_signal,uptrend
2025-07-03,9768.T,BUY,3136.35,600,condition2_entry,uptrend
2025-07-11,1980.T,SELL,1443.3333740234375,200,sell_signal,uptrend
2025-07-11,5576.T,SELL,2922.0,100,sell_signal,uptrend
2025-07-23,3495.T,BUY,2750.6499999999996,100,condition2_entry,uptrend
2025-07-24,3495.T,SELL,2612.0,100,stop_loss,normal
2025-07-25,6644.T,SELL,1059.0,200,take_profit,normal
2025-07-29,5576.T,BUY,2877.5249999999996,100,q3_post_high_vol_entry,high_vol
2025-07-30,9768.T,SELL,3240.0,600,sell_signal,high_vol
2025-07-31,9449.T,BUY,3739.2599999999998,600,q3_post_high_vol_entry,high_vol
2025-08-01,1938.T,SELL,2029.0,100,take_profit,high_vol
2025-08-01,1967.T,BUY,1846.2849999999999,100,q3_post_high_vol_entry,high_vol
2025-08-05,5576.T,SELL,2814.0,100,sell_signal,high_vol
2025-08-05,1967.T,SELL,2015.0,100,take_profit,high_vol
2025-08-06,9882.T,BUY,1555.995,500,q3_post_high_vol_entry,settling
2025-08-07,9449.T,SELL,3958.0,600,sell_signal,uptrend
2025-08-07,9882.T,SELL,1609.0,500,sell_signal,uptrend
2025-08-07,7419.T,BUY,1150.333374633789,900,condition2_entry,uptrend
2025-08-07,1948.T,BUY,2435.9999999999995,400,condition2_entry,uptrend
2025-08-08,6554.T,BUY,1187.55,1000,condition2_entry,uptrend
2025-08-12,6554.T,SELL,1119.0,1000,stop_loss,uptrend
2025-08-12,3683.T,BUY,1333.7099999999998,200,condition2_entry,uptrend
2025-08-12,4507.T,BUY,2678.5849999999996,300,condition2_entry,uptrend
2025-08-13,3683.T,SELL,1452.0,200,take_profit,uptrend
2025-08-15,4507.T,SELL,2626.5,300,sell_signal,overheated_range
2025-08-15,4681.T,BUY,1931.5,100,q3_post_high_vol_entry,overheated_range
2025-08-15,6554.T,BUY,1142.8899999999999,800,q3_post_high_vol_entry,overheated_range
2025-08-19,1948.T,SELL,2357.0,400,sell_signal,settling
2025-08-20,4681.T,SELL,1934.0,100,sell_signal,normal
2025-08-20,6554.T,SELL,1210.0,800,sell_signal,normal
2025-08-20,1948.T,BUY,2392.3549999999996,400,condition2_entry,normal
2025-08-20,2805.T,BUY,3182.0249999999996,300,condition2_entry,normal
2025-08-21,1948.T,SELL,2481.0,400,sell_signal,normal
2025-08-22,2805.T,SELL,3165.0,300,sell_signal,normal
2025-08-25,2805.T,BUY,3212.475,600,condition2_entry,normal
2025-09-08,2805.T,SELL,3430.0,600,sell_signal,uptrend
2025-09-08,1810.T,BUY,1443.33,1500,condition2_entry,uptrend
2025-09-12,7419.T,SELL,1251.6666259765625,900,take_profit,uptrend
2025-09-12,1948.T,BUY,2684.6749999999997,200,condition2_entry,uptrend
2025-09-12,7131.T,BUY,3280.0,200,condition2_entry,uptrend
2025-09-16,1948.T,SELL,2725.0,200,sell_signal,stable
2025-09-17,1975.T,BUY,3166.7999999999997,100,breakout_1p5_entry,stable
2025-09-22,1810.T,SELL,1443.0,1500,sell_signal,uptrend
2025-09-22,7131.T,SELL,3595.0,200,take_profit,uptrend
2025-09-25,1975.T,SELL,3130.0,100,sell_signal,uptrend
2025-09-25,7131.T,BUY,3496.6749999999997,900,condition2_entry,uptrend
2025-09-30,7131.T,SELL,3440.0,900,end_of_backtest,uptrend
