date,nikkei_phase,equity,pnl_day
2024-07-01,stable,2993161.825073242,-6838.1749267578125
2024-07-02,uptrend,3014295.1502685547,21133.3251953125
2024-07-03,uptrend,3007528.4998779297,-6766.650390625
2024-07-04,uptrend,2997128.4998779297,-10400.0
2024-07-05,uptrend,2987761.825073242,-9366.6748046875
2024-07-08,uptrend,3028561.825073242,40800.0
2024-07-09,uptrend,3038061.825073242,9500.0
2024-07-10,uptrend,3046395.1502685547,8333.3251953125
2024-07-11,uptrend,3047528.4998779297,1133.349609375
2024-07-12,normal,3034095.1502685547,-13433.349609375
2024-07-16,overheated_range,3027983.4998779297,-6111.650390625
2024-07-17,normal,3023000.1014404297,-4983.3984375
2024-07-18,high_vol,2971533.4510498047,-51466.650390625
2024-07-19,normal,2959033.4510498047,-12500.0
2024-07-22,high_vol,2935345.9510498047,-23687.5
2024-07-23,high_vol,2941245.9510498047,5900.0
2024-07-24,normal,2947745.9510498047,6500.0
2024-07-25,normal,2918445.9510498047,-29300.0
2024-07-26,normal,2889065.9510498047,-29380.0
2024-07-29,crash,2972182.4510498047,83116.5
2024-07-30,crash,2942444.4510498047,-29738.0
2024-07-31,high_vol,2958577.782348633,16133.331298828125
2024-08-01,crash,2949686.782348633,-8891.0
2024-08-02,crash,2938736.782348633,-10950.0
2024-08-05,crash,2938736.782348633,0.0
2024-08-06,crash,2938736.782348633,0.0
2024-08-07,crash,3045372.782348633,106636.0
2024-08-08,crash,3084856.782348633,39484.0
2024-08-09,crash,3018607.782348633,-66249.0
2024-08-13,capitulation_end,3068407.782348633,49800.0
2024-08-14,capitulation_end,2861407.782348633,-207000.0
2024-08-15,crash,3000907.782348633,139500.0
2024-08-16,high_vol,3324907.782348633,324000.0
2024-08-19,high_vol,3324907.782348633,0.0
2024-08-20,high_vol,3324907.782348633,0.0
2024-08-21,high_vol,3324907.782348633,0.0
2024-08-22,high_vol,3324907.782348633,0.0
2024-08-23,high_vol,3324907.782348633,0.0
2024-08-26,high_vol,3324907.782348633,0.0
2024-08-27,high_vol,3324907.782348633,0.0
2024-08-28,high_vol,3324907.782348633,0.0
2024-08-29,high_vol,3324907.782348633,0.0
2024-08-30,normal,3324907.782348633,0.0
2024-09-02,normal,3324907.782348633,0.0
2024-09-03,normal,3324907.782348633,0.0
2024-09-04,high_vol,3254952.782348633,-69955.0
2024-09-05,high_vol,3301702.782348633,46750.0
2024-09-06,crash,3197891.5341186523,-103811.24822998047
2024-09-09,crash,3168725.104675293,-29166.429443359375
2024-09-10,crash,3143925.104675293,-24800.0
2024-09-11,high_vol,3026050.104675293,-117875.0
2024-09-12,high_vol,3026050.104675293,0.0
2024-09-13,high_vol,3026050.104675293,0.0
2024-09-17,high_vol,3026050.104675293,0.0
2024-09-18,high_vol,3026050.104675293,0.0
2024-09-19,high_vol,3026050.104675293,0.0
2024-09-20,high_vol,3026050.104675293,0.0
2024-09-24,high_vol,3026050.104675293,0.0
2024-09-25,high_vol,3026050.104675293,0.0
2024-09-26,surge,3026050.104675293,0.0
2024-09-27,surge,3026050.104675293,0.0
2024-09-30,high_vol,2979872.604675293,-46177.5
