date,nikkei_phase,equity,pnl_day
2024-07-01,stable,2993161.825073242,-6838.1749267578125
2024-07-02,stable,3014295.1502685547,21133.3251953125
2024-07-03,uptrend,3007528.4998779297,-6766.650390625
2024-07-04,uptrend,2997128.4998779297,-10400.0
2024-07-05,uptrend,2987761.825073242,-9366.6748046875
2024-07-08,uptrend,3028561.825073242,40800.0
2024-07-09,uptrend,3038061.825073242,9500.0
2024-07-10,uptrend,3046395.1502685547,8333.3251953125
2024-07-11,uptrend,3047528.4998779297,1133.349609375
2024-07-12,uptrend,3034095.1502685547,-13433.349609375
2024-07-16,normal,3037428.4998779297,3333.349609375
2024-07-17,overheated_range,3021527.3006591797,-15901.19921875
2024-07-18,normal,2997760.6502685547,-23766.650390625
2024-07-19,high_vol,2956633.6502685547,-41127.0
2024-07-22,normal,2920400.3006591797,-36233.349609375
2024-07-23,high_vol,2908419.6502685547,-11980.650390625
2024-07-24,high_vol,2888819.6502685547,-19600.0
2024-07-25,normal,2846119.6502685547,-42700.0
2024-07-26,normal,2816739.6502685547,-29380.0
2024-07-29,normal,2881239.6502685547,64500.0
2024-07-30,crash,2877518.9856567383,-3720.6646118164062
2024-07-31,crash,2887205.65435791,9686.668701171875
2024-08-01,high_vol,2870705.65435791,-16500.0
2024-08-02,crash,2870705.65435791,0.0
2024-08-05,crash,2870705.65435791,0.0
2024-08-06,crash,2870705.65435791,0.0
2024-08-07,crash,2989684.65435791,118979.0
2024-08-08,crash,3036317.65435791,46633.0
2024-08-09,crash,3077717.65435791,41400.0
2024-08-13,crash,3072277.65435791,-5440.0
2024-08-14,capitulation_end,3099977.65435791,27700.0
2024-08-15,capitulation_end,3099977.65435791,0.0
2024-08-16,crash,3124321.15435791,24343.5
2024-08-19,high_vol,3149621.15435791,25300.0
2024-08-20,high_vol,3149621.15435791,0.0
2024-08-21,high_vol,3149621.15435791,0.0
2024-08-22,high_vol,3149621.15435791,0.0
2024-08-23,high_vol,3149621.15435791,0.0
2024-08-26,high_vol,3149621.15435791,0.0
2024-08-27,high_vol,3149621.15435791,0.0
2024-08-28,high_vol,3149621.15435791,0.0
2024-08-29,high_vol,3149621.15435791,0.0
2024-08-30,high_vol,3149621.15435791,0.0
2024-09-02,normal,3149621.15435791,0.0
2024-09-03,normal,3149621.15435791,0.0
2024-09-04,normal,3149621.15435791,0.0
2024-09-05,high_vol,3148081.15435791,-1540.0
2024-09-06,high_vol,2848081.15435791,-300000.0
2024-09-09,crash,2856746.8364257812,8665.682067871094
2024-09-10,crash,2866912.5506591797,10165.714233398438
2024-09-11,crash,2795287.5506591797,-71625.0
2024-09-12,high_vol,2816287.5506591797,21000.0
2024-09-13,high_vol,2816287.5506591797,0.0
2024-09-17,high_vol,2816287.5506591797,0.0
2024-09-18,high_vol,2816287.5506591797,0.0
2024-09-19,high_vol,2817757.55065918,1470.0000000004657
2024-09-20,high_vol,2803757.55065918,-14000.0
2024-09-24,high_vol,2880757.55065918,77000.0
2024-09-25,high_vol,2877257.55065918,-3500.0
2024-09-26,high_vol,2999757.55065918,122500.0
2024-09-27,surge,3034757.55065918,35000.0
2024-09-30,surge,3034757.55065918,0.0
