date,ticker,action,price,shares,reason,nikkei_phase
2025-10-15,2975.T,BUY,1125.635,100,q3_post_high_vol_entry,high_vol
2025-10-15,7235.T,BUY,1240.33,100,q3_post_high_vol_entry,high_vol
2025-10-15,3449.T,BUY,1614.8649999999998,100,q3_post_high_vol_entry,high_vol
2025-10-15,6488.T,BUY,939.8899999999999,200,q3_post_high_vol_entry,high_vol
2025-10-15,6091.T,BUY,842.4499999999999,200,q3_post_high_vol_entry,high_vol
2025-10-15,8550.T,BUY,476.0,500,q3_post_high_vol_entry,high_vol
2025-10-15,3277.T,BUY,1316.455,200,q3_post_high_vol_entry,high_vol
2025-10-15,1815.T,BUY,3471.2999999999997,100,q3_post_high_vol_entry,high_vol
2025-10-15,1847.T,BUY,3565.0,100,q3_post_high_vol_entry,high_vol
2025-10-15,3467.T,BUY,2219.0,400,q3_post_high_vol_entry,high_vol
2025-10-16,3467.T,SELL,2274.0,400,sell_signal,high_vol
2025-10-16,8393.T,BUY,4389.875,100,q3_post_high_vol_entry,high_vol
2025-10-16,8336.T,BUY,3963.575,100,q3_post_high_vol_entry,high_vol
2025-10-20,6091.T,SELL,844.0,200,sell_signal,high_vol
2025-10-20,1847.T,SELL,3680.0,100,sell_signal,high_vol
2025-10-22,2975.T,SELL,1189.0,100,sell_signal,surge
2025-10-22,7235.T,SELL,1256.0,100,sell_signal,surge
2025-10-22,3449.T,SELL,1677.0,100,sell_signal,surge
2025-10-22,6488.T,SELL,980.0,200,sell_signal,surge
2025-10-22,8550.T,SELL,507.0,500,sell_signal,surge
2025-10-22,3277.T,SELL,1372.0,200,sell_signal,surge
2025-10-22,1815.T,SELL,3665.0,100,sell_signal,surge
2025-10-22,8393.T,SELL,4540.0,100,sell_signal,surge
2025-10-22,8336.T,SELL,4025.0,100,sell_signal,surge
2025-10-23,7419.T,BUY,1324.5749999999998,100,q3_post_high_vol_entry,high_vol
2025-10-23,3277.T,BUY,1392.58,300,q3_post_high_vol_entry,high_vol
2025-10-23,8600.T,BUY,689.185,700,q3_post_high_vol_entry,high_vol
2025-10-27,8600.T,SELL,700.0,700,sell_signal,high_vol
2025-10-28,7419.T,SELL,1330.0,100,sell_signal,surge
2025-10-28,3277.T,SELL,1368.0,300,sell_signal,surge
2025-11-06,146A.T,BUY,3313.9749999999995,100,q3_post_high_vol_entry,high_vol
2025-11-06,3449.T,BUY,1755.0,200,q3_post_high_vol_entry,high_vol
2025-11-06,8600.T,BUY,702.3799999999999,600,q3_post_high_vol_entry,high_vol
2025-11-06,1815.T,BUY,3831.6249999999995,100,q3_post_high_vol_entry,high_vol
2025-11-06,8345.T,BUY,4065.075,100,q3_post_high_vol_entry,high_vol
2025-11-06,8393.T,BUY,4694.375,100,q3_post_high_vol_entry,high_vol
2025-11-07,8393.T,SELL,5100.0,100,take_profit,high_vol
2025-11-07,1980.T,BUY,2320.966749267578,100,q3_post_high_vol_entry,high_vol
2025-11-07,8336.T,BUY,4247.775,200,q3_post_high_vol_entry,high_vol
2025-11-10,8600.T,SELL,715.0,600,pre_earnings_exit,high_vol
2025-11-10,1980.T,SELL,2256.666748046875,100,sell_signal,high_vol
2025-11-10,8336.T,SELL,4400.0,200,sell_signal,high_vol
2025-11-10,2970.T,BUY,1186.5349999999999,400,q3_post_high_vol_entry,high_vol
2025-11-10,1736.T,BUY,2003.61,300,q3_post_high_vol_entry,high_vol
2025-11-11,146A.T,SELL,3440.0,100,pre_earnings_exit,high_vol
2025-11-11,3449.T,SELL,1751.0,200,pre_earnings_exit,high_vol
2025-11-11,2970.T,SELL,1104.0,400,stop_loss,high_vol
2025-11-11,1736.T,SELL,2094.0,300,sell_signal,high_vol
2025-11-12,1815.T,SELL,3845.0,100,pre_earnings_exit,high_vol
2025-11-12,1384.T,BUY,2931.0,100,q3_post_high_vol_entry,high_vol
2025-11-12,7242.T,BUY,4125.974999999999,600,q3_post_high_vol_entry,high_vol
2025-11-13,8345.T,SELL,4195.0,100,pre_earnings_exit,high_vol
2025-11-13,1384.T,SELL,2982.0,100,sell_signal,high_vol
2025-11-13,7242.T,SELL,4720.0,600,take_profit,high_vol
2025-11-13,1815.T,BUY,3953.4249999999997,900,q3_post_high_vol_entry,high_vol
2025-11-14,1815.T,SELL,3970.0,900,sell_signal,high_vol
2025-11-14,8393.T,BUY,5247.549999999999,100,q3_post_high_vol_entry,high_vol
2025-11-14,8345.T,BUY,4313.75,100,q3_post_high_vol_entry,high_vol
2025-11-17,8345.T,SELL,4620.0,100,sell_signal,high_vol
2025-11-17,1893.T,BUY,1566.1449999999998,300,q3_post_high_vol_entry,high_vol
2025-11-17,6743.T,BUY,735.8749999999999,1700,q3_post_high_vol_entry,high_vol
2025-11-18,8393.T,SELL,4980.0,100,stop_loss,normal
2025-11-20,1384.T,BUY,2973.0,100,q3_post_high_vol_entry,high_vol
2025-11-20,3449.T,BUY,1824.0,200,q3_post_high_vol_entry,high_vol
2025-11-20,7242.T,BUY,4410.0,100,q3_post_high_vol_entry,high_vol
2025-11-20,5105.T,BUY,4226.0,100,q3_post_high_vol_entry,high_vol
2025-11-27,1384.T,SELL,3245.0,100,take_profit,high_vol
2025-11-27,8600.T,BUY,745.0099999999999,400,q3_post_high_vol_entry,high_vol
2025-11-28,1893.T,SELL,1725.0,300,take_profit,high_vol
2025-11-28,2981.T,BUY,2888.0,100,q3_post_high_vol_entry,high_vol
2025-12-03,2981.T,SELL,2703.0,100,stop_loss,high_vol
