date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,2990535.674926758,-9464.325073242188
2025-07-02,uptrend,2957135.674926758,-33400.0
2025-07-03,settling,2924429.0001220703,-32706.6748046875
2025-07-04,settling,2961712.0001220703,37283.0
2025-07-07,settling,2956378.674926758,-5333.3251953125
2025-07-08,settling,2968145.3497314453,11766.6748046875
2025-07-09,uptrend,3022045.3497314453,53900.0
2025-07-10,uptrend,2988612.0001220703,-33433.349609375
2025-07-11,uptrend,3003145.3497314453,14533.349609375
2025-07-14,uptrend,3011370.3497314453,8225.0
2025-07-15,stable,2988570.3497314453,-22800.0
2025-07-16,stable,2980170.3497314453,-8400.0
2025-07-17,stable,3002270.3497314453,22100.0
2025-07-18,uptrend,2954470.3497314453,-47800.0
2025-07-22,uptrend,2989770.3497314453,35300.0
2025-07-23,uptrend,3005035.3497314453,15265.0
2025-07-24,uptrend,2966335.3497314453,-38700.0
2025-07-25,normal,2981395.3497314453,15060.0
2025-07-28,normal,3069795.349731446,88400.00000000047
2025-07-29,normal,3004095.349731446,-65700.0
2025-07-30,normal,3047419.8497314462,43324.500000000466
2025-07-31,normal,3071596.1993408212,24176.349609375
2025-08-01,normal,3080546.3497314462,8950.150390625
2025-08-04,normal,3082946.3497314462,2400.0
2025-08-05,normal,3081946.3497314462,-1000.0
2025-08-06,normal,3149994.3497314462,68048.0
2025-08-07,settling,3170338.0997314462,20343.75
2025-08-08,settling,3178060.0874023447,7721.9876708984375
2025-08-12,settling,3188992.599609376,10932.51220703125
2025-08-13,settling,3175255.9248046884,-13736.6748046875
2025-08-14,uptrend,3170122.599609376,-5133.3251953125
2025-08-15,normal,3223189.262207032,53066.66259765625
2025-08-18,overheated_range,3256334.262207032,33145.0
2025-08-19,overheated_range,3292793.9248046884,36459.66259765625
2025-08-20,settling,3312643.599609376,19849.6748046875
2025-08-21,normal,3322110.262207032,9466.66259765625
2025-08-22,normal,3381910.262207032,59800.0
2025-08-25,normal,3363949.4248046884,-17960.83740234375
2025-08-26,normal,3399116.099609376,35166.6748046875
2025-08-27,settling,3427882.762207032,28766.66259765625
2025-08-28,settling,3522916.099609376,95033.33740234375
2025-08-29,settling,3557716.099609376,34800.0
2025-09-01,settling,3550116.099609376,-7600.0
2025-09-02,settling,3570316.099609376,20200.0
2025-09-03,uptrend,3564116.099609376,-6200.0
2025-09-04,uptrend,3590549.4248046884,26433.3251953125
2025-09-05,uptrend,3553816.099609376,-36733.3251953125
2025-09-08,uptrend,3585623.4248046884,31807.3251953125
2025-09-09,uptrend,3570390.099609376,-15233.3251953125
2025-09-10,stable,3631790.099609376,61400.0
2025-09-11,normal,3612023.4248046884,-19766.6748046875
2025-09-12,uptrend,3649323.4248046884,37300.0
2025-09-16,uptrend,3617323.4248046884,-32000.0
2025-09-17,stable,3539623.4248046884,-77700.0
2025-09-18,stable,3579823.4248046884,40200.0
2025-09-19,uptrend,3533723.4248046884,-46100.0
2025-09-22,uptrend,3608023.4248046884,74300.0
2025-09-24,uptrend,3471723.4248046884,-136300.0
2025-09-25,uptrend,3381115.924804689,-90607.49999999953
2025-09-26,uptrend,3407915.924804689,26800.0
2025-09-29,uptrend,3408015.924804689,100.0
2025-09-30,uptrend,3389265.087402345,-18750.83740234375
