date,ticker,action,price,shares,reason,nikkei_phase
2025-07-01,1938.T,BUY,1869.6299999999999,100,condition2_entry,uptrend
2025-07-01,6644.T,BUY,973.3849999999999,200,condition2_entry,uptrend
2025-07-01,1980.T,BUY,1503.8916253662107,200,condition2_entry,uptrend
2025-07-01,5576.T,BUY,2929.0,100,condition2_entry,uptrend
2025-07-01,2981.T,BUY,1710.2749999999999,200,condition2_entry,uptrend
2025-07-01,9409.T,BUY,2835.91,100,condition2_entry,uptrend
2025-07-02,7097.T,BUY,2754.0,200,condition2_entry,uptrend
2025-07-03,2981.T,SELL,1664.0,200,sell_signal,settling
2025-07-03,9409.T,SELL,2671.0,100,stop_loss,settling
2025-07-03,6040.T,BUY,533.0,100,q3_post_high_vol_entry,settling
2025-07-03,9768.T,BUY,3136.35,400,q3_post_high_vol_entry,settling
2025-07-04,7097.T,SELL,2610.0,200,stop_loss,settling
2025-07-04,1997.T,BUY,2881.5849999999996,200,q3_post_high_vol_entry,settling
2025-07-07,1997.T,SELL,3010.0,200,sell_signal,settling
2025-07-09,6040.T,SELL,543.0,100,sell_signal,uptrend
2025-07-11,1980.T,SELL,1443.3333740234375,200,sell_signal,uptrend
2025-07-11,5576.T,SELL,2922.0,100,sell_signal,uptrend
2025-07-14,1997.T,BUY,2867.3749999999995,200,condition2_entry,uptrend
2025-07-23,5576.T,BUY,3136.35,100,condition2_entry,uptrend
2025-07-24,5576.T,SELL,2874.0,100,stop_loss,uptrend
2025-07-25,6644.T,SELL,1059.0,200,take_profit,normal
2025-07-25,1723.T,BUY,4831.4,100,condition2_entry,normal
2025-07-28,1723.T,SELL,4810.0,100,sell_signal,normal
2025-07-28,3184.T,BUY,4059.9999999999995,200,condition2_entry,normal
2025-07-29,3184.T,SELL,4160.0,200,sell_signal,normal
2025-07-30,9768.T,SELL,3240.0,400,sell_signal,normal
2025-07-30,1934.T,BUY,2449.1949999999997,900,condition2_entry,normal
2025-07-31,1934.T,SELL,2476.0,900,sell_signal,normal
2025-07-31,7419.T,BUY,1121.6666259765625,400,condition2_entry,normal
2025-07-31,4709.T,BUY,2455.285,200,condition2_entry,normal
2025-08-01,1938.T,SELL,2029.0,100,take_profit,normal
2025-08-01,7419.T,SELL,1196.6666259765625,400,sell_signal,normal
2025-08-01,4709.T,SELL,2505.0,200,sell_signal,normal
2025-08-01,1967.T,BUY,1846.2849999999999,400,condition2_entry,normal
2025-08-01,1808.T,BUY,2278.6749999999997,300,condition2_entry,normal
2025-08-04,1967.T,SELL,1875.0,400,sell_signal,normal
2025-08-05,6644.T,BUY,1056.0,800,condition2_entry,normal
2025-08-06,1808.T,SELL,2291.5,300,pre_earnings_exit,normal
2025-08-06,6644.T,SELL,1114.0,800,sell_signal,normal
2025-08-06,1975.T,BUY,2819.6699999999996,100,condition2_entry,normal
2025-08-06,1909.T,BUY,5217.099999999999,100,condition2_entry,normal
2025-08-06,9409.T,BUY,3019.6249999999995,200,condition2_entry,normal
2025-08-07,1975.T,SELL,3010.0,100,sell_signal,settling
2025-08-07,1909.T,SELL,5240.0,100,pre_earnings_exit,settling
2025-08-07,9409.T,SELL,2939.0,200,sell_signal,settling
2025-08-07,7097.T,BUY,2567.95,100,q3_post_high_vol_entry,settling
2025-08-07,7914.T,BUY,1465.6599999999999,100,q3_post_high_vol_entry,settling
2025-08-07,4681.T,BUY,1974.6825,100,q3_post_high_vol_entry,settling
2025-08-07,6540.T,BUY,1866.5849999999998,200,q3_post_high_vol_entry,settling
2025-08-07,9068.T,BUY,7450.099999999999,100,q3_post_high_vol_entry,settling
2025-08-08,7914.T,SELL,1499.0,100,sell_signal,settling
2025-08-08,6540.T,SELL,1874.0,200,pre_earnings_exit,settling
2025-08-08,9068.T,SELL,7530.0,100,pre_earnings_exit,settling
2025-08-08,1810.T,BUY,1415.0,100,q3_post_high_vol_entry,settling
2025-08-08,7419.T,BUY,1145.258374633789,100,q3_post_high_vol_entry,settling
2025-08-08,1980.T,BUY,1718.7333746337888,100,q3_post_high_vol_entry,settling
2025-08-08,4619.T,BUY,2128.455,100,q3_post_high_vol_entry,settling
2025-08-08,1926.T,BUY,3308.8999999999996,100,q3_post_high_vol_entry,settling
2025-08-08,6554.T,BUY,1187.55,400,q3_post_high_vol_entry,settling
2025-08-08,8850.T,BUY,4932.9,100,q3_post_high_vol_entry,settling
2025-08-12,4681.T,SELL,1985.0,100,pre_earnings_exit,settling
2025-08-12,1810.T,SELL,1473.0,100,sell_signal,settling
2025-08-12,1980.T,SELL,1893.3333740234373,100,take_profit,settling
2025-08-12,4619.T,SELL,2093.0,100,sell_signal,settling
2025-08-12,1926.T,SELL,3215.0,100,sell_signal,settling
2025-08-12,6554.T,SELL,1119.0,400,stop_loss,settling
2025-08-12,8850.T,SELL,4895.0,100,sell_signal,settling
2025-08-12,2981.T,BUY,1999.0,100,q3_post_high_vol_entry,settling
2025-08-12,4718.T,BUY,2743.5449999999996,100,q3_post_high_vol_entry,settling
2025-08-12,6540.T,BUY,1910.0,100,q3_post_high_vol_entry,settling
2025-08-12,3683.T,BUY,1333.7099999999998,300,q3_post_high_vol_entry,settling
2025-08-13,2981.T,SELL,2285.0,100,take_profit,settling
