date,nikkei_phase,equity,pnl_day
2024-07-01,stable,2993161.825073242,-6838.1749267578125
2024-07-02,stable,3014295.1502685547,21133.3251953125
2024-07-03,uptrend,3007528.4998779297,-6766.650390625
2024-07-04,uptrend,2997128.4998779297,-10400.0
2024-07-05,uptrend,2987761.825073242,-9366.6748046875
2024-07-08,uptrend,3047999.325073242,60237.5
2024-07-09,uptrend,3028399.325073242,-19600.0
2024-07-10,uptrend,3051632.6502685547,23233.3251953125
2024-07-11,uptrend,3078015.9998779297,26383.349609375
2024-07-12,uptrend,3099832.6502685547,21816.650390625
2024-07-16,normal,3129202.2498779297,29369.599609375
2024-07-17,overheated_range,3128719.4002685547,-482.849609375
2024-07-18,normal,3126502.7498779297,-2216.650390625
2024-07-19,normal,3112252.7498779297,-14250.0
2024-07-22,normal,3094219.4002685547,-18033.349609375
2024-07-23,normal,3101245.4875793457,7026.087310791016
2024-07-24,normal,3068195.4875793457,-33050.0
2024-07-25,normal,3024045.4875793457,-44150.0
2024-07-26,normal,3005535.4875793457,-18510.0
2024-07-29,normal,3044635.4875793457,39100.0
2024-07-30,crash,3036844.4875793457,-7791.0
2024-07-31,crash,3054046.4875793457,17202.0
2024-08-01,downtrend,3038046.4875793457,-16000.0
2024-08-02,crash,3038046.4875793457,0.0
2024-08-05,crash,3038046.4875793457,0.0
2024-08-06,crash,3137646.4875793457,99600.0
2024-08-07,crash,3096846.4875793457,-40800.0
2024-08-08,crash,3037206.4875793457,-59640.0
2024-08-09,crash,3037206.4875793457,0.0
2024-08-13,crash,3037206.4875793457,0.0
2024-08-14,capitulation_end,3020541.487579346,-16664.999999999534
2024-08-15,capitulation_end,2943541.487579346,-77000.0
2024-08-16,crash,2963341.487579346,19800.0
2024-08-19,downtrend,2939141.487579346,-24200.0
2024-08-20,downtrend,2939141.487579346,0.0
2024-08-21,downtrend,2939141.487579346,0.0
2024-08-22,downtrend,2939141.487579346,0.0
2024-08-23,downtrend,2939141.487579346,0.0
2024-08-26,downtrend,2939141.487579346,0.0
2024-08-27,downtrend,2939141.487579346,0.0
2024-08-28,downtrend,2939141.487579346,0.0
2024-08-29,downtrend,2939141.487579346,0.0
2024-08-30,normal,3013711.987579346,74570.5
2024-09-02,normal,2992211.987579346,-21500.0
2024-09-03,normal,3028511.987579346,36300.0
2024-09-04,normal,2927811.987579346,-100700.0
2024-09-05,normal,2938611.987579346,10800.0
2024-09-06,normal,2937411.987579346,-1200.0
2024-09-09,crash,2899630.487579346,-37781.5
2024-09-10,crash,2913108.487579346,13478.0
2024-09-11,crash,2810907.487579346,-102201.0
2024-09-12,downtrend,2852707.487579346,41800.0
2024-09-13,downtrend,2852707.487579346,0.0
2024-09-17,downtrend,2852707.487579346,0.0
2024-09-18,downtrend,2852707.487579346,0.0
2024-09-19,downtrend,2852707.487579346,0.0
2024-09-20,downtrend,2852707.487579346,0.0
2024-09-24,downtrend,2852707.487579346,0.0
2024-09-25,downtrend,2852707.487579346,0.0
2024-09-26,downtrend,2852707.487579346,0.0
2024-09-27,surge,2852707.487579346,0.0
2024-09-30,surge,2852707.487579346,0.0
