date,ticker,action,price,shares,reason,nikkei_phase
2025-07-01,1938.T,BUY,1869.6299999999999,100,condition2_entry,uptrend
2025-07-01,6644.T,BUY,973.3849999999999,200,condition2_entry,uptrend
2025-07-01,1980.T,BUY,1503.8916253662107,200,condition2_entry,uptrend
2025-07-01,5576.T,BUY,2929.0,100,condition2_entry,uptrend
2025-07-01,2981.T,BUY,1710.2749999999999,200,condition2_entry,uptrend
2025-07-01,9409.T,BUY,2835.91,100,condition2_entry,uptrend
2025-07-02,7097.T,BUY,2754.0,200,condition2_entry,uptrend
2025-07-03,2981.T,SELL,1664.0,200,sell_signal,settling
2025-07-03,9409.T,SELL,2671.0,100,stop_loss,settling
2025-07-03,6040.T,BUY,533.0,100,q3_post_high_vol_entry,settling
2025-07-03,9768.T,BUY,3136.35,400,q3_post_high_vol_entry,settling
2025-07-04,7097.T,SELL,2610.0,200,stop_loss,settling
2025-07-04,1997.T,BUY,2881.5849999999996,200,q3_post_high_vol_entry,settling
2025-07-07,1997.T,SELL,3010.0,200,sell_signal,settling
2025-07-09,6040.T,SELL,543.0,100,sell_signal,uptrend
2025-07-10,4914.T,BUY,1455.5099999999998,500,condition2_entry,uptrend
2025-07-11,1980.T,SELL,1443.3333740234375,200,sell_signal,uptrend
2025-07-11,5576.T,SELL,2922.0,100,sell_signal,uptrend
2025-07-11,7322.T,BUY,3232.7749999999996,100,condition2_entry,uptrend
2025-07-15,8600.T,BUY,614.0749999999999,200,breakout_1p5_entry,stable
2025-07-24,4914.T,SELL,1438.0,500,sell_signal,uptrend
2025-07-25,6644.T,SELL,1059.0,200,take_profit,normal
2025-07-25,1723.T,BUY,4831.4,100,condition2_entry,normal
2025-07-28,1723.T,SELL,4810.0,100,sell_signal,normal
2025-07-29,6822.T,BUY,3247.9999999999995,300,condition2_entry,normal
2025-07-30,9768.T,SELL,3240.0,400,sell_signal,normal
2025-07-30,6822.T,SELL,3530.0,300,take_profit,normal
2025-07-30,4491.T,BUY,2767.9049999999997,100,condition2_entry,normal
2025-07-30,1934.T,BUY,2449.1949999999997,100,condition2_entry,normal
2025-07-30,9034.T,BUY,1446.3749999999998,400,condition2_entry,normal
2025-07-30,5105.T,BUY,3206.3849999999998,200,condition2_entry,normal
2025-07-30,1867.T,BUY,2161.95,300,condition2_entry,normal
2025-07-31,1934.T,SELL,2476.0,100,sell_signal,normal
2025-07-31,7792.T,BUY,1452.465,200,condition2_entry,normal
2025-08-01,1938.T,SELL,2029.0,100,take_profit,normal
2025-08-01,4491.T,SELL,2872.0,100,sell_signal,normal
2025-08-01,1967.T,BUY,1846.2849999999999,100,condition2_entry,normal
2025-08-04,1967.T,SELL,1875.0,100,sell_signal,normal
2025-08-05,4635.T,BUY,943.9499999999999,100,condition2_entry,normal
2025-08-05,6644.T,BUY,1056.0,200,condition2_entry,normal
2025-08-06,9034.T,SELL,1455.0,400,pre_earnings_exit,normal
2025-08-06,1867.T,SELL,2209.0,300,pre_earnings_exit,normal
2025-08-06,4635.T,SELL,1180.0,100,take_profit,normal
2025-08-06,6644.T,SELL,1114.0,200,sell_signal,normal
2025-08-06,2533.T,BUY,603.925,100,condition2_entry,normal
2025-08-06,3245.T,BUY,1336.7549999999999,100,condition2_entry,normal
2025-08-06,3355.T,BUY,1590.5049999999999,100,condition2_entry,normal
2025-08-06,3612.T,BUY,1422.5224999999998,200,condition2_entry,normal
2025-08-06,1847.T,BUY,3344.4249999999997,100,condition2_entry,normal
2025-08-06,7849.T,BUY,4501.525,100,condition2_entry,normal
2025-08-07,7322.T,SELL,3390.0,100,pre_earnings_exit,settling
2025-08-07,8600.T,SELL,611.0,200,pre_earnings_exit,settling
2025-08-07,7792.T,SELL,1486.0,200,pre_earnings_exit,settling
2025-08-07,3245.T,SELL,1346.0,100,pre_earnings_exit,settling
2025-08-07,3355.T,SELL,1595.0,100,pre_earnings_exit,settling
2025-08-07,1847.T,SELL,3395.0,100,pre_earnings_exit,settling
2025-08-07,4441.T,BUY,1168.2649999999999,100,q3_post_high_vol_entry,settling
2025-08-07,7971.T,BUY,581.5949999999999,400,q3_post_high_vol_entry,settling
2025-08-07,9037.T,BUY,1532.6499999999999,100,q3_post_high_vol_entry,settling
2025-08-07,7049.T,BUY,910.4549999999999,1300,q3_post_high_vol_entry,settling
2025-08-08,5105.T,SELL,3523.0,200,take_profit,settling
2025-08-08,7792.T,BUY,1521.0,100,q3_post_high_vol_entry,settling
2025-08-08,8135.T,BUY,452.68999999999994,1400,q3_post_high_vol_entry,settling
2025-08-12,7849.T,SELL,4225.0,100,stop_loss,settling
2025-08-12,7792.T,SELL,1524.0,100,sell_signal,settling
2025-08-12,8135.T,SELL,444.0,1400,sell_signal,settling
2025-08-12,1844.T,BUY,620.0,100,q3_post_high_vol_entry,settling
2025-08-12,3683.T,BUY,1333.7099999999998,100,q3_post_high_vol_entry,settling
2025-08-12,5363.T,BUY,593.775,200,q3_post_high_vol_entry,settling
2025-08-13,1844.T,SELL,688.0,100,take_profit,settling
2025-08-13,3683.T,SELL,1452.0,100,take_profit,settling
2025-08-13,5363.T,SELL,543.0,200,stop_loss,settling
2025-08-13,4681.T,BUY,2024.9249999999997,100,q3_post_high_vol_entry,settling
