date,ticker,action,price,shares,reason,nikkei_phase
2020-04-22,5273.T,BUY,4496.45,100,q3_post_high_vol_entry,high_vol
2020-04-27,5273.T,SELL,4895.0,100,take_profit,high_vol
2020-05-15,2413.T,BUY,3699.6749999999997,100,q3_post_high_vol_entry,high_vol
2020-05-18,2413.T,SELL,4155.0,100,take_profit,high_vol
2020-05-25,2413.T,BUY,4180.0,100,q3_post_high_vol_entry,settling
2020-05-25,2036.T,BUY,16493.75,100,q3_post_high_vol_entry,settling
2020-05-26,2036.T,SELL,16370.0,100,sell_signal,normal
2020-05-27,2413.T,SELL,4090.0,100,sell_signal,surge
2020-05-28,2413.T,BUY,4151.349999999999,100,condition2_entry,normal
2020-06-03,2413.T,SELL,4470.0,100,sell_signal,normal
2020-06-04,2413.T,BUY,4560.0,100,condition2_entry,normal
2020-06-09,2413.T,SELL,4330.0,100,stop_loss,uptrend
2020-06-16,3038.T,BUY,3085.0,100,q2_defensive_entry,crash
2020-06-16,6254.T,BUY,461.0,1000,q2_defensive_entry,crash
2020-06-16,3981.T,BUY,1732.0,200,q2_defensive_entry,crash
2020-06-16,3804.T,BUY,1428.0,300,q2_defensive_entry,crash
2020-06-16,3750.T,BUY,1550.35,300,q2_defensive_entry,crash
2020-06-16,7038.T,BUY,1520.0,300,q2_defensive_entry,crash
2020-06-16,4187.T,BUY,1965.0,200,q2_defensive_entry,crash
2020-06-16,6323.T,BUY,515.0,400,q2_defensive_entry,crash
2020-06-17,3038.T,SELL,3035.0,100,sell_signal,surge
2020-06-17,6254.T,SELL,471.25,1000,sell_signal,surge
2020-06-17,3981.T,SELL,1796.0,200,sell_signal,surge
2020-06-17,3804.T,SELL,1359.0,300,stop_loss,surge
2020-06-17,3750.T,SELL,1582.0,300,sell_signal,surge
2020-06-17,7038.T,SELL,1475.5,300,sell_signal,surge
2020-06-17,4187.T,SELL,1966.0,200,sell_signal,surge
2020-06-17,6323.T,SELL,547.0,400,take_profit,surge
2020-06-30,2413.T,BUY,4640.0,100,q3_post_high_vol_entry,high_vol
2020-06-30,8194.T,BUY,1730.5749999999998,200,q3_post_high_vol_entry,high_vol
2020-06-30,6279.T,BUY,1195.1625,400,q3_post_high_vol_entry,high_vol
2020-06-30,2413.T,SELL,4585.0,100,end_of_backtest,high_vol
2020-06-30,8194.T,SELL,1725.0,200,end_of_backtest,high_vol
2020-06-30,6279.T,SELL,1247.5,400,end_of_backtest,high_vol
