date,nikkei_phase,equity,pnl_day
2024-07-01,stable,4998604.650146484,-1395.349853515625
2024-07-02,stable,5025171.300537109,26566.650390625
2024-07-03,uptrend,5017537.999755859,-7633.30078125
2024-07-04,uptrend,5015937.999755859,-1600.0
2024-07-05,uptrend,5002504.650146484,-13433.349609375
2024-07-08,uptrend,5010004.650146484,7500.0
2024-07-09,uptrend,5032304.650146484,22300.0
2024-07-10,uptrend,5064371.300537109,32066.650390625
2024-07-11,uptrend,5070937.999755859,6566.69921875
2024-07-12,uptrend,5062471.300537109,-8466.69921875
2024-07-16,normal,5052448.824951172,-10022.4755859375
2024-07-17,overheated_range,5044969.725341797,-7479.099609375
2024-07-18,normal,5037303.074951172,-7666.650390625
2024-07-19,normal,4993903.074951172,-43400.0
2024-07-22,normal,4938636.375732422,-55266.69921875
2024-07-23,normal,4971469.749755859,32833.3740234375
2024-07-24,normal,4908669.749755859,-62800.0
2024-07-25,normal,4847769.749755859,-60900.0
2024-07-26,normal,4828909.749755859,-18860.0
2024-07-29,normal,4857409.749755859,28500.0
2024-07-30,crash,4837604.585144043,-19805.164611816406
2024-07-31,crash,4849115.60345459,11511.018310546875
2024-08-01,downtrend,4763615.60345459,-85500.0
2024-08-02,crash,4722615.60345459,-41000.0
2024-08-05,crash,4696035.60345459,-26580.0
2024-08-06,crash,4696035.60345459,0.0
2024-08-07,crash,4802055.60345459,106020.0
2024-08-08,crash,4810929.60345459,8874.0
2024-08-09,crash,4819929.60345459,9000.0
2024-08-13,crash,4811414.60345459,-8515.0
2024-08-14,capitulation_end,4826014.60345459,14600.0
2024-08-15,capitulation_end,4826014.60345459,0.0
2024-08-16,crash,4879605.60345459,53591.0
2024-08-19,downtrend,4906505.60345459,26900.0
2024-08-20,downtrend,4906505.60345459,0.0
2024-08-21,downtrend,4906505.60345459,0.0
2024-08-22,downtrend,4906505.60345459,0.0
2024-08-23,downtrend,4906505.60345459,0.0
2024-08-26,downtrend,4906505.60345459,0.0
2024-08-27,downtrend,4906505.60345459,0.0
2024-08-28,downtrend,4906505.60345459,0.0
2024-08-29,downtrend,4906505.60345459,0.0
2024-08-30,normal,4929657.10345459,23151.5
2024-09-02,normal,4915557.10345459,-14100.0
2024-09-03,normal,4946857.10345459,31300.0
2024-09-04,normal,4888757.10345459,-58100.0
2024-09-05,normal,4888357.10345459,-400.0
2024-09-06,normal,4887157.10345459,-1200.0
2024-09-09,crash,4883389.263793945,-3767.8396606445312
2024-09-10,crash,4917617.8349609375,34228.57116699219
2024-09-11,crash,4785601.8349609375,-132016.0
2024-09-12,downtrend,4829801.8349609375,44200.0
2024-09-13,downtrend,4829801.8349609375,0.0
2024-09-17,downtrend,4829801.8349609375,0.0
2024-09-18,downtrend,4829801.8349609375,0.0
2024-09-19,downtrend,4829801.8349609375,0.0
2024-09-20,downtrend,4829801.8349609375,0.0
2024-09-24,downtrend,4829801.8349609375,0.0
2024-09-25,downtrend,4829801.8349609375,0.0
2024-09-26,downtrend,4829801.8349609375,0.0
2024-09-27,surge,4829801.8349609375,0.0
2024-09-30,surge,4829801.8349609375,0.0
