date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,5015688.861999512,15688.861999511719
2025-07-02,uptrend,4985255.512390137,-30433.349609375
2025-07-03,settling,4889932.0997924805,-95323.41259765625
2025-07-04,settling,4928973.5997924805,39041.5
2025-07-07,settling,4937090.262390137,8116.66259765625
2025-07-08,settling,4964256.924987793,27166.66259765625
2025-07-09,uptrend,5063840.274597168,99583.349609375
2025-07-10,uptrend,5058490.2501831055,-5350.0244140625
2025-07-11,uptrend,5066540.274597168,8050.0244140625
2025-07-14,uptrend,5106952.774597168,40412.5
2025-07-15,stable,5071918.774597168,-35034.0
2025-07-16,stable,5093368.774597168,21450.0
2025-07-17,stable,5106118.774597168,12750.0
2025-07-18,uptrend,5109768.774597168,3650.0
2025-07-22,uptrend,5129268.774597168,19500.0
2025-07-23,uptrend,5130418.774597168,1150.0
2025-07-24,uptrend,5103918.774597168,-26500.0
2025-07-25,normal,5147978.774597168,44060.0
2025-07-28,normal,5149078.774597168,1100.0
2025-07-29,normal,5139228.774597168,-9850.0
2025-07-30,normal,5177635.274597168,38406.5
2025-07-31,normal,5256661.624206543,79026.349609375
2025-08-01,normal,5317621.274597168,60959.650390625
2025-08-04,normal,5322073.774597168,4452.5
2025-08-05,normal,5403750.274597168,81676.5
2025-08-06,normal,5516398.274597168,112648.0
2025-08-07,settling,5541875.274597168,25477.0
2025-08-08,settling,5658981.9002075195,117106.62561035156
2025-08-12,settling,5602080.774230957,-56901.1259765625
2025-08-13,settling,5583379.075012207,-18701.69921875
2025-08-14,uptrend,5538147.774230957,-45231.30078125
2025-08-15,normal,5665413.424621582,127265.650390625
2025-08-18,overheated_range,5783809.424621582,118396.0
2025-08-19,overheated_range,5765852.075012207,-17957.349609375
2025-08-20,settling,5739753.274230957,-26098.80078125
2025-08-21,normal,5789112.424621582,49359.150390625
2025-08-22,normal,5866365.424621582,77253.0
2025-08-25,normal,5879782.075012207,13416.650390625
2025-08-26,normal,5848998.774230957,-30783.30078125
2025-08-27,settling,5848940.924621583,-57.84960937406868
2025-08-28,settling,5918916.774230958,69975.849609375
2025-08-29,settling,5871466.774230958,-47450.0
2025-09-01,settling,5904866.774230958,33400.0
2025-09-02,settling,5964966.774230958,60100.0
2025-09-03,uptrend,5956816.774230957,-8150.000000000931
2025-09-04,uptrend,5996657.575012207,39840.80078125
2025-09-05,uptrend,6019843.274230958,23185.69921875093
2025-09-08,uptrend,6065325.575012208,45482.30078125
2025-09-09,uptrend,6056492.274230958,-8833.30078125
2025-09-10,stable,6098716.274230958,42224.0
2025-09-11,normal,6111171.075012208,12454.80078125
2025-09-12,uptrend,6130221.075012208,19050.0
2025-09-16,uptrend,6201071.075012207,70849.99999999907
2025-09-17,stable,6131391.075012207,-69680.0
2025-09-18,stable,6102970.075012207,-28421.0
2025-09-19,uptrend,6131286.075012208,28316.00000000093
2025-09-22,uptrend,6140286.075012208,9000.0
2025-09-24,uptrend,6134384.075012208,-5902.0
2025-09-25,uptrend,6132884.075012208,-1500.0
2025-09-26,uptrend,6201289.075012208,68405.0
2025-09-29,uptrend,6150789.075012207,-50500.00000000093
2025-09-30,uptrend,6096585.388122559,-54203.68688964844
