date,ticker,action,price,shares,reason,nikkei_phase
2025-10-15,1909.T,BUY,8089.549999999999,100,q3_post_high_vol_entry,high_vol
2025-10-15,2970.T,BUY,1137.8149999999998,1900,q3_post_high_vol_entry,high_vol
2025-10-16,1909.T,SELL,8170.0,100,sell_signal,high_vol
2025-10-16,2970.T,SELL,1209.0,1900,take_profit,high_vol
2025-10-16,1384.T,BUY,2504.0049999999997,400,q3_post_high_vol_entry,high_vol
2025-10-16,5602.T,BUY,1860.495,500,q3_post_high_vol_entry,high_vol
2025-10-22,1384.T,SELL,2705.0,400,take_profit,surge
2025-10-22,5602.T,SELL,1848.0,500,sell_signal,surge
2025-11-06,1814.T,BUY,3516.9749999999995,400,q3_post_high_vol_entry,high_vol
2025-11-07,1814.T,SELL,3765.0,400,take_profit,high_vol
2025-11-07,1980.T,BUY,2320.966749267578,1400,q3_post_high_vol_entry,high_vol
2025-11-10,1980.T,SELL,2256.666748046875,1400,sell_signal,high_vol
2025-11-10,2970.T,BUY,1186.5349999999999,2700,q3_post_high_vol_entry,high_vol
2025-11-11,2970.T,SELL,1104.0,2700,stop_loss,high_vol
2025-11-13,6994.T,BUY,810.0,3700,q3_post_high_vol_entry,high_vol
2025-11-14,6994.T,SELL,812.0,3700,sell_signal,high_vol
2025-11-14,6493.T,BUY,651.6299999999999,4600,q3_post_high_vol_entry,high_vol
2025-11-27,6493.T,SELL,703.0,4600,take_profit,normal
2025-11-28,9823.T,BUY,1517.425,2100,condition2_entry,normal
2025-12-01,9823.T,SELL,1474.0,2100,sell_signal,normal
2025-12-01,9906.T,BUY,4014.325,100,condition2_entry,normal
2025-12-01,8336.T,BUY,4740.049999999999,200,condition2_entry,normal
2025-12-15,9906.T,SELL,3890.0,100,sell_signal,normal
2025-12-15,8336.T,SELL,4745.0,200,sell_signal,normal
2025-12-15,1893.T,BUY,1595.0724999999998,200,condition2_entry,normal
2025-12-15,3020.T,BUY,4690.0,200,condition2_entry,normal
2025-12-15,3236.T,BUY,296.38,3100,condition2_entry,normal
2025-12-15,8065.T,BUY,2254.3149999999996,400,condition2_entry,normal
2025-12-17,1893.T,SELL,1515.0,200,stop_loss,normal
2025-12-18,3236.T,SELL,325.0,3100,take_profit,normal
2025-12-22,3040.T,BUY,2101.0,200,condition2_entry,normal
2025-12-22,6357.T,BUY,2560.845,300,condition2_entry,normal
2025-12-23,3020.T,SELL,4430.0,200,stop_loss,normal
2025-12-26,6357.T,SELL,2438.0,300,sell_signal,normal
2025-12-29,8065.T,SELL,2243.0,400,pre_earnings_exit,normal
2025-12-29,3040.T,SELL,2099.0,200,pre_earnings_exit,normal
2025-12-30,8399.T,BUY,1850.3449999999998,100,condition2_entry,normal
2025-12-30,8388.T,BUY,4466.0,100,condition2_entry,normal
2025-12-30,8399.T,SELL,1850.0,100,end_of_backtest,normal
2025-12-30,8388.T,SELL,4385.0,100,end_of_backtest,normal
