date,nikkei_phase,equity,pnl_day
2024-07-01,stable,2993161.825073242,-6838.1749267578125
2024-07-02,stable,3014295.1502685547,21133.3251953125
2024-07-03,uptrend,3007528.4998779297,-6766.650390625
2024-07-04,uptrend,2997128.4998779297,-10400.0
2024-07-05,uptrend,2987761.825073242,-9366.6748046875
2024-07-08,uptrend,3028561.825073242,40800.0
2024-07-09,uptrend,3038061.825073242,9500.0
2024-07-10,uptrend,3046395.1502685547,8333.3251953125
2024-07-11,uptrend,3047528.4998779297,1133.349609375
2024-07-12,uptrend,3034095.1502685547,-13433.349609375
2024-07-16,normal,3033064.7498779297,-1030.400390625
2024-07-17,overheated_range,3032889.4002685547,-175.349609375
2024-07-18,normal,3024472.7498779297,-8416.650390625
2024-07-19,normal,3003122.7498779297,-21350.0
2024-07-22,normal,2987289.4002685547,-15833.349609375
2024-07-23,normal,2997922.7498779297,10633.349609375
2024-07-24,normal,2966922.7498779297,-31000.0
2024-07-25,normal,2928522.7498779297,-38400.0
2024-07-26,normal,2904802.7498779297,-23720.0
2024-07-29,normal,2947802.7498779297,43000.0
2024-07-30,crash,2947802.7498779297,0.0
2024-07-31,crash,2947802.7498779297,0.0
2024-08-01,downtrend,2947802.7498779297,0.0
2024-08-02,crash,2947802.7498779297,0.0
2024-08-05,crash,2947802.7498779297,0.0
2024-08-06,crash,2947802.7498779297,0.0
2024-08-07,crash,2947802.7498779297,0.0
2024-08-08,crash,2947802.7498779297,0.0
2024-08-09,crash,2947802.7498779297,0.0
2024-08-13,crash,2947802.7498779297,0.0
2024-08-14,capitulation_end,2931137.74987793,-16664.999999999534
2024-08-15,capitulation_end,2854137.74987793,-77000.0
2024-08-16,crash,2873937.74987793,19800.0
2024-08-19,downtrend,2873937.74987793,0.0
2024-08-20,downtrend,2873937.74987793,0.0
2024-08-21,downtrend,2873937.74987793,0.0
2024-08-22,downtrend,2873937.74987793,0.0
2024-08-23,downtrend,2873937.74987793,0.0
2024-08-26,downtrend,2873937.74987793,0.0
2024-08-27,downtrend,2873937.74987793,0.0
2024-08-28,downtrend,2873937.74987793,0.0
2024-08-29,downtrend,2873937.74987793,0.0
2024-08-30,normal,2948976.24987793,75038.5
2024-09-02,normal,2927576.24987793,-21400.0
2024-09-03,normal,2961376.24987793,33800.0
2024-09-04,normal,2863376.24987793,-98000.0
2024-09-05,normal,2874876.24987793,11500.0
2024-09-06,normal,2873976.24987793,-900.0
2024-09-09,crash,2825976.24987793,-48000.0
2024-09-10,crash,2825976.24987793,0.0
2024-09-11,crash,2825976.24987793,0.0
2024-09-12,downtrend,2825976.24987793,0.0
2024-09-13,downtrend,2825976.24987793,0.0
2024-09-17,downtrend,2825976.24987793,0.0
2024-09-18,downtrend,2825976.24987793,0.0
2024-09-19,downtrend,2825976.24987793,0.0
2024-09-20,downtrend,2825976.24987793,0.0
2024-09-24,downtrend,2825976.24987793,0.0
2024-09-25,downtrend,2825976.24987793,0.0
2024-09-26,downtrend,2825976.24987793,0.0
2024-09-27,surge,2825976.24987793,0.0
2024-09-30,surge,2825976.24987793,0.0
