date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,2990535.674926758,-9464.325073242188
2025-07-02,uptrend,2957135.674926758,-33400.0
2025-07-03,settling,2924429.0001220703,-32706.6748046875
2025-07-04,settling,2961712.0001220703,37283.0
2025-07-07,settling,2956378.674926758,-5333.3251953125
2025-07-08,settling,2968145.3497314453,11766.6748046875
2025-07-09,uptrend,3022045.3497314453,53900.0
2025-07-10,uptrend,2988612.0001220703,-33433.349609375
2025-07-11,uptrend,3003145.3497314453,14533.349609375
2025-07-14,uptrend,3011370.3497314453,8225.0
2025-07-15,stable,2987355.3497314453,-24015.0
2025-07-16,stable,2977955.3497314453,-9400.0
2025-07-17,stable,3001055.3497314453,23100.0
2025-07-18,uptrend,2953655.3497314453,-47400.0
2025-07-22,uptrend,2988355.3497314453,34700.0
2025-07-23,uptrend,3009155.3497314453,20800.0
2025-07-24,uptrend,3006655.3497314453,-2500.0
2025-07-25,normal,3023955.3497314453,17300.0
2025-07-28,normal,3038755.3497314453,14800.0
2025-07-29,normal,3039955.3497314453,1200.0
2025-07-30,normal,3082031.849731446,42076.500000000466
2025-07-31,normal,3097131.849731446,15100.0
2025-08-01,normal,3100731.849731446,3600.0
2025-08-04,normal,3102931.849731446,2200.0
2025-08-05,normal,3114336.849731446,11405.0
2025-08-06,normal,3162431.849731446,48095.0
2025-08-07,settling,3159805.349731446,-2626.5
2025-08-08,settling,3264544.099731446,104738.75
2025-08-12,settling,3256990.099731446,-7554.0
2025-08-13,settling,3146377.599731446,-110612.5
2025-08-14,uptrend,3146317.599731446,-60.0
2025-08-15,normal,3225081.599731446,78764.0
2025-08-18,overheated_range,3233881.599731446,8800.0
2025-08-19,overheated_range,3232891.599731446,-990.0
2025-08-20,settling,3499559.599731446,266668.0
2025-08-21,normal,3544660.24987793,45100.650146484375
2025-08-22,normal,3607013.24987793,62353.0
2025-08-25,normal,3657398.400268555,50385.150390625
2025-08-26,normal,3652715.099487305,-4683.30078125
2025-08-27,settling,3636974.400268555,-15740.69921875
2025-08-28,settling,3650645.400268555,13671.0
2025-08-29,settling,3655695.400268555,5050.0
2025-09-01,settling,3659595.400268555,3900.0
2025-09-02,settling,3688862.099487305,29266.69921875
2025-09-03,uptrend,3662178.74987793,-26683.349609375
2025-09-04,uptrend,3658652.900268555,-3525.849609375
2025-09-05,uptrend,3683756.4002685556,25103.500000000466
2025-09-08,uptrend,3751054.4998779306,67298.099609375
2025-09-09,uptrend,3747404.4998779306,-3650.0
2025-09-10,stable,3779942.3494873056,32537.849609375
2025-09-11,normal,3758330.3494873056,-21612.0
2025-09-12,uptrend,3820546.9998779306,62216.650390625
2025-09-16,uptrend,3983296.9998779306,162750.0
2025-09-17,stable,3934836.9998779306,-48460.0
2025-09-18,stable,3922019.9998779306,-12817.0
2025-09-19,uptrend,3910419.9998779306,-11600.0
2025-09-22,uptrend,3911753.3494873056,1333.349609375
2025-09-24,uptrend,3876786.3494873056,-34967.0
2025-09-25,uptrend,3884119.6502685556,7333.30078125
2025-09-26,uptrend,3908262.9998779306,24143.349609375
2025-09-29,uptrend,3887862.9998779306,-20400.0
2025-09-30,uptrend,3871848.68511963,-16014.314758300781
