date,ticker,action,price,shares,reason,nikkei_phase
2025-07-01,1938.T,BUY,1869.6299999999999,100,condition2_entry,uptrend
2025-07-01,6644.T,BUY,973.3849999999999,200,condition2_entry,uptrend
2025-07-01,1980.T,BUY,1503.8916253662107,200,condition2_entry,uptrend
2025-07-01,5576.T,BUY,2929.0,100,condition2_entry,uptrend
2025-07-01,2981.T,BUY,1710.2749999999999,200,condition2_entry,uptrend
2025-07-01,9409.T,BUY,2835.91,100,condition2_entry,uptrend
2025-07-02,7097.T,BUY,2754.0,200,condition2_entry,uptrend
2025-07-03,2981.T,SELL,1664.0,200,sell_signal,settling
2025-07-03,9409.T,SELL,2671.0,100,stop_loss,settling
2025-07-03,6040.T,BUY,533.0,100,q3_post_high_vol_entry,settling
2025-07-03,9768.T,BUY,3136.35,400,q3_post_high_vol_entry,settling
2025-07-04,7097.T,SELL,2610.0,200,stop_loss,settling
2025-07-04,1997.T,BUY,2881.5849999999996,200,q3_post_high_vol_entry,settling
2025-07-07,1997.T,SELL,3010.0,200,sell_signal,settling
2025-07-09,6040.T,SELL,543.0,100,sell_signal,uptrend
2025-07-11,1980.T,SELL,1443.3333740234375,200,sell_signal,uptrend
2025-07-11,5576.T,SELL,2922.0,100,sell_signal,uptrend
2025-07-14,1997.T,BUY,2867.3749999999995,200,condition2_entry,uptrend
2025-07-15,8600.T,BUY,614.0749999999999,200,breakout_1p5_entry,stable
2025-07-23,4635.T,BUY,878.0,300,condition2_entry,uptrend
2025-07-25,6644.T,SELL,1059.0,200,take_profit,normal
2025-07-29,6822.T,BUY,3247.9999999999995,100,condition2_entry,normal
2025-07-30,9768.T,SELL,3240.0,400,sell_signal,normal
2025-07-30,6822.T,SELL,3530.0,100,take_profit,normal
2025-07-30,2981.T,BUY,1883.84,100,condition2_entry,normal
2025-07-30,9034.T,BUY,1446.3749999999998,100,condition2_entry,normal
2025-07-30,5105.T,BUY,3206.3849999999998,100,condition2_entry,normal
2025-07-30,1867.T,BUY,2161.95,200,condition2_entry,normal
2025-07-30,5363.T,BUY,581.5949999999999,1300,condition2_entry,normal
2025-08-01,1938.T,SELL,2029.0,100,take_profit,normal
2025-08-04,4635.T,SELL,923.0,300,pre_earnings_exit,normal
2025-08-05,4635.T,BUY,943.9499999999999,100,condition2_entry,normal
2025-08-05,6644.T,BUY,1056.0,200,condition2_entry,normal
2025-08-06,9034.T,SELL,1455.0,100,pre_earnings_exit,normal
2025-08-06,1867.T,SELL,2209.0,200,pre_earnings_exit,normal
2025-08-06,4635.T,SELL,1180.0,100,take_profit,normal
2025-08-06,6644.T,SELL,1114.0,200,sell_signal,normal
2025-08-06,3443.T,BUY,4070.1499999999996,100,condition2_entry,normal
2025-08-06,4028.T,BUY,2253.2999999999997,300,condition2_entry,normal
2025-08-07,8600.T,SELL,611.0,200,pre_earnings_exit,settling
2025-08-07,3443.T,SELL,4145.0,100,pre_earnings_exit,settling
2025-08-07,4441.T,BUY,1168.2649999999999,100,q3_post_high_vol_entry,settling
2025-08-08,2981.T,SELL,1937.0,100,pre_earnings_exit,settling
2025-08-08,5105.T,SELL,3523.0,100,take_profit,settling
2025-08-08,5363.T,SELL,600.0,1300,pre_earnings_exit,settling
2025-08-08,4028.T,SELL,2436.0,300,take_profit,settling
2025-08-08,8006.T,BUY,1234.4937499999999,200,q3_post_high_vol_entry,settling
2025-08-08,7792.T,BUY,1521.0,300,q3_post_high_vol_entry,settling
2025-08-08,8345.T,BUY,3628.6249999999995,100,q3_post_high_vol_entry,settling
2025-08-12,8006.T,SELL,1285.0,200,sell_signal,settling
2025-08-12,7792.T,SELL,1524.0,300,sell_signal,settling
2025-08-12,2981.T,BUY,1999.0,100,q3_post_high_vol_entry,settling
2025-08-12,6540.T,BUY,1910.0,100,q3_post_high_vol_entry,settling
2025-08-12,3683.T,BUY,1333.7099999999998,200,q3_post_high_vol_entry,settling
2025-08-12,5363.T,BUY,593.775,600,q3_post_high_vol_entry,settling
2025-08-12,1417.T,BUY,2941.47,100,q3_post_high_vol_entry,settling
2025-08-13,2981.T,SELL,2285.0,100,take_profit,settling
2025-08-13,6540.T,SELL,1870.0,100,sell_signal,settling
2025-08-13,3683.T,SELL,1452.0,200,take_profit,settling
2025-08-13,5363.T,SELL,543.0,600,stop_loss,settling
2025-08-13,1417.T,SELL,2717.5,100,stop_loss,settling
2025-08-13,4681.T,BUY,2024.9249999999997,500,q3_post_high_vol_entry,settling
2025-08-13,9731.T,BUY,3700.0,300,q3_post_high_vol_entry,settling
2025-08-14,4441.T,SELL,1220.0,100,sell_signal,uptrend
2025-08-14,8345.T,SELL,3600.0,100,sell_signal,uptrend
2025-08-14,4681.T,SELL,1900.0,500,stop_loss,uptrend
2025-08-14,9731.T,SELL,3500.0,300,stop_loss,uptrend
2025-08-14,7971.T,BUY,574.4899999999999,400,condition2_entry,uptrend
2025-08-14,6039.T,BUY,552.16,400,condition2_entry,uptrend
2025-08-14,7565.T,BUY,4900.0,400,condition2_entry,uptrend
2025-08-15,6039.T,SELL,660.0,400,take_profit,normal
2025-08-15,8550.T,BUY,459.79499999999996,800,condition2_entry,normal
2025-08-19,1997.T,SELL,3100.0,200,take_profit,overheated_range
