date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,2990535.674926758,-9464.325073242188
2025-07-02,uptrend,2957135.674926758,-33400.0
2025-07-03,settling,2924429.0001220703,-32706.6748046875
2025-07-04,settling,2961712.0001220703,37283.0
2025-07-07,settling,2956378.674926758,-5333.3251953125
2025-07-08,settling,2968145.3497314453,11766.6748046875
2025-07-09,uptrend,3022045.3497314453,53900.0
2025-07-10,uptrend,2988612.0001220703,-33433.349609375
2025-07-11,uptrend,3003145.3497314453,14533.349609375
2025-07-14,uptrend,3011370.3497314453,8225.0
2025-07-15,stable,2987355.3497314453,-24015.0
2025-07-16,stable,2977955.3497314453,-9400.0
2025-07-17,stable,3001055.3497314453,23100.0
2025-07-18,uptrend,2953655.3497314453,-47400.0
2025-07-22,uptrend,2988355.3497314453,34700.0
2025-07-23,uptrend,3009155.3497314453,20800.0
2025-07-24,uptrend,3006655.3497314453,-2500.0
2025-07-25,normal,3023955.3497314453,17300.0
2025-07-28,normal,3038755.3497314453,14800.0
2025-07-29,normal,3039955.3497314453,1200.0
2025-07-30,downtrend,3073355.3497314453,33400.0
2025-07-31,downtrend,3073355.3497314453,0.0
2025-08-01,downtrend,3073355.3497314453,0.0
2025-08-04,downtrend,3073355.3497314453,0.0
2025-08-05,downtrend,3073355.3497314453,0.0
2025-08-06,downtrend,3073355.3497314453,0.0
2025-08-07,settling,3073883.8497314453,528.5
2025-08-08,settling,3099021.9747314453,25138.125
2025-08-12,settling,3099295.4747314453,273.5
2025-08-13,settling,3001975.4747314453,-97320.0
2025-08-14,uptrend,3005215.4747314453,3240.0
2025-08-15,downtrend,3074115.4747314453,68900.0
2025-08-18,overheated_range,3078204.2247314453,4088.75
2025-08-19,overheated_range,3092832.2247314453,14628.0
2025-08-20,settling,3069266.7247314453,-23565.5
2025-08-21,normal,3098503.543609619,29236.818878173828
2025-08-22,normal,3122605.543609619,24102.0
2025-08-25,normal,3177835.362701416,55229.819091796875
2025-08-26,normal,3174068.7245178223,-3766.63818359375
2025-08-27,settling,3160361.362701416,-13707.36181640625
2025-08-28,settling,3179261.362701416,18900.0
2025-08-29,settling,3202661.362701416,23400.0
2025-09-01,settling,3208761.362701416,6100.0
2025-09-02,settling,3222694.7245178223,13933.36181640625
2025-09-03,uptrend,3209528.043609619,-13166.680908203125
2025-09-04,uptrend,3212268.862701416,2740.819091796875
2025-09-05,uptrend,3226590.362701416,14321.5
2025-09-08,uptrend,3278594.293609619,52003.930908203125
2025-09-09,uptrend,3290394.293609619,11800.0
2025-09-10,stable,3313815.4745178223,23421.180908203125
2025-09-11,normal,3296747.4745178223,-17068.0
2025-09-12,uptrend,3355630.7936096196,58883.31909179734
2025-09-16,uptrend,3491580.7936096196,135950.0
2025-09-17,stable,3445700.79360962,-45879.999999999534
2025-09-18,stable,3430754.79360962,-14946.0
2025-09-19,uptrend,3420354.79360962,-10400.0
2025-09-22,uptrend,3420221.474517823,-133.319091796875
2025-09-24,uptrend,3388887.474517823,-31334.0
2025-09-25,uptrend,3394254.112701417,5366.63818359375
2025-09-26,uptrend,3418530.79360962,24276.680908203125
2025-09-29,uptrend,3399230.79360962,-19300.0
2025-09-30,uptrend,3389008.6300811777,-10222.163528442383
