date,nikkei_phase,equity,pnl_day
2025-07-01,uptrend,3021233.447265625,21233.447265625
2025-07-02,uptrend,3039900.0,18666.552734375
2025-07-03,settling,2965233.447265625,-74666.552734375
2025-07-04,settling,3021233.447265625,56000.0
2025-07-07,settling,3067900.0,46666.552734375
2025-07-08,settling,3072566.552734375,4666.552734375
2025-07-09,uptrend,3263900.0,191333.447265625
2025-07-10,uptrend,3263900.0,0.0
2025-07-11,uptrend,3263900.0,0.0
2025-07-14,uptrend,3201887.5000000005,-62012.499999999534
2025-07-15,stable,3163880.0000000005,-38007.5
2025-07-16,stable,3129280.0000000005,-34600.0
2025-07-17,stable,3151780.0000000005,22500.0
2025-07-18,uptrend,3115680.0000000005,-36100.0
2025-07-22,uptrend,3123080.0000000005,7400.0
2025-07-23,uptrend,3211780.0000000005,88700.0
2025-07-24,uptrend,3168780.0000000005,-43000.0
2025-07-25,normal,3181180.0000000005,12400.0
2025-07-28,normal,3199380.0000000005,18200.0
2025-07-29,normal,3252080.0000000005,52700.0
2025-07-30,normal,3260680.0000000005,8600.0
2025-07-31,normal,3231580.0000000005,-29100.0
2025-08-01,normal,3170680.0000000005,-60900.0
2025-08-04,normal,3178280.0000000005,7600.0
2025-08-05,normal,3183780.0000000005,5500.0
2025-08-06,normal,3187180.0000000005,3400.0
2025-08-07,settling,3243448.5000000005,56268.5
2025-08-08,settling,3300948.5000000005,57500.0
2025-08-12,settling,3323548.5000000005,22600.0
2025-08-13,settling,3333348.5000000005,9800.0
2025-08-14,uptrend,3326199.5000000005,-7149.0
2025-08-15,normal,3389720.0000000005,63520.5
2025-08-18,overheated_range,3464220.0000000005,74500.0
2025-08-19,overheated_range,3542508.000000001,78288.00000000047
2025-08-20,settling,3538908.000000001,-3600.0
2025-08-21,normal,3547208.000000001,8300.0
2025-08-22,normal,3598608.000000001,51400.0
2025-08-25,normal,3565608.000000001,-33000.0
2025-08-26,normal,3559208.000000001,-6400.0
2025-08-27,settling,3550608.000000001,-8600.0
2025-08-28,settling,3589508.000000001,38900.0
2025-08-29,settling,3605708.000000001,16200.0
2025-09-01,settling,3591508.000000001,-14200.0
2025-09-02,settling,3580508.000000001,-11000.0
2025-09-03,uptrend,3586408.000000001,5900.0
2025-09-04,uptrend,3672808.000000001,86400.0
2025-09-05,uptrend,3674708.000000001,1900.0
2025-09-08,uptrend,3692808.000000001,18100.0
2025-09-09,uptrend,3672408.000000001,-20400.0
2025-09-10,stable,3718508.000000001,46100.0
2025-09-11,normal,3688163.500000001,-30344.5
2025-09-12,uptrend,3625563.500000001,-62600.0
2025-09-16,uptrend,3605263.500000001,-20300.0
2025-09-17,stable,3533763.500000001,-71500.0
2025-09-18,stable,3494763.500000001,-39000.0
2025-09-19,uptrend,3571263.500000001,76500.0
2025-09-22,uptrend,3521763.500000001,-49500.0
2025-09-24,uptrend,3530463.500000001,8700.0
2025-09-25,uptrend,3491363.500000001,-39100.0
2025-09-26,uptrend,3541063.500000001,49700.0
2025-09-29,uptrend,3479963.500000001,-61100.0
2025-09-30,uptrend,3445761.8251953134,-34201.6748046875
