date,nikkei_phase,equity,pnl_day
2024-07-01,stable,3021280.0000000005,21280.000000000466
2024-07-02,stable,3093280.0000000005,72000.0
2024-07-03,uptrend,3185280.0000000005,92000.0
2024-07-04,uptrend,3185280.0000000005,0.0
2024-07-05,uptrend,3185280.0000000005,0.0
2024-07-08,uptrend,3185280.0000000005,0.0
2024-07-09,uptrend,3185280.0000000005,0.0
2024-07-10,uptrend,3185280.0000000005,0.0
2024-07-11,uptrend,3093280.0000000005,-92000.0
2024-07-12,uptrend,3105280.0000000005,12000.0
2024-07-16,normal,3079000.000000001,-26279.999999999534
2024-07-17,overheated_range,3085000.000000001,6000.0
2024-07-18,normal,3046000.000000001,-39000.0
2024-07-19,normal,3061000.000000001,15000.0
2024-07-22,normal,3043000.000000001,-18000.0
2024-07-23,normal,3088000.000000001,45000.0
2024-07-24,normal,3022000.000000001,-66000.0
2024-07-25,normal,3004000.000000001,-18000.0
2024-07-26,normal,2962000.000000001,-42000.0
2024-07-29,normal,3004000.000000001,42000.0
2024-07-30,crash,2946100.000000001,-57900.0
2024-07-31,crash,2946100.000000001,0.0
2024-08-01,downtrend,2946100.000000001,0.0
2024-08-02,crash,2946100.000000001,0.0
2024-08-05,crash,2946100.000000001,0.0
2024-08-06,crash,2946100.000000001,0.0
2024-08-07,crash,2946100.000000001,0.0
2024-08-08,crash,2946100.000000001,0.0
2024-08-09,crash,2946100.000000001,0.0
2024-08-13,crash,2946100.000000001,0.0
2024-08-14,capitulation_end,2929435.0000000014,-16664.999999999534
2024-08-15,capitulation_end,2852435.0000000014,-77000.0
2024-08-16,crash,2872235.0000000014,19800.0
2024-08-19,downtrend,2872235.0000000014,0.0
2024-08-20,downtrend,2872235.0000000014,0.0
2024-08-21,downtrend,2872235.0000000014,0.0
2024-08-22,downtrend,2872235.0000000014,0.0
2024-08-23,downtrend,2872235.0000000014,0.0
2024-08-26,downtrend,2872235.0000000014,0.0
2024-08-27,downtrend,2872235.0000000014,0.0
2024-08-28,downtrend,2872235.0000000014,0.0
2024-08-29,downtrend,2872235.0000000014,0.0
2024-08-30,normal,2853983.0000000014,-18252.0
2024-09-02,normal,2850083.0000000014,-3900.0
2024-09-03,normal,2947583.0000000014,97500.0
2024-09-04,normal,2842283.0000000014,-105300.0
2024-09-05,normal,2814983.0000000014,-27300.0
2024-09-06,normal,2803283.0000000014,-11700.0
2024-09-09,crash,2725283.0000000014,-78000.0
2024-09-10,crash,2725283.0000000014,0.0
2024-09-11,crash,2725283.0000000014,0.0
2024-09-12,downtrend,2725283.0000000014,0.0
2024-09-13,downtrend,2725283.0000000014,0.0
2024-09-17,downtrend,2725283.0000000014,0.0
2024-09-18,downtrend,2725283.0000000014,0.0
2024-09-19,downtrend,2725283.0000000014,0.0
2024-09-20,downtrend,2725283.0000000014,0.0
2024-09-24,downtrend,2725283.0000000014,0.0
2024-09-25,downtrend,2725283.0000000014,0.0
2024-09-26,downtrend,2725283.0000000014,0.0
2024-09-27,surge,2725283.0000000014,0.0
2024-09-30,surge,2725283.0000000014,0.0
