date,ticker,action,price,shares,reason,nikkei_phase
2025-10-01,4016.T,BUY,1293.0,2300,condition2_entry,uptrend
2025-10-02,4016.T,SELL,1186.0,2300,stop_loss,uptrend
2025-10-15,2970.T,BUY,1137.8149999999998,400,q3_post_high_vol_entry,high_vol
2025-10-15,1893.T,BUY,1224.09,400,q3_post_high_vol_entry,high_vol
2025-10-15,146A.T,BUY,3791.0249999999996,100,q3_post_high_vol_entry,high_vol
2025-10-15,1980.T,BUY,2077.366625366211,200,q3_post_high_vol_entry,high_vol
2025-10-15,9691.T,BUY,4029.5499999999997,100,q3_post_high_vol_entry,high_vol
2025-10-15,7110.T,BUY,2057.4049999999997,200,q3_post_high_vol_entry,high_vol
2025-10-15,2975.T,BUY,1125.635,100,q3_post_high_vol_entry,high_vol
2025-10-15,6091.T,BUY,842.4499999999999,100,q3_post_high_vol_entry,high_vol
2025-10-16,6091.T,SELL,855.0,100,sell_signal,high_vol
2025-10-22,2970.T,SELL,1142.0,400,sell_signal,surge
2025-10-22,1893.T,SELL,1283.5,400,sell_signal,surge
2025-10-22,146A.T,SELL,3880.0,100,sell_signal,surge
2025-10-22,1980.T,SELL,2210.0,200,sell_signal,surge
2025-10-22,9691.T,SELL,4230.0,100,sell_signal,surge
2025-10-22,7110.T,SELL,2173.0,200,sell_signal,surge
2025-10-22,2975.T,SELL,1189.0,100,sell_signal,surge
2025-10-23,1893.T,BUY,1302.7524999999998,300,q3_post_high_vol_entry,high_vol
2025-10-23,4320.T,BUY,1026.0,400,q3_post_high_vol_entry,high_vol
2025-10-23,3486.T,BUY,2850.12,100,q3_post_high_vol_entry,high_vol
2025-10-23,8361.T,BUY,3603.2499999999995,100,q3_post_high_vol_entry,high_vol
2025-10-27,1893.T,SELL,1470.0,300,take_profit,high_vol
2025-10-28,4320.T,SELL,1100.0,400,sell_signal,surge
2025-10-28,3486.T,SELL,2780.0,100,sell_signal,surge
2025-10-28,8361.T,SELL,3715.0,100,sell_signal,surge
2025-11-06,1814.T,BUY,3516.9749999999995,100,q3_post_high_vol_entry,high_vol
2025-11-06,5105.T,BUY,4334.0,100,q3_post_high_vol_entry,high_vol
2025-11-06,4691.T,BUY,1527.5749999999998,300,q3_post_high_vol_entry,high_vol
2025-11-06,1861.T,BUY,1456.5249999999999,300,q3_post_high_vol_entry,high_vol
2025-11-06,146A.T,BUY,3313.9749999999995,100,q3_post_high_vol_entry,high_vol
2025-11-06,3449.T,BUY,1755.0,200,q3_post_high_vol_entry,high_vol
2025-11-06,3671.T,BUY,395.84999999999997,1200,q3_post_high_vol_entry,high_vol
2025-11-06,2286.T,BUY,719.6349999999999,100,q3_post_high_vol_entry,high_vol
2025-11-07,1814.T,SELL,3765.0,100,sell_signal,high_vol
2025-11-07,4691.T,SELL,1541.0,300,sell_signal,high_vol
2025-11-07,1980.T,BUY,2320.966749267578,200,q3_post_high_vol_entry,high_vol
2025-11-10,3671.T,SELL,394.0,1200,pre_earnings_exit,high_vol
2025-11-10,1980.T,SELL,2256.666748046875,200,sell_signal,high_vol
2025-11-10,2970.T,BUY,1186.5349999999999,400,q3_post_high_vol_entry,high_vol
2025-11-11,5105.T,SELL,4281.0,100,pre_earnings_exit,high_vol
2025-11-11,146A.T,SELL,3440.0,100,pre_earnings_exit,high_vol
2025-11-11,3449.T,SELL,1751.0,200,pre_earnings_exit,high_vol
2025-11-11,2970.T,SELL,1104.0,400,stop_loss,high_vol
2025-11-12,1861.T,SELL,1505.0,300,pre_earnings_exit,high_vol
2025-11-12,8002.T,BUY,3958.4999999999995,100,q3_post_high_vol_entry,high_vol
2025-11-13,2286.T,SELL,723.0,100,pre_earnings_exit,high_vol
2025-11-13,6994.T,BUY,810.0,600,q3_post_high_vol_entry,high_vol
2025-11-13,1861.T,BUY,1551.935,300,q3_post_high_vol_entry,high_vol
2025-11-13,3477.T,BUY,869.8549999999999,500,q3_post_high_vol_entry,high_vol
2025-11-14,6994.T,SELL,812.0,600,sell_signal,high_vol
2025-11-14,1861.T,SELL,1454.0,300,stop_loss,high_vol
2025-11-14,3477.T,SELL,855.0,500,sell_signal,high_vol
2025-11-14,6493.T,BUY,651.6299999999999,700,q3_post_high_vol_entry,high_vol
2025-11-14,6262.T,BUY,886.0949999999999,500,q3_post_high_vol_entry,high_vol
2025-11-14,9691.T,BUY,4415.25,100,q3_post_high_vol_entry,high_vol
2025-11-14,8345.T,BUY,4313.75,100,q3_post_high_vol_entry,high_vol
2025-11-17,8345.T,SELL,4620.0,100,sell_signal,high_vol
2025-11-17,1893.T,BUY,1566.1449999999998,300,q3_post_high_vol_entry,high_vol
2025-11-18,9658.T,BUY,3516.9749999999995,200,condition2_entry,normal
2025-11-19,6262.T,SELL,797.0,500,stop_loss,normal
2025-11-19,7350.T,BUY,4222.4,100,condition2_entry,normal
2025-11-27,7350.T,SELL,4585.0,100,take_profit,normal
2025-11-28,6493.T,SELL,710.0,700,take_profit,normal
2025-11-28,1893.T,SELL,1725.0,300,take_profit,normal
2025-11-28,9823.T,BUY,1517.425,900,condition2_entry,normal
2025-12-01,9823.T,SELL,1474.0,900,sell_signal,normal
2025-12-01,3040.T,BUY,1928.4999999999998,700,condition2_entry,normal
2025-12-08,8002.T,SELL,4333.0,100,take_profit,normal
2025-12-15,9691.T,SELL,4390.0,100,sell_signal,normal
2025-12-15,1893.T,BUY,1595.0724999999998,600,condition2_entry,normal
2025-12-17,1893.T,SELL,1515.0,600,stop_loss,normal
2025-12-19,3040.T,SELL,2010.0,700,sell_signal,stable
2025-12-22,3040.T,BUY,2101.0,1100,condition2_entry,normal
2025-12-29,9658.T,SELL,3550.0,200,pre_earnings_exit,normal
2025-12-29,3040.T,SELL,2099.0,1100,pre_earnings_exit,normal
2025-12-30,1723.T,BUY,7886.549999999999,300,condition2_entry,normal
2025-12-30,8550.T,BUY,738.92,900,condition2_entry,normal
2025-12-30,1723.T,SELL,7910.0,300,end_of_backtest,normal
2025-12-30,8550.T,SELL,726.0,900,end_of_backtest,normal
