date,ticker,action,price,shares,reason,nikkei_phase
2026-01-05,1814.T,BUY,3796.0999999999995,700,breakout_1p5_entry,stable
2026-01-05,1946.T,BUY,1977.0,100,breakout_1p5_entry,stable
2026-01-05,6743.T,BUY,827.0,100,breakout_1p5_entry,stable
2026-01-05,6343.T,BUY,167.475,300,breakout_1p5_entry,stable
2026-01-16,1814.T,SELL,3970.0,700,sell_signal,normal
2026-01-16,1946.T,SELL,2149.0,100,take_profit,normal
2026-01-16,5105.T,BUY,4562.424999999999,600,condition2_entry,normal
2026-01-19,6743.T,SELL,826.0,100,sell_signal,surge
2026-01-19,6343.T,SELL,178.0,300,sell_signal,surge
2026-01-19,5105.T,SELL,4445.0,600,sell_signal,surge
2026-01-20,1736.T,BUY,2725.2749999999996,1100,q3_post_high_vol_entry,high_vol
2026-01-20,6343.T,BUY,180.67,400,q3_post_high_vol_entry,high_vol
2026-01-28,1736.T,SELL,2570.0,1100,stop_loss,settling
2026-01-28,8343.T,BUY,4694.375,600,q3_post_high_vol_entry,settling
2026-01-29,8343.T,SELL,4845.0,600,sell_signal,settling
2026-01-29,9534.T,BUY,817.0749999999999,3500,q3_post_high_vol_entry,settling
2026-01-30,9534.T,SELL,823.0,3500,sell_signal,settling
2026-01-30,8537.T,BUY,2404.535,1200,q3_post_high_vol_entry,settling
2026-02-02,8537.T,SELL,2299.0,1200,sell_signal,settling
2026-02-02,1946.T,BUY,2075.6749999999997,200,q3_post_high_vol_entry,settling
2026-02-02,5901.T,BUY,3933.1249999999995,100,q3_post_high_vol_entry,settling
2026-02-02,1938.T,BUY,2328.0,200,q3_post_high_vol_entry,settling
2026-02-02,7231.T,BUY,3176.95,100,q3_post_high_vol_entry,settling
2026-02-02,1879.T,BUY,2024.9249999999997,200,q3_post_high_vol_entry,settling
2026-02-02,9405.T,BUY,842.4499999999999,500,q3_post_high_vol_entry,settling
2026-02-03,1946.T,SELL,2028.0,200,sell_signal,settling
2026-02-03,1938.T,SELL,2345.0,200,sell_signal,settling
2026-02-03,1879.T,SELL,2039.0,200,sell_signal,settling
2026-02-03,9405.T,SELL,844.0,500,sell_signal,settling
2026-02-03,1802.T,BUY,3600.0,100,q3_post_high_vol_entry,settling
2026-02-03,9768.T,BUY,4425.0,100,q3_post_high_vol_entry,settling
2026-02-03,6379.T,BUY,2551.7099999999996,100,q3_post_high_vol_entry,settling
2026-02-03,5697.T,BUY,817.0749999999999,600,q3_post_high_vol_entry,settling
2026-02-03,6809.T,BUY,1667.6449999999998,200,q3_post_high_vol_entry,settling
2026-02-03,1443.T,BUY,309.575,700,q3_post_high_vol_entry,settling
2026-02-04,5697.T,SELL,818.0,600,sell_signal,normal
2026-02-04,6809.T,SELL,1751.0,200,sell_signal,normal
2026-02-04,1443.T,SELL,338.0,700,take_profit,normal
2026-02-05,7231.T,SELL,3265.0,100,pre_earnings_exit,normal
2026-02-05,4366.T,BUY,402.955,3400,condition2_entry,normal
2026-02-06,1802.T,SELL,3850.0,100,pre_earnings_exit,normal
2026-02-06,9768.T,SELL,4450.0,100,pre_earnings_exit,normal
2026-02-06,9074.T,BUY,5744.9,100,condition2_entry,normal
2026-02-06,8439.T,BUY,2202.0424999999996,100,condition2_entry,normal
2026-02-09,5901.T,SELL,4134.0,100,pre_earnings_exit,normal
2026-02-09,9074.T,SELL,5500.0,100,sell_signal,normal
2026-02-09,8439.T,SELL,2186.0,100,sell_signal,normal
2026-02-09,8344.T,BUY,2500.0,500,condition2_entry,normal
2026-02-10,6343.T,SELL,210.0,400,take_profit,surge
2026-02-10,6379.T,SELL,2670.0,100,sell_signal,surge
2026-02-10,4366.T,SELL,400.0,3400,sell_signal,surge
2026-02-10,8344.T,SELL,2672.0,500,sell_signal,surge
2026-02-17,4366.T,BUY,415.13499999999993,7300,q3_post_high_vol_entry,high_vol
2026-02-26,4366.T,SELL,445.0,7300,sell_signal,normal
2026-02-27,5714.T,BUY,10655.0,300,q3_post_high_vol_entry,settling
2026-02-27,4366.T,BUY,451.67499999999995,100,q3_post_high_vol_entry,settling
2026-03-02,5714.T,SELL,11830.0,300,take_profit,settling
2026-03-04,4366.T,SELL,408.0,100,stop_loss,normal
