date,ticker,action,price,shares,reason,nikkei_phase
2025-10-01,4016.T,BUY,1293.0,2300,condition2_entry,uptrend
2025-10-02,4016.T,SELL,1186.0,2300,stop_loss,uptrend
2025-10-15,1909.T,BUY,8089.549999999999,300,q3_post_high_vol_entry,high_vol
2025-10-15,2970.T,BUY,1137.8149999999998,200,q3_post_high_vol_entry,high_vol
2025-10-15,6488.T,BUY,939.8899999999999,100,q3_post_high_vol_entry,high_vol
2025-10-16,1909.T,SELL,8170.0,300,sell_signal,high_vol
2025-10-16,1384.T,BUY,2504.0049999999997,900,q3_post_high_vol_entry,high_vol
2025-10-16,5602.T,BUY,1860.495,100,q3_post_high_vol_entry,high_vol
2025-10-22,2970.T,SELL,1142.0,200,sell_signal,surge
2025-10-22,6488.T,SELL,980.0,100,sell_signal,surge
2025-10-22,1384.T,SELL,2705.0,900,take_profit,surge
2025-10-22,5602.T,SELL,1848.0,100,sell_signal,surge
2025-10-23,1893.T,BUY,1302.7524999999998,2200,q3_post_high_vol_entry,high_vol
2025-10-27,1893.T,SELL,1470.0,2200,take_profit,high_vol
2025-11-06,1814.T,BUY,3516.9749999999995,900,q3_post_high_vol_entry,high_vol
2025-11-06,4691.T,BUY,1527.5749999999998,100,q3_post_high_vol_entry,high_vol
2025-11-07,1814.T,SELL,3765.0,900,sell_signal,high_vol
2025-11-07,4691.T,SELL,1541.0,100,sell_signal,high_vol
2025-11-07,1980.T,BUY,2320.966749267578,1500,q3_post_high_vol_entry,high_vol
2025-11-10,1980.T,SELL,2256.666748046875,1500,sell_signal,high_vol
2025-11-10,2970.T,BUY,1186.5349999999999,2900,q3_post_high_vol_entry,high_vol
2025-11-11,2970.T,SELL,1104.0,2900,stop_loss,high_vol
2025-11-12,8002.T,BUY,3958.4999999999995,800,q3_post_high_vol_entry,high_vol
2025-12-08,8002.T,SELL,4333.0,800,take_profit,normal
2025-12-15,1893.T,BUY,1595.0724999999998,2200,condition2_entry,normal
2025-12-17,1893.T,SELL,1515.0,2200,stop_loss,normal
2025-12-22,3040.T,BUY,2101.0,1500,condition2_entry,normal
2025-12-29,3040.T,SELL,2099.0,1500,pre_earnings_exit,normal
2025-12-30,1723.T,BUY,7886.549999999999,400,condition2_entry,normal
2025-12-30,8550.T,BUY,738.92,200,condition2_entry,normal
2025-12-30,1723.T,SELL,7910.0,400,end_of_backtest,normal
2025-12-30,8550.T,SELL,726.0,200,end_of_backtest,normal
