date,nikkei_phase,equity,pnl_day
2024-07-01,stable,3016359.5,16359.5
2024-07-02,stable,3046259.5,29900.0
2024-07-03,uptrend,3037159.5,-9100.0
2024-07-04,uptrend,3041359.5,4200.0
2024-07-05,uptrend,3034159.5,-7200.0
2024-07-08,uptrend,3017859.5,-16300.0
2024-07-09,uptrend,3038459.5,20600.0
2024-07-10,uptrend,3061659.5,23200.0
2024-07-11,uptrend,3006559.5,-55100.0
2024-07-12,uptrend,3018259.5,11700.0
2024-07-16,normal,3014517.8251953125,-3741.6748046875
2024-07-17,overheated_range,3028451.1748046875,13933.349609375
2024-07-18,normal,3006917.8251953125,-21533.349609375
2024-07-19,normal,2994517.8251953125,-12400.0
2024-07-22,normal,2939117.8251953125,-55400.0
2024-07-23,normal,2965784.5,26666.6748046875
2024-07-24,normal,2913984.5,-51800.0
2024-07-25,normal,2874384.5,-39600.0
2024-07-26,normal,2849064.5,-25320.0
2024-07-29,normal,2906064.5,57000.0
2024-07-30,crash,2889530.0,-16534.5
2024-07-31,crash,2830140.0,-59390.0
2024-08-01,downtrend,2830140.0,0.0
2024-08-02,crash,2586140.0,-244000.0
2024-08-05,crash,2531140.0,-55000.0
2024-08-06,crash,2531140.0,0.0
2024-08-07,crash,2715592.0,184452.0
2024-08-08,crash,2703078.0,-12514.0
2024-08-09,crash,2624278.0,-78800.0
2024-08-13,crash,2575877.0,-48401.0
2024-08-14,capitulation_end,2604877.0,29000.0
2024-08-15,capitulation_end,2604877.0,0.0
2024-08-16,crash,2707335.0,102458.0
2024-08-19,downtrend,2686435.0,-20900.0
2024-08-20,downtrend,2686435.0,0.0
2024-08-21,downtrend,2686435.0,0.0
2024-08-22,downtrend,2686435.0,0.0
2024-08-23,downtrend,2686435.0,0.0
2024-08-26,downtrend,2686435.0,0.0
2024-08-27,downtrend,2686435.0,0.0
2024-08-28,downtrend,2686435.0,0.0
2024-08-29,downtrend,2686435.0,0.0
2024-08-30,normal,2718861.5,32426.5
2024-09-02,normal,2691061.5,-27800.0
2024-09-03,normal,2759761.5,68700.0
2024-09-04,normal,2645561.5,-114200.0
2024-09-05,normal,2640161.5,-5400.0
2024-09-06,normal,2637161.5,-3000.0
2024-09-09,crash,2578561.5,-58600.0
2024-09-10,crash,2628561.5,50000.0
2024-09-11,crash,2514978.5,-113583.0
2024-09-12,downtrend,2487378.5,-27600.0
2024-09-13,downtrend,2487378.5,0.0
2024-09-17,downtrend,2487378.5,0.0
2024-09-18,downtrend,2487378.5,0.0
2024-09-19,downtrend,2487378.5,0.0
2024-09-20,downtrend,2487378.5,0.0
2024-09-24,downtrend,2487378.5,0.0
2024-09-25,downtrend,2487378.5,0.0
2024-09-26,downtrend,2487378.5,0.0
2024-09-27,surge,2487378.5,0.0
2024-09-30,surge,2487378.5,0.0
