date,nikkei_phase,equity,pnl_day
2025-10-01,uptrend,2786100.0,-213900.0
2025-10-02,uptrend,2753900.0,-32200.0
2025-10-03,uptrend,2753900.0,0.0
2025-10-06,uptrend,2753900.0,0.0
2025-10-07,surge,2753900.0,0.0
2025-10-08,surge,2753900.0,0.0
2025-10-09,surge,2753900.0,0.0
2025-10-10,surge,2753900.0,0.0
2025-10-14,surge,2753900.0,0.0
2025-10-15,high_vol,2825451.024536133,71551.02453613281
2025-10-16,high_vol,2838617.674926758,13166.650390625
2025-10-17,high_vol,2771451.024536133,-67166.650390625
2025-10-20,high_vol,2813084.325317383,41633.30078125
2025-10-21,high_vol,2782751.024536133,-30333.30078125
2025-10-22,surge,2865517.674926758,82766.650390625
2025-10-23,high_vol,2919154.924926758,53637.25
2025-10-24,high_vol,2914654.924926758,-4500.0
2025-10-27,high_vol,2952454.924926758,37800.0
2025-10-28,surge,2949454.924926758,-3000.0
2025-10-29,surge,2949454.924926758,0.0
2025-10-30,surge,2949454.924926758,0.0
2025-10-31,surge,2949454.924926758,0.0
2025-11-04,surge,2949454.924926758,0.0
2025-11-05,surge,2949454.924926758,0.0
2025-11-06,high_vol,2958946.424926758,9491.5
2025-11-07,high_vol,2952586.424682617,-6360.000244140625
2025-11-10,high_vol,2987472.424682617,34886.0
2025-11-11,high_vol,2948672.424682617,-38800.0
2025-11-12,high_vol,2955122.424682617,6450.0
2025-11-13,high_vol,2966214.424682617,11092.0
2025-11-14,high_vol,2969625.924682617,3411.5
2025-11-17,high_vol,2952332.424682617,-17293.5
2025-11-18,normal,2881887.424682617,-70445.0
2025-11-19,normal,2857947.424682617,-23940.0
2025-11-20,normal,2893047.424682617,35100.0
2025-11-21,normal,2940847.424682617,47800.0
2025-11-25,normal,2937947.424682617,-2900.0
2025-11-26,normal,3003447.424682617,65500.0
2025-11-27,normal,3047647.424682617,44200.0
2025-11-28,normal,3063592.424682617,15945.0
2025-12-01,normal,3015742.4246826177,-47849.999999999534
2025-12-02,normal,3015542.4246826177,-200.0
2025-12-03,normal,3022742.4246826177,7200.0
2025-12-04,normal,3017242.4246826177,-5500.0
2025-12-05,normal,3029842.4246826177,12600.0
2025-12-08,normal,3059142.4246826177,29300.0
2025-12-09,normal,3052642.4246826177,-6500.0
2025-12-10,normal,3020642.4246826177,-32000.0
2025-12-11,normal,3030642.4246826177,10000.0
2025-12-12,normal,3042142.4246826177,11500.0
2025-12-15,normal,3078904.9246826177,36762.5
2025-12-16,normal,2993004.9246826177,-85900.0
2025-12-17,normal,2994104.9246826177,1100.0
2025-12-18,normal,3022304.9246826177,28200.0
2025-12-19,stable,3048804.9246826177,26500.0
2025-12-22,normal,3022751.4246826177,-26053.5
2025-12-23,normal,3048251.4246826177,25500.0
2025-12-24,normal,3030051.4246826177,-18200.0
2025-12-25,normal,3010551.4246826177,-19500.0
2025-12-26,normal,3005351.4246826177,-5200.0
2025-12-29,normal,3009151.4246826177,3800.0
2025-12-30,normal,2969195.9246826177,-39955.5
