variant,dataset,final_capital,total_return_pct,num_buys,max_drawdown_pct
highvol_only_50,q2_2024,2512513.500000001,-16.249549999999967,15,-21.121110232067497
highvol_only_50,q3,3445761.8251953134,14.85872750651045,10,-7.334828237688007
highvol_only_50,q4,3031478.4246826177,1.0492808227539285,40,-4.335604872194276
highvol_only_50,4q2,3031008.000000001,1.0336000000000345,48,-8.999830950540954
weak_uptrend_only_50,q2_2024,2512513.500000001,-16.249549999999967,15,-21.121110232067497
weak_uptrend_only_50,q3,3445761.8251953134,14.85872750651045,10,-7.334828237688007
weak_uptrend_only_50,q4,3346473.4981689486,11.549116605631626,16,-13.437290138964764
weak_uptrend_only_50,4q2,3442221.2500000023,14.740708333333409,34,-9.569320039422546
all_capped_moderate,q2_2024,2487378.5,-17.087383333333328,25,-18.757180542121034
all_capped_moderate,q3,3445761.8251953134,14.85872750651045,10,-7.334828237688007
all_capped_moderate,q4,2969195.9246826177,-1.0268025105794165,45,-4.335604872194276
all_capped_moderate,4q2,2951151.75,-1.6282750000000012,59,-14.489744432637398
