date,nikkei_phase,equity,pnl_day
2026-01-05,stable,2947087.5000000005,-52912.499999999534
2026-01-06,normal,3020087.5000000005,73000.0
2026-01-07,normal,3037887.5000000005,17800.0
2026-01-08,normal,3105487.5000000005,67600.0
2026-01-09,normal,3103787.5000000005,-1700.0
2026-01-13,normal,3115687.5000000005,11900.0
2026-01-14,normal,3158087.5000000005,42400.0
2026-01-15,normal,3151987.5000000005,-6100.0
2026-01-16,normal,3125732.500000001,-26254.999999999534
2026-01-19,surge,3071532.500000001,-54200.0
2026-01-20,high_vol,3142062.0000000014,70529.50000000047
2026-01-21,high_vol,3075562.0000000014,-66500.0
2026-01-22,high_vol,3049262.0000000014,-26300.0
2026-01-23,high_vol,3059262.0000000014,10000.0
2026-01-26,normal,3008462.0000000014,-50800.0
2026-01-27,high_vol,2947962.0000000014,-60500.0
2026-01-28,settling,2977037.0000000014,29075.0
2026-01-29,settling,3071074.500000002,94037.50000000047
2026-01-30,settling,2968532.500000002,-102542.0
2026-02-02,settling,2855880.000000002,-112652.5
2026-02-03,settling,2927532.500000002,71652.5
2026-02-04,normal,2974632.500000002,47100.0
2026-02-05,normal,2943185.500000002,-31447.0
2026-02-06,normal,2912191.250000002,-30994.25
2026-02-09,normal,2931191.250000002,19000.0
2026-02-10,surge,3049591.250000002,118400.0
2026-02-12,surge,3049591.250000002,0.0
2026-02-13,surge,3049591.250000002,0.0
2026-02-16,surge,3049591.250000002,0.0
2026-02-17,high_vol,3143505.7500000023,93914.50000000047
2026-02-18,high_vol,3282205.7500000023,138700.0
2026-02-19,high_vol,3231105.7500000023,-51100.0
2026-02-20,high_vol,3172705.7500000023,-58400.0
2026-02-24,high_vol,3267605.7500000023,94900.0
2026-02-25,high_vol,3201905.7500000023,-65700.0
2026-02-26,normal,3267605.7500000023,65700.0
2026-02-27,settling,3536838.2500000023,269232.5
2026-03-02,settling,3618738.2500000023,81900.0
2026-03-03,settling,3618738.2500000023,0.0
2026-03-04,normal,3615738.2500000023,-3000.0
2026-03-05,crash,3532593.2500000023,-83145.0
2026-03-06,crash,3425721.2500000023,-106872.0
2026-03-09,crash,3425721.2500000023,0.0
2026-03-10,crash,3442221.2500000023,16500.0
