date,nikkei_phase,equity,pnl_day
2024-07-01,stable,3021280.0000000005,21280.000000000466
2024-07-02,stable,3093280.0000000005,72000.0
2024-07-03,uptrend,3185280.0000000005,92000.0
2024-07-04,uptrend,3185280.0000000005,0.0
2024-07-05,uptrend,3185280.0000000005,0.0
2024-07-08,uptrend,3185280.0000000005,0.0
2024-07-09,uptrend,3185280.0000000005,0.0
2024-07-10,uptrend,3185280.0000000005,0.0
2024-07-11,uptrend,3093280.0000000005,-92000.0
2024-07-12,uptrend,3105280.0000000005,12000.0
2024-07-16,normal,3079000.000000001,-26279.999999999534
2024-07-17,overheated_range,3085000.000000001,6000.0
2024-07-18,normal,3046000.000000001,-39000.0
2024-07-19,normal,3061000.000000001,15000.0
2024-07-22,normal,3043000.000000001,-18000.0
2024-07-23,normal,3088000.000000001,45000.0
2024-07-24,normal,3022000.000000001,-66000.0
2024-07-25,normal,3004000.000000001,-18000.0
2024-07-26,normal,2962000.000000001,-42000.0
2024-07-29,normal,3004000.000000001,42000.0
2024-07-30,crash,2950090.000000001,-53910.0
2024-07-31,crash,2891410.000000001,-58680.0
2024-08-01,downtrend,2891410.000000001,0.0
2024-08-02,crash,2647410.000000001,-244000.0
2024-08-05,crash,2592410.000000001,-55000.0
2024-08-06,crash,2592410.000000001,0.0
2024-08-07,crash,2776833.000000001,184423.0
2024-08-08,crash,2773937.000000001,-2896.0
2024-08-09,crash,2700337.000000001,-73600.0
2024-08-13,crash,2650267.000000001,-50070.0
2024-08-14,capitulation_end,2680267.000000001,30000.0
2024-08-15,capitulation_end,2680267.000000001,0.0
2024-08-16,crash,2785267.000000001,105000.0
2024-08-19,downtrend,2764267.000000001,-21000.0
2024-08-20,downtrend,2764267.000000001,0.0
2024-08-21,downtrend,2764267.000000001,0.0
2024-08-22,downtrend,2764267.000000001,0.0
2024-08-23,downtrend,2764267.000000001,0.0
2024-08-26,downtrend,2764267.000000001,0.0
2024-08-27,downtrend,2764267.000000001,0.0
2024-08-28,downtrend,2764267.000000001,0.0
2024-08-29,downtrend,2764267.000000001,0.0
2024-08-30,normal,2746483.000000001,-17784.0
2024-09-02,normal,2742683.000000001,-3800.0
2024-09-03,normal,2837683.000000001,95000.0
2024-09-04,normal,2735083.000000001,-102600.0
2024-09-05,normal,2708483.000000001,-26600.0
2024-09-06,normal,2697083.000000001,-11400.0
2024-09-09,crash,2603483.000000001,-93600.0
2024-09-10,crash,2653483.000000001,50000.0
2024-09-11,crash,2538913.500000001,-114569.5
2024-09-12,downtrend,2512513.500000001,-26400.0
2024-09-13,downtrend,2512513.500000001,0.0
2024-09-17,downtrend,2512513.500000001,0.0
2024-09-18,downtrend,2512513.500000001,0.0
2024-09-19,downtrend,2512513.500000001,0.0
2024-09-20,downtrend,2512513.500000001,0.0
2024-09-24,downtrend,2512513.500000001,0.0
2024-09-25,downtrend,2512513.500000001,0.0
2024-09-26,downtrend,2512513.500000001,0.0
2024-09-27,surge,2512513.500000001,0.0
2024-09-30,surge,2512513.500000001,0.0
