date,ticker,action,price,shares,reason,nikkei_phase,post_crash_sector_window
2024-07-01,7721.T,BUY,3613.3999999999996,100,breakout_1p5_entry,stable,False
2024-07-01,6231.T,BUY,5907.299999999999,100,breakout_1p5_entry,stable,False
2024-07-01,8766.T,BUY,6095.075,100,breakout_1p5_entry,stable,False
2024-07-01,4275.T,BUY,1468.705,300,breakout_1p5_entry,stable,False
2024-07-01,6371.T,BUY,2107.816749267578,200,breakout_1p5_entry,stable,False
2024-07-01,2674.T,BUY,2112.2149999999997,200,breakout_1p5_entry,stable,False
2024-07-02,6231.T,SELL,5540.0,100,stop_loss,stable,False
2024-07-03,7721.T,SELL,3845.0,100,sell_signal,uptrend,False
2024-07-10,8766.T,SELL,6596.0,100,take_profit,uptrend,False
2024-07-11,7721.T,BUY,3850.0,100,condition2_entry,uptrend,False
2024-07-12,7721.T,SELL,3750.0,100,sell_signal,uptrend,False
2024-07-16,3431.T,BUY,2496.8999999999996,200,condition2_entry,normal,False
2024-07-16,8725.T,BUY,3800.0,100,condition2_entry,normal,False
2024-07-16,8522.T,BUY,2649.1499999999996,100,condition2_entry,normal,False
2024-07-16,4685.T,BUY,2325.0,200,condition2_entry,normal,False
2024-07-16,8750.T,BUY,1161.5,100,condition2_entry,normal,False
2024-07-22,4685.T,SELL,2097.5,200,stop_loss,normal,False
2024-07-24,8725.T,SELL,3588.0,100,stop_loss,normal,False
2024-07-25,4275.T,SELL,1395.0,300,stop_loss,normal,False
2024-07-25,6371.T,SELL,2096.666748046875,200,pre_earnings_exit,normal,False
2024-07-25,8522.T,SELL,2500.0,100,stop_loss,normal,False
2024-07-25,8750.T,SELL,1102.5,100,stop_loss,normal,False
2024-07-26,2674.T,SELL,2037.0,200,sell_signal,normal,False
2024-07-26,8877.T,BUY,4506.599999999999,100,condition2_entry,normal,False
2024-07-29,8877.T,SELL,4665.0,100,sell_signal,normal,False
2024-07-30,3431.T,SELL,2364.25,200,crash_early_exit,crash,False
2024-08-01,2749.T,BUY,617.11,800,q2_defensive_entry,downtrend,True
2024-08-01,3766.T,BUY,1078.68,400,q2_defensive_entry,downtrend,True
2024-08-02,2749.T,SELL,565.0,800,crash_early_exit,crash,False
2024-08-02,3766.T,SELL,1040.0,400,crash_early_exit,crash,False
2024-08-14,9651.T,BUY,1323.0,300,q2_defensive_entry,capitulation_end,True
2024-08-16,9651.T,SELL,1291.0,300,sell_signal,crash,False
2024-08-20,3261.T,BUY,568.63,800,q2_defensive_entry,downtrend,True
2024-08-23,3261.T,SELL,540.0,800,stop_loss,downtrend,True
2024-08-28,9418.T,BUY,1898.8,200,q2_defensive_entry,downtrend,True
2024-09-09,9418.T,SELL,1783.3333740234375,200,crash_early_exit,crash,False
2024-09-12,2749.T,BUY,708.0,700,q2_defensive_entry,downtrend,True
2024-09-12,4792.T,BUY,2390.0,200,q2_defensive_entry,downtrend,True
2024-09-12,9418.T,BUY,1850.0,200,q2_defensive_entry,downtrend,True
2024-09-12,9679.T,BUY,1590.0,300,q2_defensive_entry,downtrend,True
2024-09-12,9436.T,BUY,2040.2,200,q2_defensive_entry,downtrend,True
2024-09-12,2371.T,BUY,2590.0,100,q2_defensive_entry,downtrend,True
2024-09-12,3261.T,BUY,528.0,500,q2_defensive_entry,downtrend,True
2024-09-18,2749.T,SELL,754.0,700,take_profit,downtrend,True
2024-09-19,3261.T,SELL,536.0,500,sell_signal,downtrend,True
2024-09-20,9436.T,SELL,2040.0,200,sell_signal,downtrend,True
2024-09-25,9418.T,SELL,1756.6666259765625,200,stop_loss,downtrend,True
2024-09-25,2371.T,SELL,2481.5,100,stop_loss,downtrend,True
2024-09-27,4792.T,SELL,2378.0,200,pre_earnings_exit,surge,True
2024-09-27,9679.T,SELL,1566.6666259765625,300,pre_earnings_exit,surge,True
2024-09-30,2329.T,BUY,694.88,700,q2_defensive_entry,surge,True
2024-09-30,2469.T,BUY,3499.65,100,q2_defensive_entry,surge,True
2024-09-30,9679.T,BUY,1582.3332922363281,300,q2_defensive_entry,surge,True
2024-09-30,2329.T,SELL,697.0,700,end_of_backtest,surge,True
2024-09-30,2469.T,SELL,3525.0,100,end_of_backtest,surge,True
2024-09-30,9679.T,SELL,1630.0,300,end_of_backtest,surge,True
